id,name,position,start_date,end_date
0bc913f7-434d-4648-a4d6-3ea8837a3b4a,Fred Mitchell,Member of the House of Assembly of the Bahamas,,
bf4d389a-fd1a-4a8e-8edc-d9c178caf78c,Hubert Ingraham,Prime Minister of the Bahamas,2007-05-04,2012-05-08
bf4d389a-fd1a-4a8e-8edc-d9c178caf78c,Hubert Ingraham,Prime Minister of the Bahamas,1992-08-21,2002-05-03
d625fce1-47b0-45e4-a412-0b72bb97ced7,Hubert Minnis,Member of the House of Assembly of the Bahamas,,
fbc7c142-d11b-499b-8ce3-5b157289fb53,Perry Christie,Prime Minister of the Bahamas,2012-05-08,
fbc7c142-d11b-499b-8ce3-5b157289fb53,Perry Christie,Prime Minister of the Bahamas,2002-05-03,2005-05-04
fbc7c142-d11b-499b-8ce3-5b157289fb53,Perry Christie,Prime Minister of the Bahamas,2005-06-06,2007-05-04
fbca8d53-3f82-445d-8dae-91c70c1753ce,Perry Gomez,Member of the House of Assembly of the Bahamas,,
dcd1a356-a7e6-409b-8028-27fea2691105,"Philip ""Brave"" Davis",Member of the House of Assembly of the Bahamas,,
dcd1a356-a7e6-409b-8028-27fea2691105,"Philip ""Brave"" Davis",Deputy Prime Minister,,
f1850a5c-e5bf-4f43-b5e2-bc39ef0cf753,Renward Wells,Member of the House of Assembly of the Bahamas,,
ffc68b8c-02e0-4149-9db3-ef498204280a,Ryan Pinder,Member of the House of Assembly of the Bahamas,,
a0bd764c-7ca1-4f66-8cb6-6ead9d84c5e8,Shane Gibson,Member of the House of Assembly of the Bahamas,,
