name,name_mn,party,constituency,term,wikipedia,source
Nyamjavyn Batbayar,Нямжавын Батбаяр,Democratic Party,Arkhangai,2012,http://en.wikipedia.org/wiki/Nyamjavyn_Batbayar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Bayarbaataryn Bolor,Баярбаатарын Болор,Democratic Party,Arkhangai,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Almalikyn Tleikhan,Алмаликын Тлейхан,Mongolian People's Party,Bayan-Ölgii,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Agilapyn Bakei,Агипарын Бакей,Democratic Party,Bayan-Ölgii,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Khaltmaagiin Battulga,Халтмаагийн Баттулга,Democratic Party,Bayankhongor,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dashdondogiin Ganbat,Дашдондогийн Ганбат,Democratic Party,Bayankhongor,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Yondongiin Otgonbayar,Ёндонгийн Отгонбаяр,Mongolian People's Party,Bulgan,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Tsedeviin Dashdorj,Цэдэвийн Дашдорж,Mongolian People's Party,Govi-Altai,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Jamyansürengiin Batsuuri,Жамъянсүрэнгийн Батсуурь,Mongolian People's Party,Govisümber•Dornogovi,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Khayangaagiin Bolorchuluun,Хаянгаагийн Болорчулуун,Independent,Dornod,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Nyamtaishirgiin Nomtoibayar,Нямтайширийн Номтойбаяр,Mongolian People's Party,Dornod,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Batsükhiin Narankhüü,Батсүхийн Наранхүү,Democratic Party,Dundgovi,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Yadamsürengiin Sanjmyatav,Ядамсүрэнгийн Санжмятав,Democratic Party,Zavkhan,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dulamsürengiin Oyuunkhorol,Дуламсүрэнгийн Оюунхорол,Mongolian People's Party,Zavkhan,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Gavaagiin Batkhüü,Гаваагийн Батхүү,Democratic Party,Övörkhangai,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dashzevegiin Zorigt,Дашзэвэгийн Зоригт,Democratic Party,Övörkhangai,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dashdembereliin Bat-Erdene,Дашдэмбэрэлийн Бат-Эрдэнэ,Democratic Party,Ömnögovi,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Mönkhchuluuny Zorigt,Мөнхчулууны Зоригт,Democratic Party,Sükhbaatar,2012,http://en.wikipedia.org/wiki/M%C3%B6nkhchuluuny_Zorigt,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sangajavyn Bayarzsogt,Сангажавын Баярцогт,Democratic Party,Selenge,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Jargaltulgyn Erdenebat,Жаргалтулгын Эрдэнэбат,Mongolian People's Party,Selenge,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Miyeegombyn Enkhbold,Миеэгомбо Энхболд,Mongolian People's Party,Töv,2012,http://en.wikipedia.org/wiki/Miyeegombyn_Enkhbold,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,Töv,2012,http://en.wikipedia.org/wiki/S%C3%BCkhbaataryn_Batbold,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,Uvs,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,Uvs,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,Khovd,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Dogsomyn Battsogt,Догсомын Батцогт,Justice Coalition,Khovd,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
Luvsantserengiin Enkh-Amgalan,Лувсанцэрэнгийн Энх-Амгалан,Mongolian People's Party,Khövsgöl,2012,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2012"
