name,name__mn,party,constituency,term,wikiname,source
Ganzorigiin Temüülen,Ганзоригийн Тэмүүлэн,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Yondonperenlein Baatarbileg,Ёндонпэрэнлэйн Баатарбилэг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jamyangiin Mönkhbat,Жамъянгийн Мөнхбат,Mongolian People's Party,n/a,2016,Jamyangiin Mönkhbat,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Gombojain Soltan,Гомбожайн Солтан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Khavdislamyn Badyelkhan,Хавдисламын Баделхан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dakein Murat,Дакейн Мурат,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Mongolian People's Party,n/a,2016,Gombojavyn Zandanshatar,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Magvany Bilegt,Магваны Билэгт,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Lkhagvaagiin Eldev-Ochir,Лхагваагийн Элдэв-Очир,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jadambyn Bat-Erdene,Жадамбын Бат-Эрдэнэ,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Shatarbalyn Radnaased,Шатарбалын Раднаасэд,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Gompildoogiin Mönkhtsetseg,Гомпилдоогийн Мөнхцэцэг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Borkhüügiin Delgersaikhan,Борхүүгийн Дэлгэрсайхан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Khayangaagiin Bolorchuluun,Хаянгаагийн Болорчулуун,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Borkhüüyamtaishiryn Nomtoibayar,Нямтайширын Номтойбаяр,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Batsükhiin Narankhüü,Батсүхийн Наранхүү,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Yadamsürengiin Sanjmyatav,Ядамсүрэнгийн Санжмятав,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Zagdkhüügiin Narantuya,Загдхүүгийн Нарантуя,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Yangugiin Sodbaatar,Янгугийн Содбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dulamdorjiin Togtokhsüren,Дуламдоржийн Тогтохсүрэн,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Sodnomyn Chinzorig,Содномын Чинзориг,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Namsrain Amarzayaa,Намсрайн Амарзаяа,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Luvsangiin Enkhbold,Лувсангийн Энхболд,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Chültemiin Ulaan,Чүлтэмийн Улаан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Navaan-Yündengiin Oyundari,Наваан-Юндэнгийн Оюндарь,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Jargaltulgyn Erdenebat,Жаргалтулгын Эрдэнэбат,Mongolian People's Party,n/a,2016,Jargaltulgyn Erdenebat,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Dondogdorjiin Erdenebat,Дондогдоржийн Эрдэнэбат,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Miyeegombyn Enkhbold,Миеэгомбын Энхболд,Mongolian People's Party,n/a,2016,Miyeegombyn Enkhbold,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Agvaansamdangiin Sükhbat,Агваансамдагийн Сүхбат,Mongolian People's Party,n/a,2016,Agvaansamdangiin Sükhbat,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Nyamaagiin Enkhbold,Нямаагийн Энхболд,Mongolian People's Party,n/a,2016,Nyamaagiin Enkhbold,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Battogtokhyn Choijilsüren,Баттогтохын Чойжилсүрэн,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Namsrain Tserenbat,Намсрайн Цэрэнбат,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Chimediin Khürelbaatar,Чимэдийн Хүрэлбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Bökhchuluuny Pürevdorj,Бөхчулууны Пүрэвдорж,Mongolian Democratic Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Sandagiin Byambatsogt,Сандагийн Бямбацогт,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Otgoogiin Batnasan,Отгоогийн Батнасан,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
Lkhagvyn Mönkhbaatar,Лхагвын Мөнхбаатар,Mongolian People's Party,n/a,2016,"","https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016"
