id,name__mn,name__en,name__ru,name__nl,name__fr,name,wikipedia__en,wikipedia__mn,wikipedia__ru,wikipedia__ruwikinews,image,gender,identifier__VIAF,birth_date,original_wikiname,name__ja,name__es,name__pl,name__de,wikipedia__ja,wikipedia__pl,name__zh,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__fi,name__id,name__cs,name__el,name__sv,wikipedia__cs,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__sv,identifier__freebase,name__tr,name__it,name__be,name__ca,name__oc,name__uk,name__pt,name__ky,name__sr,name__et,wikipedia__et,wikipedia__it,wikipedia__ky,wikipedia__pt,wikipedia__sr,wikipedia__tr,wikipedia__uk,name__ko,name__ka,name__vi,wikipedia__ka,wikipedia__ko,wikipedia__vi,name__en_gb,name__az,wikipedia__az,website,name__da,name__zh_cn,name__zh_sg,name__zh_tw,name__mk,wikipedia__commons,wikipedia__mk,name__yo,name__ms,wikipedia__ms,wikipedia__yo,identifier__LCAuth,name__he,name__hu,name__lv,name__gl,name__sq,name__eo,name__fa,name__lt,name__nb,name__sco,name__ro,name__lb,name__io,name__ar,name__la,name__bn,wikipedia__ar,wikipedia__be,wikipedia__bn,wikipedia__ca,wikipedia__da,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__io,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__ro,wikipedia__sco,wikipedia__sq,last_seen,twitter,occupation,name__tyv,wikipedia__tyv,name__kana,facebook,wikipedia__tt,name__tt,wikipedia__bewikiquote,wikipedia__bg,name__bg,name__en_ca,wikipedia__kk,wikipedia__oc,name__kk
Q20609374,Сайнхүүгийн Ганбаатар,Sainkhüügiin Ganbaatar,,Sainkhüügiin Ganbaatar,Sainkhüügiin Ganbaatar,Сайнхүүгийн Ганбаатар,Sainkhüügiin Ganbaatar,Сайнхүүгийн Ганбаатар,,,,male,,1970-07-30,Sainkhüügiin Ganbaatar,,,,,,,赛音呼·钢巴特尔,赛音呼·钢巴特尔,,,,,,,,,,,,,,Sainkhüügiin Ganbaatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q20609775,Даваажавын Ганхуяг,,,,,Даваажавын Ганхуяг,,Даваажавын Ганхуяг,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Д.Ганхуяг2.jpg,male,,,Даваажавын Ганхуяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20610865,Лувсаннямын Гантөмөр,,,,,Лувсаннямын Гантөмөр,,Лувсаннямын Гантөмөр,,,,,,,Лувсаннямын Гантөмөр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20611540,Нямтайширийн Номтойбаяр,,,,,Нямтайширийн Номтойбаяр,,Нямтайширийн Номтойбаяр,,,,,,,Нямтайширийн Номтойбаяр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20611960,Хишигдэмбэрэлийн Тэмүүжин,,,,,Хишигдэмбэрэлийн Тэмүүжин,,Хишигдэмбэрэлийн Тэмүүжин,,,,,,,Хишигдэмбэрэлийн Тэмүүжин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temuujin_Kh,,,,,,,,,,,,,,
Q20612030,Гантөмөрийн Уянга,,,,,Гантөмөрийн Уянга,,Гантөмөрийн Уянга,,,,,,,Гантөмөрийн Уянга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20612383,Содномзундуйн Эрдэнэ,Erdene Sodnomzundui,,,,Содномзундуйн Эрдэнэ,,Содномзундуйн Эрдэнэ,,,,,,,Содномзундуйн Эрдэнэ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20612402,Лувсангийн Эрдэнэчимэг,,,,,Лувсангийн Эрдэнэчимэг,,Лувсангийн Эрдэнэчимэг,,,,,,,Лувсангийн Эрдэнэчимэг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2153936,Мишигийн Сономпил,Mishigiin Sonompil,,Mishigiin Sonompil,,Мишигийн Сономпил,Mishigiin Sonompil,Мишигийн Сономпил,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Mishig_Sonompil_070603-D-7203T-006_0W9GX.jpg,male,,1965,Mishigiin Sonompil,,Mishigiin Sonompil,,Mishigiin Sonompil,,,米希格·索诺姆皮勒,米希格·索诺姆皮勒,米希格·索诺姆皮勒,米希格·索諾姆皮勒,米希格·索諾姆皮勒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22958085,,Navaan-Yundengiin Oyundari,,,,Navaan-Yundengiin Oyundari,Navaan-Yundengiin Oyundari,,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Oyundari_deputy_minister_220.jpg,,,,Navaan-Yundengiin Oyundari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23771599,Нямаагийн Энхболд,Nyamaagiin Enkhbold,,Nyamaagiin Enkhbold,,Нямаагийн Энхболд,Nyamaagiin Enkhbold,Нямаагийн Энхболд,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Nyamaa_Enkhbold.jpg,male,,1957-01-06,Nyamaagiin Enkhbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q24174848,Догсомын Батцогт,,,,,Догсомын Батцогт,,Догсомын Батцогт,,,,,,,Догсомын Батцогт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q24174849,Лувсанцэрэнгийн Энх-Амгалан,,,,,Лувсанцэрэнгийн Энх-Амгалан,,Лувсанцэрэнгийн Энх-Амгалан,,,,,,,Лувсанцэрэнгийн Энх-Амгалан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q24174854,Данзангийн Лүндээжанцан,,,,,Данзангийн Лүндээжанцан,,Данзангийн Лүндээжанцан,,,,male,,,Данзангийн Лүндээжанцан,,,,,,,丹增·龙戴姜仓,丹增·龙戴姜仓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q24174855,Агипарын Бакей,,,,,Агипарын Бакей,,Агипарын Бакей,,,,,,,Агипарын Бакей,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q24174857,Мигэддоржийн Батчимэг,,,,,Мигэддоржийн Батчимэг,,Мигэддоржийн Батчимэг,,,https://upload.wikimedia.org/wikipedia/commons/c/c9/Батчимэг_багадаа.jpg,female,,,Мигэддоржийн Батчимэг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q25632752,Дамдин хянхярваа,Damdin Khayankhyarvaa,,,,Дамдин хянхярваа,,Дамдины Хаянхярваа,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Damdin_Khayankhyarvaa.jpg,male,,,Дамдингийн Хаянхярваа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://khyankhyarvaa.parliament.mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
