id,name__mn,name__en,name__ru,name__nl,name__fr,name,wikipedia__en,wikipedia__mn,wikipedia__ru,wikipedia__ruwikinews,image,gender,identifier__VIAF,birth_date,original_wikiname,name__ja,name__es,name__pl,name__de,wikipedia__ja,wikipedia__pl,name__zh,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__fi,name__id,name__cs,name__el,name__sv,wikipedia__cs,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__sv,identifier__freebase,name__tr,name__it,name__be,name__ca,name__oc,name__uk,name__pt,name__ky,name__sr,name__et,wikipedia__et,wikipedia__it,wikipedia__ky,wikipedia__pt,wikipedia__sr,wikipedia__tr,wikipedia__uk,name__ko,name__ka,name__vi,wikipedia__ka,wikipedia__ko,wikipedia__vi,name__en_gb,name__az,wikipedia__az,website,name__da,name__zh_cn,name__zh_sg,name__zh_tw,name__mk,wikipedia__commons,wikipedia__mk,name__yo,name__ms,wikipedia__ms,wikipedia__yo,identifier__LCAuth,name__he,name__hu,name__lv,name__gl,name__sq,name__eo,name__fa,name__lt,name__nb,name__sco,name__ro,name__lb,name__io,name__ar,name__la,name__bn,wikipedia__ar,wikipedia__be,wikipedia__bn,wikipedia__ca,wikipedia__da,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__io,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__ro,wikipedia__sco,wikipedia__sq,last_seen,twitter,occupation,name__tyv,wikipedia__tyv,name__kana,facebook,wikipedia__tt,name__tt,wikipedia__bewikiquote,wikipedia__bg,name__bg,name__en_ca,wikipedia__kk,wikipedia__oc,name__kk
Q25848773,Жаргалтулгын Эрдэнэбат,Jargaltulga Erdenebat,Жаргалтулгын Эрдэнэбат,Jargaltulga Erdenebat,Jargaltulga Erdenebat,Жаргалтулгын Эрдэнэбат,Jargaltulgyn Erdenebat,Жаргалтулгын Эрдэнэбат,Жаргалтулгын Эрдэнэбат,,https://upload.wikimedia.org/wikipedia/commons/4/44/JErdenebat.jpg,male,,1973,Jargaltulgyn Erdenebat,ジャルガルトルガ・エルデネバト,Jargaltulgyn Erdenebat,Dżargaltulgyn Erdenbat,Dschargaltulgyn Erdenebat,ジャルガルトルギーン・エルデネバト,Dżargaltulgyn Erdenbat,扎爾格勒圖勒嘎·額爾登巴特,扎爾格勒圖勒嘎·額爾登巴特,,扎爾格勒圖勒嘎·額爾登巴特,,,,,,,,Dschargaltulgyn Erdenebat,,Jargaltulgyn Erdenebat,,Jargaltulga Erdenebat,,,,Jargaltulga Erdenebat,,,,,,,,,,,,,,,Jargaltulga Erdenebat,,자르갈툴긴 에르데네바트,,Jargaltulgyn Erdenebat,,자르갈툴긴 에르데네바트,Jargaltulgyn Erdenebat,,,,,Jargaltulga Erdenebat,扎尔格勒图勒嘎·额尔登巴特,,,,,,,,,,,,,,,,,,,,,,,,,Jargaltulgyn Erdenebat,,,,,,,,,,,,,Jargaltulgyn Erdenebat,,,,,,,,,,,politician,,,,,,,,,,,,,
Q276238,Санжаасүрэнгийн Оюун,Sanjaasürengiin Oyuun,Санжаасурэнгийн Оюун,Sanjaasürengiin Oyuun,Sanjaasürengiyn Oyun,Санжаасүрэнгийн Оюун,Sanjaasürengiin Oyuun,Санжаасүрэнгийн Оюун,Санжаасурэнгийн Оюун,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Sanjaasürengiin_Oyuun_(03-12-2010).jpg,female,,1964,Sanjaasürengiin Oyuun,サンジャースレンギーン・オユーン,Sanjaasürengiin Oyuun,,Sandschaasürengiin Ojuun,サンジャースレンギーン・オユーン,,桑加苏伦·奥云,桑加苏伦·奥云,,,,,,,,,,Sandschaasürengiin Ojuun,,,,Sanjaasürengiyn Oyun,,,/m/03qpdp3,,,,,,,,,,,,,,,,,,,სანჟაასურენგიინ ოიუუნი,,სანჟაასურენგიინ ოიუუნი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q31796177,Сандагийн Бямбацогт,,,,,Сандагийн Бямбацогт,,Сандагийн Бямбацогт,,,,,,,Сандагийн Бямбацогт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3351752,Өлзийсайханы Энхтүвшин,Olziisaikhan Enkhtuvshin,,Olziisaikhan Enkhtuvshin,Olziisaikhan Enkhtuvshin,Өлзийсайханы Энхтүвшин,,Өлзийсайханы Энхтүвшин,,,,male,,1958,Өлзийсайханы Энхтүвшин,,,,,,,乌力吉赛汗·恩赫图布辛,乌力吉赛汗·恩赫图布辛,,,,,,,,,,,,,,Olziisaikhan Enkhtuvshin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q35495971,,Undraa Agvaanluvsan,,,,Undraa Agvaanluvsan,Undraa Agvaanluvsan,,,,,,,,Agvaanluvsangiin Undraa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q372131,Санжаагийн Баяр,Sanjaagiin Bayar,Санжийн Баяр,Sanjaagiin Bayar,Sanjaagiin Bayar,Санжаагийн Баяр,Sanjaagiin Bayar,Санжаагийн Баяр,Санжийн Баяр,,https://upload.wikimedia.org/wikipedia/commons/7/72/Sangiyin_Bayar.jpg,male,305958841,1956-12-24,Sanjaagiin Bayar,サンジャーギーン・バヤル,Sanjaagiin Bayar,Sandżaagijn Bajar,Sandschaagiin Bajar,サンジャーギーン・バヤル,Sandżaagijn Bajar,桑吉·巴亚尔,桑吉·巴亚尔,桑吉·巴亚尔,桑吉·巴亞爾,桑吉·巴亞爾,Sanjaagiin Bayar,Sanjaagiin Bayar,Sandžágín Bajar,Σαντζίν Μπαγιάρ,,Sandžágín Bajar,Sandschaagiin Bajar,Σαντζίν Μπαγιάρ,Sanjaagiin Bayar,Sanjaagiin Bayar,Sanjaagiin Bayar,Sanjaagiin Bayar,,/m/03cq592,,Sanžaagijn Bajar,,,,,,,,,,Sanžaagijn Bajar,,,,,,산자긴 바야르,,,,산자긴 바야르,,,,,,,桑吉·巴亚尔,桑吉·巴亚尔,桑吉·巴亞爾,Санџагин Бајар,Category:Sanjaagiin Bayar,Санџагин Бајар,,,,,,,Sanjaagiin Bayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q372202,Сүхбаатарын Батболд,Sükhbaataryn Batbold,Сухбаатарын Батболд,Sükhbaataryn Batbold,Sükhbaataryn Batbold,Сүхбаатарын Батболд,Sükhbaataryn Batbold,Сүхбаатарын Батболд,Сухбаатарын Батболд,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Sükhbaataryn_Batbold.jpg,male,91155786,1963-06-24,Sükhbaataryn Batbold,スフバータル・バトボルド,Süjbaataryn Batbold,Süchbaataryn Batbold,Süchbaataryn Batbold,スフバータル・バトボルド,Süchbaataryn Batbold,苏赫巴托尔·巴特包勒德,苏赫巴托尔·巴特包勒德,苏赫巴托尔·巴特包勒德,蘇赫巴托爾·巴特包勒德,蘇赫巴托爾·巴特包勒德,Sukhbaataryn Batbold,,,Σουχμπααταρίν Μπάτμπολντ,Süchbaataryn Batbold,,Süchbaataryn Batbold,Σουχμπααταρίν Μπάτμπολντ,Süjbaataryn Batbold,Suhbaataryn Batbold,Sükhbaataryn Batbold,,Süchbaataryn Batbold,/m/09gfdts,Sükhbaataryn Batbold,Sùhbaataryn Batbold,,,,,,,,Sühbaatarõn Batbold,Sühbaatarõn Batbold,Sùhbaataryn Batbold,,,,Sükhbaataryn Batbold,,,,Sükhbaataryn Batbold,,,Sükhbaataryn Batbold,,,,,,苏赫巴托尔·巴特包勒德,苏赫巴托尔·巴特包勒德,蘇赫巴托爾·巴特包勒德,,,,Sükhbaataryn Batbold,Sükhbaataryn Batbold,Sükhbaataryn Batbold,Sükhbaataryn Batbold,no2009108622,,Süjbaataryn Batbold,,Süjbaataryn Batbold,,,,,,,,,,,,,,,,,,,,Süjbaataryn Batbold,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q3874590,Даваагийн Батбаяр,Kyokushūzan Noboru,"Кёкусюдзан, Нобору",Kyokushūzan Noboru,,Даваагийн Батбаяр,Kyokushūzan Noboru,Даваагийн Батбаяр,,,,male,,1973-03-08,Kyokushūzan Noboru,旭鷲山昇,,,Kyokushūzan Noboru,旭鷲山昇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rikishi,,,きょくしゅうざん のぼる,,,,,,,,,,
Q3874608,Долгорсүрэнгийн Сумъяабазар,Dolgorsürengiin Sumiyaabazar,,Dolgorsürengiin Sumiyaabazar,,Долгорсүрэнгийн Сумъяабазар,Dolgorsürengiin Sumyaabazar,Долгорсүрэнгийн Сумъяабазар,,,,male,,1974,Dolgorsürengiin Sumyaabazar,ドルゴルスレン・スミヤバザル,Dolgorsürengiin Sumiyaabazar,Dolgorsürengijn Sumjaabadzar,Dolgorsürengiin Sumiyaabazar,ドルゴルスレン・スミヤバザル,Dolgorsürengijn Sumjaabadzar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolgorsürengiin Sumiyaabazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q4142905,Гомбожавын Занданшатар,Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Zandanshatar Gombojav,Zandanshatar Gombojav,Гомбожавын Занданшатар,Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Гомбожавын Занданшатар,,,male,,1970-03-08,Gombojavyn Zandanshatar,,Zandanshatar Gombojav,,Gombojavyn Zandanshatar,,,贡布扎布·赞达沙塔尔,贡布扎布·赞达沙塔尔,,,,,,,,,,,,,,,,,/m/0glnsdv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Gombojavyn Zandanshatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zandanshatar,,,,,G.Zandanshatar,,,,,,,,,
Q4694716,Агваансамдангийн Сүхбат,Agvaansamdangiin Sükhbat,,Agvaansamdangiin Sükhbat,,Агваансамдангийн Сүхбат,Agvaansamdangiin Sükhbat,Агваансамдангийн Сүхбат,,,,male,,1971-06-30,Agvaansamdangiin Sükhbat,,,,Agvaansamdangiin Sükhbat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amateur wrestler,"Сүхбат, Агбаансамдан","Сүхбат, Агбаансамдан",,,,,,,,,,,
Q4841019,Бадмаанямбуугийн Бат-Эрдэнэ,Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Badmaanyambuugiin Bat-Erdene,Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Badmaanyambuugiin Bat-Erdene,Бадмаанямбуугийн Бат-Эрдэнэ,Бадмаанямбуугийн Бат-Эрдэнэ,Категория:Бадмаанямбуугийн Бат-Эрдэнэ,https://upload.wikimedia.org/wikipedia/commons/7/71/B-baterdeneCrop.jpg,male,230713995,1964-07-06,Badmaanyambuugiin Bat-Erdene,2013年モンゴル大統領選挙,Badmaanyambuugiin Bat-Erdene,,,,,巴德玛尼亚木布·巴特额尔登,巴达玛宁布·巴特额尔登,,,,,,,,,,,,Badmaanyambuuguiin Bat-Erdene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judoka,,,,,,,,,,,,,
Q4869308,Батжаргалын Батбаяр,Batjargalyn Batbayar,,Batjargalyn Batbayar,,Батжаргалын Батбаяр,Batjargalyn Batbayar,Батжаргалын Батбаяр,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Batjargalyn_Batbayar.jpg,male,,1953-12-03,Batjargalyn Batbayar,,,,Batjargalyn Batbayar,,,巴特扎尔嘎勒·巴特巴亚尔,巴特扎尔嘎勒·巴特巴亚尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5385283,Эрдэнийн Бат-Үүл,Erdeniin Bat-Üül,,Erdeniin Bat-Üül,Erdeniin Bat-Üül,Эрдэнийн Бат-Үүл,Erdeniin Bat-Üül,Эрдэнийн Бат-Үүл,,,,male,,1957-07-01,Erdeniin Bat-Uul,,Erdeniin Bat-Üül,,,,,额尔登·巴特乌勒,额尔登·巴特乌勒,,,,,,,,,,,,,,Erdeniin Bat-Üül,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erdeniin Bat-Üül,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q558683,Миеэгомбын Энхболд,Miyeegombyn Enkhbold,"Энхболд, Миеэгомбын",Miyeegombyn Enkhbold,Miyeegombyn Enkhbold,Миеэгомбын Энхболд,Miyeegombyn Enkhbold,Миеэгомбын Энхболд,Миеэгомбын Энхболд,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Miyeegombyn_Enkhbold_July_2016.jpg,male,,1964-07-19,Miyeegombyn Enkhbold,ミェーゴンボ・エンフボルド,Miyeegombo Enkhbold,Mijeegombyn Enchbold,Mijeegombyn Enchbold,,Mijeegombyn Enchbold,米耶贡布·恩赫包勒德,米耶贡布·恩赫包勒德,米耶贡布·恩赫包勒德,米耶貢布·恩赫包勒德,米耶貢布·恩赫包勒德,Mijeegombyn Enhbold,Miyeegombo Enkhbold,Mijeegombyn Enhbold,Μιγίγκομπιν Ένχμπολντ,Mijeegombyn Enchbold,Mijeegombyn Enchbold,Mijeegombyn Enchbold,Μιγίγκομπιν Ένχμπολντ,Miyeegombo Enkhbold,Mijeegombyn Enhbold,Miyeegombyn Enkhbold,Miyeegombo Enkhbold,Mijeegombyn Enchbold,/m/0b2nz_,,Miyeegombyn Enkhbold,,,,,Miyeegombyn Enkhbold,,,,,Miyeegombyn Enkhbold,,Miyeegombyn Enkhbold,,,,,,Miyeegombyn Enkhbold,,,Miyeegombyn Enkhbold,,,,,,,,,,,,,,,,,,Miyeegombo Enkhbold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q57421,Цахиагийн Элбэгдорж,Tsakhiagiin Elbegdorj,Цахиагийн Элбэгдорж,Tsahiagiin Elbegdorzj,Tsakhiagiyn Elbegdorj,Цахиагийн Элбэгдорж,Tsakhiagiin Elbegdorj,Цахиагийн Элбэгдорж,Цахиагийн Элбэгдорж,Категория:Цахиагийн Элбэгдорж,https://upload.wikimedia.org/wikipedia/commons/5/5c/Tsakhiagiin_Elbegdor.jpg,male,71031336,1963-03-30,Tsakhiagiin Elbegdorj,ツァヒアギーン・エルベグドルジ,Tsakhiagiin Elbegdorj,Cachiagijn Elbegdordż,Tsachiagiin Elbegdordsch,ツァヒアギーン・エルベグドルジ,Cachiagijn Elbegdordż,查希亚·额勒贝格道尔吉,查希亚·额勒贝格道尔吉,,,,Tsahiagiin Elbegdorj,Tsakhiagiin Elbegdorj,Cachjagín Elbegdordž,Τσαχιάγκιϊν Ελμπεγκντόρζ,Tsachiagijn Elbegdordzj,Cachjagín Elbegdordž,Tsachiagiin Elbegdordsch,Τσαχιάγκιϊν Ελμπεγκντόρζ,Tsajiaguiin Elbegdorzh,Tsahiagiin Elbegdorj,Tsakhiagiyn Elbegdorj,Tsakhiagiin Elbegdorj,Tsachiagijn Elbegdordzj,/m/03qf0h,Tsakhiagiin Elbegdorj,Cahiagijn Ėlbėgdorž,Цахіагійн Элбэгдорж,Tsakhiagiin Elbegdorj,,Цахіагійн Елбегдорж,Tsakhiagiin Elbegdorj,Элбэгдорж,Цахијагијн Елбегдорж,Tsahhiagijn Elbegdordž,Tsahhiagijn Elbegdordž,Cahiagijn Ėlbėgdorž,"Элбэгдорж, Цахиагийн",Tsakhiagiin Elbegdorj,Цахијагин Елбегдорџ,Tsakhiagiin Elbegdorj,Цахіагійн Елбегдорж,차히아긴 엘베그도르지,ცაჰიაგინ ელბეგდორჟი,Tsakhiagiin Elbegdorj,ცაჰიაგინ ელბეგდორჟი,차히아긴 엘베그도르지,Tsakhiagiin Elbegdorj,,Tsaxia Elbeqdorj,Tsaxia Elbeqdorj,,Tsakhiagijn Elbegdorzj,,,,,Tsakhiagiin Elbegdorj,,Tsakhiagiin Elbegdorj,Tsakhiagiin Elbegdorj,Tsakhiagiin Elbegdorj,Tsakhiagiin Elbegdorj,no99076135,צחיאגיין אלבגדורג',Cahiagín Elbegdordzs,Elbegdordžs Cahjagīns,Tsakhiagiyn Elbegdorj,Cahiagijn Elbegdorxh,Tsakhia Elbegdorj,تساخیاگین البگدورج,Tsakhijaginas Elbegdoržas,Tsakhiagijn Elbegdorzj,Tsakhiagiin Elbegdorj,Țahiagiin Elbegdorj,Tsachiagiin Elbegdordj,Tsakhiagiin Elbegdorj,تشياغين البجدورج,Tsakhiagiin Elbegdorj,সাখিয়াজিন এলবেগদর্জ,تشياغين البجدورج,Цахіягійн Элбэгдорж,সাখিয়াজিন এলবেগদর্জ,Tsakhiagiin Elbegdorj,Tsakhiagijn Elbegdorzj,Tsakhia Elbegdorj,تساخیاگین البگدورج,Tsakhiagiin Elbegdorj,צחיאגיין אלבגדורג',Cahiagín Elbegdordzs,Tsakhiagiin Elbegdorj,Tsakhiagiin Elbegdorj,Tsachiagiin Elbegdordj,Cachiagijinas Elbegdoržas,Elbegdordžs Cahjagīns,Tsahiagiin Elbegdorzj,Tsakhiagijn Elbegdorzj,Țahiaghiin Elbegdorj,Tsakhiagiin Elbegdorj,Cahiagijn Elbegdorxh,,,politician,,,,,,,,,,,,,
Q57888,Норовын Алтанхуяг,Norovyn Altankhuyag,Норовын Алтанхуяг,Norovyn Altankhuyag,Norovyn Altankhuyag,Норовын Алтанхуяг,Norovyn Altankhuyag,Норовын Алтанхуяг,Норовын Алтанхуяг,,,male,311032380,1958-01-20,Norovyn Altankhuyag,ノロブ・アルタンホヤグ,Norovyn Altankhuyag,Norowyn Altanchujag,Norowyn Altanchujag,,Norowyn Altanchujag,诺罗布·阿勒坦呼亚格,诺罗布·阿勒坦呼亚格,,,,,Norovyn Altankhuyag,,Νοροβίν Αλτανχουγιάγκ,,,Norowyn Altanchujag,Νοροβίν Αλτανχουγιάγκ,Norovyn Altankhuyag,,Norovyn Altankhuyag,Norovyn Altankhuyag,,/m/09gm393,Norovyn Altankhuyag,Norovyn Altankhuyag,Норавын Алтанхуяг,Norovyn Altankhuyag,Norovyn Altankhuyag,Норовин Алтанхуяг,Norovyn Altankhuyag,Норовын Алтанхуяг,Норовин Алтанхујаг,Norovõn Altanhujag,Norovõn Altanhujag,Norovyn Altankhuyag,Норовын Алтанхуяг,Norovyn Altankhuyag,Норовин Алтанхујаг,Norovyn Altankhuyag,Норовин Алтанхуяг,,,,,,,,,,http://www.altankhuyag.mn,,,,,,,,,,,,,,Norovyn Altankhuyag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q7070853,Нямжавын Батбаяр,Nyamjavyn Batbayar,,Nyamjavyn Batbayar,,Нямжавын Батбаяр,Nyamjavyn Batbayar,Нямжавын Батбаяр,,,,male,,1960-04-01,Nyamjavyn Batbayar,,,,Nyamjavyn Batbayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7281459,Раднаасүмбэрэлийн Гончигдорж,Radnaasumbereliyn Gonchigdorj,,Radnaasumbereliyn Gonchigdorj,,Раднаасүмбэрэлийн Гончигдорж,Radnaasümbereliin Gonchigdorj,Раднаасүмбэрэлийн Гончигдорж,,,,male,,,Radnaasümbereliin Gonchigdorj,ラドナアスムベレリン・ゴンチグドルジ,,,Radnaasumbereliyn Gonchigdorj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q7849526,Цэндийн Нямдорж,Tsendiin Nyamdorj,,Tsendiin Nyamdorj,Tsendiin Nyamdorj,Цэндийн Нямдорж,Tsendiin Nyamdorj,Цэндийн Нямдорж,,,,male,,1956,Tsendiin Nyamdorj,ツェンディーン・ニャムドルジ,Tsendiin Nyamdorj,,Tsendiin Nyamdorj,,,曾德·尼亚木道尔吉,曾德·尼亚木道尔吉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsendiin Nyamdorj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q7849825,,Tsogtyn Batbayar,,Tsogtyn Batbayar,,Tsogtyn Batbayar,Tsogtyn Batbayar,,,,,male,,,Tsogtyn Batbayar,,,,Tsogtyn Batbayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q81065,Зандаахүүгийн Энхболд,Zandaakhuugiin Enkhbold,,Zandaakhuugiin Enkhbold,Zandaakhuugiin Enkhbold,Зандаахүүгийн Энхболд,Zandaakhüügiin Enkhbold,Зандаахүүгийн Энхболд,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Zandaakhuu_Enkhbold_Senate_of_Poland_01.JPG,male,316740123,1966-05-23,Zandaakhüügiin Enkhbold,,Zandaakhuugiin Enkhbold,Dzandaachüügijn Enchbold,Zandaakhuugiin Enkhbold,,Dzandaachüügijn Enchbold,赞达呼·恩赫包勒德,赞达呼·恩赫包勒德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q81067,Дамдины Дэмбэрэл,Damdiny Demberel,"Дэмбэрэл, Дамдины",Damdiny Demberel,Damdiny Demberel,Дамдины Дэмбэрэл,Damdiny Demberel,Дамдины Дэмбэрэл,"Дэмбэрэл, Дамдины",,https://upload.wikimedia.org/wikipedia/commons/7/72/D.Demberel.jpg,male,,1941-04-15,Damdingiin Demberel,,Damdiny Demberel,,Damdiny Demberel,,,达木丁·登贝尔勒,达木丁·登贝尔勒,,,,,,,,,,,,,,,,,/m/04jlw0l,,,,,,,,,,,,,,,,,,,,,,,,Damdiny Demberel,,,,,,,,,,,,,,,,,Damdiny Demberel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q9122260,Халтмаагийн Баттулга,Khaltmaagiin Battulga,Халтмаагийн Баттулга,Khaltmaagyn Battulga,Khaltmaagiyn Battulga,Халтмаагийн Баттулга,Khaltmaagiin Battulga,Халтмаагийн Баттулга,Халтмаагийн Баттулга,Категория:Халтмаагийн Баттулга,https://upload.wikimedia.org/wikipedia/commons/2/29/Khaltmaagiin_Battulga_2016.jpg,male,107434374,1963-03-03,Khaltmaagiin Battulga,ハルトマーギーン・バトトルガ,Khaltmaagiin Battulga,Chaltmaagijn Battulga,,ハルトマーギーン・バトトルガ,Chaltmaagijn Battulga,哈勒特玛格·巴特图勒嘎,哈勒特马·巴特图勒嘎,,,,,,,Χατμάα Μπατούλγκα,,,,Χατμάα Μπατούλγκα,Khaltmaagiin Battulga,,Khaltmaagiyn Battulga,,,,Battulga Khaltmaa,,Халтмаагійн Батулга,,Khaltmaagiin Battulga,Баттулга Халтмаагійн,Khaltmaagiin Battulga,,,,,,,Khaltmaagiin Battulga,,Battulga Khaltmaa,Халтмаагійн Баттулга,할트마긴 바툴가,,Khaltmaagiin Battulga,,할트마긴 바툴가,Khaltmaagiin Battulga,Khaltmaagiin Battulga,,,,,,,,,Category:Khaltmaagiin Battulga,,,,,,no2010026409,,,,,,,خالتما بتولغا,,,,,Khaltmaagiin Battulga,,,Khaltmaagiin Battulga,,,Халтмаагійн Батулга,,,,,خالتما بتولغا,,,,,Khaltmaagiin Battulga,Khaltmaagiin Battulga,,,,,,,,,battulgakh,politician,,,,,Баттулга Халтмаагийн,Баттулга Халтмаагийн,Халтмаагійн Батулга,Халтмагийн Баттулга,Халтмагийн Баттулга,Khaltmaagiin Battulga,Қалтыма Баттұлға,Khaltmaagiin Battulga,Қалтыма Баттұлға
