id,name,image,source
alicia-chucky-hansen,"Alicia ""Chucky"" Hansen",http://www.legvi.org/images/Senators/32senators/Hansen-Alicia-Chucky-495x640.jpg,http://www.legvi.org/index.php/senator-alicia-chucky-hansen
almando-rocky-liburd,"Almando ""Rocky"" Liburd",http://www.legvi.org/images/Senators/SenAlmandoLiburd.jpg,http://www.legvi.org/index.php/senator-almando-rocky-liburd
brian-smith,Brian A. Smith,http://www.legvi.org/images/Senators/32senators/Smith-Brian-A.-457x640.jpg,http://www.legvi.org/index.php/senator-brian-smith
clifford-f-graham,Clifford F. Graham,http://www.legvi.org/images/Senators/SenCliffordGraham.jpg,http://www.legvi.org/index.php/senator-clifford-f-graham
dwayne-degraff,Dwayne M. DeGraff,http://www.legvi.org/images/Senators/32senators/DeGraff-Dwayne-457x640.jpg,http://www.legvi.org/index.php/senator-dwayne-degraff
janette-millin-young,Janette Millin Young,http://www.legvi.org/images/Senators/32senators/Young-Janette-Millin-457x640.jpg,http://www.legvi.org/index.php/senator-janette-millin-young
jean-a-forde,Jean A. Forde,http://www.legvi.org/images/Senators/32senators/Forde-Jean-503x640.jpg,http://www.legvi.org/index.php/senator-jean-a-forde
justin-harrigan-sr,Justin Harrigan Sr. ,http://www.legvi.org/images/Senators/SenJustinHarrigan.jpg,http://www.legvi.org/index.php/senator-justin-harrigan-sr
kenneth-l-gittens,Kenneth L. Gittens,http://www.legvi.org/images/Senators/SenKennethGittens.jpg,http://www.legvi.org/index.php/senator-kenneth-l-gittens
kurt-a-vialet,Kurt A. Vialet,http://www.legvi.org/images/Senators/32senators/Vialet-Kurt-A.-457x640.jpg,http://www.legvi.org/index.php/senator-kurt-a-vialet
marvin-blyden,Marvin A. Blyden,http://www.legvi.org/images/Senators/32senators/Blyden-Marvin-A.-457x640.jpg,http://www.legvi.org/index.php/senator-marvin-blyden
myron-d-jackson,Myron D. Jackson,http://www.legvi.org/images/Senators/32senators/Jackson-Myron-30th-457x640.jpg,http://www.legvi.org/index.php/senator-myron-d-jackson
nereida-rivera-o-reilly,Nereida Rivera O'Reilly,http://www.legvi.org/images/Senators/32senators/OReilly-Nereida-457x640.jpg,http://www.legvi.org/index.php/senator-nereida-rivera-o-reilly
neville-a-james,Neville A. James ,http://www.legvi.org/images/Senators/32senators/James-Neville-452x640.jpg,http://www.legvi.org/index.php/senator-neville-a-james
novelle-e-francis-jr,Novelle E. Francis Jr. ,http://www.legvi.org/images/Senators/32senators/Francis-Novelle-E.-457x640.jpg,http://www.legvi.org/index.php/senator-novelle-e-francis-jr
sammuel-sanes,Sammuel Sanes,http://www.legvi.org/images/Senators/32senators/Sanes-Sammuel-457x640.jpg,http://www.legvi.org/index.php/senator-sammuel-sanes
terrance-a-nelson,Terrence A. Nelson,http://www.legvi.org/images/Senators/32senators/Nelson-Positive-T.-A.-457x640.jpg,http://www.legvi.org/index.php/senator-terrance-a-nelson
tregenza-a-roach-esq,"Tregenza A. Roach, Esq",http://www.legvi.org/images/Senators/32senators/Roach-Tregenza-A.-457x640.jpg,http://www.legvi.org/index.php/senator-tregenza-a-roach-esq
