id,name,start_date,end_date,source
7,VII kadencja,2011-11-08,,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_VII_kadencji
6,VI kadencja,2007-11-05,2011-11-07,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_VI_kadencji_(2007-2011)
5,V kadencja,2005-10-19,2007-11-04,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_V_kadencji_(2005-2007)
4,IV kadencja,2001-10-19,2005-10-18,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_IV_kadencji_(2001-2005)
3,III kadencja,1997-10-20,2001-10-18,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_III_kadencji_(1997-2001)
2,II kadencja,1993-09-19,1997-10-19,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_II_kadencji_(1993-1997)
1,I kadencja,1991-11-25,1993-09-18,https://pl.wikipedia.org/wiki/Sejm_Rzeczypospolitej_Polskiej_I_kadencji_(1991-1993)
