id,label,type
Q11781525,Minister of Finance of Poland,cabinet
Q15051532,Deputy Prime Minister of the Republic of Poland,cabinet
Q25598671,Minister of Foreign Affairs,cabinet
Q25598713,Minister of the Interior and Administration,cabinet
Q25711733,Minister of National Education,cabinet
Q25917007,Minister of Regional Development,cabinet
Q25919989,Minister of Labour and Social Policy,cabinet
Q28048774,Minister of Justice,cabinet
Q28976975,Minister of Culture,cabinet
Q3259469,Prime Minister of Poland,cabinet
Q45119834,Minister of Sports and Tourism,cabinet
Q57775575,Minister of Health,cabinet
