name,wikiname,area,party,term,source
Bernard Nottage,"",Bain & Grants Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Renward Wells,Renward Wells,Bamboo Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Daniel Johnson,"",Carmichael,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Cat Island, Rum Cay & San Salvador",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Edison Key,"",Central & South Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Damian Gomez,"",Central & South Eleuthera,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Neko Grant,"",Central Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Perry Christie,Perry Christie,Centreville,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Peter Turnquest,"",East Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Ryan Pinder,Ryan Pinder,Elizabeth,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Glenys Hanna Martin,Glenys Hanna Martin,Englerston,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Anthony Moss,"",Exumas & Ragged Island,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Andre Rollins,"",Fort Charlotte,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Fred Mitchell,Fred Mitchell (Bahamas),Fox Hill,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Kendal Major,"",Garden Hills,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Shane Gibson,Shane Gibson (politician),Golden Gates,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Michael Halkitis,"",Golden Isles,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Hubert Minnis,Hubert Minnis,Killarney,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Loretta Butler-Turner,"",Long Island,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Picewell Forbes,"",Mangrove Cay & South Andros,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Jerome Fitzgerald,"",Marathon,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Gregory Moss,"",Marco City,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
V. Alfred Gray,"","Mayaguana, Inagua, Crooked Island, Acklins and Long Cay",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Richard Lightbourn,"",Montagu,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Arnold Forbes,"",Mount Moriah,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Dion Smith,"",Nassau Village,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Hubert Ingraham,Hubert Ingraham,North Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Perry Gomez,Perry Gomez,North Andros & Berry Islands,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Theo Neilly,"",North Eleuthera,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Michael Darville,"",Pineridge,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Khaalis Rolle,"",Pinewood,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Hope Strachan,Hope Strachan,Seabreeze,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Cleola Hamilton,"",South Beach,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Kendrick Dorsett,"",Southern Shores,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Hubert Chipman,"",St. Anne's,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Leslie Miller,"",Tall Pines,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Obediah Wilchcombe,"",West Grand Bahama & Bimini,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
Melanie Griffin,Melanie Griffin,Yamacraw,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012"
