id,wikidata
5186d1cc-1d0f-4c95-9b34-f9ed17b29f0c,Q3913273
45ac4421-2084-44ff-99ab-1c071a8fc105,Q2701743
b45e0c3e-ff91-4734-8024-8e4ba64faf3c,Q2570782
df4c1b2c-8f88-457e-bb47-f8081b58f761,Q16951667
5e653490-567c-4c48-8bd1-5cfe87b70406,Q2357143
87933670-8c00-4bba-8c04-e758d9f46bf0,Q3147235
701aa739-fe15-4242-8e14-ebc3b933f5e6,Q2635304
4a06320a-64cc-482b-8179-a63ec9bab45c,Q2746787
0448b8dc-20c9-4ce1-a995-95ad6632711f,Q5295599
4a4202f3-b758-48f5-a976-fd57249d9e80,Q2566127
2df6253f-1133-42f0-b1c8-9bf7e1274c02,Q2669879
cca14486-3520-496f-8da2-a3ebfc852aaf,Q5310820
9e7614e8-f0e6-47db-a7d3-55ca02357eeb,Q5310822
af1895b3-5479-4995-8ec6-b5bd02f4486c,Q2622823
1956d153-6599-4a80-bd76-71e5d5b9eaea,Q20620587
436501d7-a31e-48b9-89a4-91530d6eb9eb,Q2641881
b5d70955-cb80-45a4-a2ac-c0fd171602b1,Q5310945
43773b97-2699-4637-84b7-3fdd22997b7d,Q2913560
01bcf969-2254-41ea-9851-c579fd79dd5a,Q2336579
635924cd-f266-469a-8c88-acdc2bcc9fb1,Q2531985
22e0f0c0-c23d-4ef1-bec2-8dcffa62c62b,Q5310953
ab1d3733-6bad-4ba0-9fee-630baa5daf65,Q4429557
02bdbf53-31b7-412c-9e3a-18a8e79d4d02,Q5310969
5db5d0ba-1da6-4d6f-80e6-deb569e0baf0,Q5310970
8fdf5edf-62b6-4ac0-a185-6e47ae3239bc,Q5310971
2f2c211f-d8b4-4d28-be91-5beecc3b5acb,Q5310999
f2593658-6416-41fb-a5ea-7e97a82d647e,Q5320426
e095506f-bc8f-4d02-beee-8a47f60d4057,Q4568022
d5e29130-86bd-4c14-9352-4a344b28e4ab,Q2251639
64b01329-55f4-4e8a-8d4e-b8f5f1006107,Q6394444
bb3c1b17-d8a6-4b83-8ce0-e10bb72ae5ff,Q6394603
0080bd8d-bd4a-41fb-ba4a-803ec1bbe548,Q2408892
4d164432-8cc7-4f56-adad-c1a17cc21e29,Q6406731
ec6ad2b0-9971-4053-8dca-ecdddedf8bd4,Q17088606
d1f5b59c-c98f-468e-9575-ffe5019d9ace,Q6487881
067b29cc-0194-4e89-bea4-65d473357411,Q6487896
4d717742-57d0-4963-a6c4-8d83c14bf964,Q6549238
0f828c56-baa7-481e-9f87-73b0091fa688,Q6549243
ee77a6fe-86a7-4aed-ab3b-8b2bd8a64a77,Q6549251
b819aa7d-1ecb-4294-b113-96f0737156a6,Q6673850
9abced74-c24f-4d63-a0fe-f68788d0a844,Q6689841
7474b440-391d-42e3-a1ca-b06b48bc2ba4,Q1869725
10491043-d8d7-47b0-9e5a-56d4c65181d9,Q1929591
db722a5b-df25-42dd-bf81-5f882d8a2c19,Q2040462
4057f43e-6a0e-4e08-9615-726151e88a31,Q7079018
dbff2338-d31e-4432-a26d-708b875d7e3b,Q7367587
cc40abf2-b5e2-440f-ad75-74f4fe5d25c2,Q7367589
c4b910d4-2c96-42fa-9b8d-a98e225bc74e,Q54932109
902361ef-422c-415d-98b7-9249135b7303,Q7540535
9d668d3a-ed4a-4dad-aa75-50491ca8717c,Q7808886
66bf5744-ad13-4cf4-9fab-80df3e2480f6,Q3083080
94d9bb09-8a4e-4f42-87e2-ebd4684150c2,Q2739535
c698fadf-ef9b-4677-a4a9-c5044906409c,Q2109423
94c7d923-c2c4-4114-b86b-f6fc0a389f5c,Q3458611
b2abac42-91e3-4660-82fb-c32b43450e9a,Q2380581
