id,flag,coat_of_arms,identifier__freebase,type,identifier__gnd,start_date,end_date,name__pt,name__et,name__de,name__fr,name__ko,name__he,name__es,name__sr_el,name__sr_ec,name__hr,name__it,name__nl,name__nb,name__en,name__sr,name__cs,name__zh,iso_code,website,identifier__dmoz,identifier__fips,identifier__geonames,replaces,name__eo,name__af,name__ar,name__ast,name__be,name__bg,name__bpy,name__br,name__ca,name__cy,name__da,name__el,name__eu,name__fa,name__fi,name__ga,name__gl,name__gn,name__hi,name__hu,name__ia,name__id,name__io,name__is,name__ja,name__ka,name__kw,name__la,name__lb,name__lt,name__lv,name__mg,name__mk,name__mr,name__ms,name__nn,name__oc,name__os,name__pap,name__pl,name__pms,name__pnb,name__qu,name__ro,name__ru,name__sco,name__sh,name__sk,name__sv,name__sw,name__tet,name__tg,name__th,name__tr,name__uk,name__vi,name__vo,name__war,name__yi,name__yo,name__pt_br,name__eml,name__be_tarask,name__uz,name__nan,name__ta,name__ur,name__gsw,name__hy,name__ceb,name__vec,name__cbk_zam,name__az,name__ay,identifier__bnf,name__en_ca,name__en_gb,name__ang,name__co,name__mwl,name__so,name__sq,name__zh_cn,name__zh_hans,name__zh_hant,name__nds,name__yue,name__mn,name__ku,name__nah,name__vep,name__ne,name__an,name__scn,name__kk,identifier__tgn,name__dz,name__bs,name__sm,name__arz,name__de_ch,name__pa,name__li,name__lmo,name__tl,name__ml,name__bn,name__na,name__sl,name__za,name__bar,name__lad,name__xmf,name__zh_hk,name__zh_sg,name__zh_tw,name__te,name__si
Q1155409,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_do_Estado_da_Guanabara.png,https://upload.wikimedia.org/wikipedia/commons/3/31/Escudo_Rio_de_Janeiro.gif,/m/04l2z6,states of Brazil,4764095-9,1960-04-14,1975-03-15,Guanabara,Guanabara osariik,Guanabara (Bundesstaat),État de Guanabara,구아나바라 주,גואנברה,Estado de Guanabara,Guanabara,Гуанабара,Guanabara,Guanabara,Guanabara,Guanabara,Guanabara,Гуанабара,Guanabara,瓜納巴拉州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,გუანაბარა,,,,,,,,,,,,,,,,,,,Гуанабара,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q119158,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_(Brasil).svg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Brasão_do_Distrito_Federal_(Brasil).svg,/m/012l8y,federal district,,1960-04-21,,Distrito Federal,Liiduringkond,Bundesdistrikt von Brasilien,District Fédéral,연방구,המחוז הפדרלי של ברזיל,Distrito Federal,Savezni distrikt Brazila,Савезни дистрикт Бразила,Brazilski federalni distrikt,Distretto Federale,Federaal District,Distrito Federal,Federal District,Савезни дистрикт Бразила,Distrito Federal do Brasil,聯邦區,BR-DF,http://www.df.gov.br/,,BR07,3463504,Goiás,Federacia Distrikto,Federale Distrik,القطاع الفدرالي البرازيلي,,Федэральная акруга Бразілія,Федерален окръг,,Distrig kevredadel,Districte Federal del Brasil,Distrito Federal,Distrito Federal,Φεντεράλ,Barruti Federala,ناحیه فدرال (برزیل),Distrito Federal,,Distrito Federal,Distrito Federal Vrasil,फेडरल डिस्ट्रिक्ट (ब्राज़ील),Szövetségi kerület,Districto Federal,Distrik Federal Brasil,,,ブラジリア連邦直轄区,ფედერალური ოლქი,Ranndir an Kesunyans Brasilek,Pagus Foederalis,,,Federālais distrikts,,Федерален округ,शासकीय जिल्हा,Wilayah Persekutuan Brazil,,,,,Dystrykt Federalny,Distret Federal dël Brasil,وفاقی ضلع,Tantasqap suyun,Districtul Federal,Федеральный округ,Federal Destrict,Federalni distrikt Brazila,Distrito Federal do Brasil,Brasiliens federala distrikt,,,Ҳавзаи федералии Бразилиа,เขตเฟอเดอรัล,Federal Bölge,Федеральний округ у Бразилії,Quận liên bang Brasil,,Distrito Federal han Brasil,,Brazilian Federal District,Distrito Federal,Distrito Federal,,Federal okrug,,கூட்டரசு மாநிலம்,وفاقی ضلع,,,Federal District (estado sa Brasil),,,Federal dairə,,,,,,,,,Distrikti Federal i Brazilit,联邦区,联邦区,聯邦區,,,,,,,,,,,,,,,,,,,,,,ফেডারেল জেলা,,,,,,,聯邦區,联邦区,聯邦區,ఫెడరల్ జిల్లా,ෆෙඩරල් දිස්ත්‍රික්කය
Q15499,https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paraná.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Brasão_do_Paraná.svg,/m/01hd3f,states of Brazil,,1889,,Paraná,Paraná osariik,Paraná,Paraná,파라나 주,פרנה,Paraná,,,Paraná,Paraná,Paraná,Paraná,Paraná,Парана,Paraná,巴拉那州,BR-PR,http://www.pr.gov.br,Regional/South_America/Brazil/States/Parana/,BR18,3455077,Paraná Province,Paranao,Paraná,بارانا,Paraná,штат Парана,Парана,পারানা,Paraná,Estat de Paranà,Paraná,Paraná,Παρανά,Paraná,پارانا، برزیل,Paraná,Paraná,Estado do Paraná,Parana,पाराना,Paraná,Paraná,Paraná,Paraná,Paraná,パラナ州,პარანა,Paraná,Parana,Paraná,Parana,Parana,Paraná,Парана,पाराना,Paraná,Delstaten Paraná,Estat del Paraná,Парана,Paraná,Parana,Paranà,پارانا,Paraná suyu,Paraná,Парана,Paraná,Paraná,Paraná,Paraná,Paraná,Paraná,Парана,รัฐปารานา,Paraná,Парана,Paraná,Paraná,Paraná,פאראנא,Paraná,Paraná,Paraná,Парана,Parana,Paraná,பரானா,پارانا,Paraná,Պարանա,Paraná (estado),Paraná,Paraná,Parana,Parana Istadu‎;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,পারানা,,,,,,,,,,పరానా,පරනා
Q175,https://upload.wikimedia.org/wikipedia/commons/2/2b/Bandeira_do_estado_de_São_Paulo.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Brasão_do_estado_de_São_Paulo.svg,/m/01hd58,states of Brazil,4051668-4,1889,,São Paulo,São Paulo osariik,São Paulo,État de São Paulo,상파울루 주,סאו פאולו,São Paulo,,,São Paulo,San Paolo,São Paulo,São Paulo,São Paulo,Сао Пауло,São Paulo,圣保罗州,BR-SP,http://www.saopaulo.sp.gov.br,Regional/South_America/Brazil/States/Sao_Paulo/,BR27,3448433,São Paulo Province,San-Paŭlo,São Paulo,ساو باولو,São Paulo,штат Сан-Паўлу,Сао Пауло,সাও পাউলো,São Paulo,Estat de São Paulo,São Paulo,São Paulo,Σάο Πάολο,São Pauloko estatua,ایالت سائوپائولو,São Paulo,São Paulo,Estado de San Paulo - São Paulo,São Paulo,साओ पाउलो,São Paulo,São Paulo,São Paulo,Sao Paulo,São Paulo,サンパウロ州,სან-პაულუ,São Paulo,Sanctus Paulus,,San Paulas,Sanpaulu,,Сао Паоло,साओ पाउलो,São Paulo,Delstaten São Paulo,São Paulo (estat),Сан-Паулу,,São Paulo,São Paulo,ساؤ پاؤلو,São Paulo suyu,São Paulo,Сан-Паулу,São Paulo,São Paulo,São Paulo,São Paulo,São Paulo,,Сан Паулу,รัฐเซาเปาลู,São Paulo,Сан-Паулу,São Paulo,São Paulo,São Paulo,,Sao Paulo,São Paulo,São Paulo,,San Paulu,São Paulo,சாவோ பாலோ,ساؤ پاؤلو,São Paulo,Սան Պաուլու,São Paulo (estado),San Poło,Estado de São Paulo,San-Paulo,,11933588t,São Paulo,São Paulo,São Paulo,São Paulo,San Poulo,São Paulo,Sao Paulo,圣保罗州,圣保罗州,圣保罗州,São Paulo,聖保羅州,Сан-Паулу муж,Sao Paolo,São Paulo,San Paulu,साँओ पाउलो,,,,,,São Paulo (država),,,,,,,,,সাঁও পাওলো,,,,,,,,,,సావో పాలో,සාඕ පවුලෝ
Q38088,https://upload.wikimedia.org/wikipedia/commons/b/bb/Bandeira_da_Paraíba.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Brasao_paraiba.PNG,/m/01hdp5,states of Brazil,,1889,,Paraíba,Paraíba osariik,Paraíba,Paraíba,파라이바 주,פאראיבה,Paraíba,,,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,Параиба,Paraíba,帕拉伊巴,BR-PB,http://www.paraiba.pb.gov.br/,Regional/South_America/Brazil/States/Paraíba/,BR17,3393098,Paraíba Province,Paraibo,Paraíba,بارايبا,Paraíba,Штат Параіба,Параиба,পারাইবা,Paraíba,Paraíba,Paraíba,Paraíba,Παραΐμπα,Paraíba,پارائیبا,Paraíba,Paraíba,Paraíba,Parayva,परेबा,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,パライバ州,პარაიბა,Paraíba,Parahyba,,Paraiba,Paraiba,Paraíba,Параиба,परैबा,Paraiba,Paraíba,Paraíba,Параибæ,,Paraíba,Paraìba,پارائیبا,Paraíba suyu,Paraíba,Параиба,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,Параиба,รัฐปาราอีบา,Paraíba,Параїба,Paraíba,Paraíba,Paraíba,,Paraíba,Paraíba,Paraíba,Параіба,Paraiba,Paraíba,பறைபா,پارائیبا,,Պարաիբա,Paraíba (estado sa Brasil),,Paraíba,Paraiba,Paraiba Istadu,119456089,Paraíba,Paraíba,,Paraíba,,,,,,,Paraíba,,,,,,,Paraíba,Paraíba,Параиба,,,Paraíba,,,,,,,,,পারায়বা,,,,,,,,,,పారాయిబా,පරයිබා
Q39109,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bandeira_de_Minas_Gerais.svg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Brasão_de_Minas_Gerais.svg,/m/01gh6z,states of Brazil,4039398-7,1889,,Minas Gerais,Minas Geraisi osariik,Minas Gerais,Minas Gerais,미나스제라이스 주,מינאס ז'ראיס,Estado de Minas Gerais,,,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Минас Жераис,Minas Gerais,米纳斯吉拉斯,BR-MG,http://www.mg.gov.br/,Regional/South_America/Brazil/States/Minas_Gerais/,BR15,3457153,Minas Gerais Province,Minas-Ĝerajso,Minas Gerais,ميناس جيرايس,Minas Gerais,штат Мінас-Жэрайс,Минас Жерайс,মিনাস জেরায়িস,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Μίνας Ζεράις,Minas Gerais,میناس گرایس,Minas Gerais,Minas Gerais,Minas Xerais - Minas Gerais,Minas Gerais,मिनास जेरायज़,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,ミナスジェライス州,მინას-ჟერაისი,Minas Gerais,Fodinae Generales,,Minas Žeraisas,Minasžeraisa,Minas Gerais,Минаш Жераис,मिनास जेराईस,Minas Gerais,Minas Gerais,Minas Gerais,Минас-Жерайс,Minas Gerais,Minas Gerais,Minas Gerais,مناس گیرائس,Minas Gerais suyu,Minas Gerais,Минас-Жерайс,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Минас Жерайс,รัฐมีนัสเชไรส์,Minas Gerais,Мінас-Жерайс,Minas Gerais,Minas Gerais,Minas Gerais,,Minas Gerais,Minas Gerais,Minas Gerais,Мінас-Жэрайс,Minas-jerais,Minas Gerais,மினாஸ் ஜெரைசு,میناس گیرائس,,Մինաս Ժերաիս,Minas Gerais,Minas Gerais,,Minas-Jerays,Minas Gerais Istadu,11945096r,,,,Minas Gerais,,,Minas Gerais,,,米納斯吉拉斯,,,,,,,,Minas Gerais,,Минас-Жерайс,7006237,མི་ནས་ཞེ་རའིས་,Minas Gerais,Minas Gerais,,,,,,,,মিনাস জেরাসিয়া,,,,,,,,,,మినాస్ జెరాయిస్,මිනාස් ගෙරායිස්
Q39517,https://upload.wikimedia.org/wikipedia/commons/0/02/Bandeira_do_Pará.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Brasão_do_Pará.svg,/m/01hdnp,states of Brazil,,1889,,Pará,Pará osariik,Pará,Pará,파라 주,פארה,Pará,,,Pará,Pará,Pará,Pará,Pará,Пара,Pará,帕拉,BR-PA,http://www.pa.gov.br/,Regional/South_America/Brazil/States/Pará/,BR16,3393129,Grão-Pará Province,Parao,Pará,بارا,Pará,Пара,Пара,পারা,Pará,Pará,Pará,Pará,Παρά,Pará,پارا,Pará,Pará,Pará,Para,पारा,Pará,Pará,Pará,Pará,,パラー州,პარა,Pará,Para,,Para,Para,Pará,,पारा,Pará,Pará,Pará,Пара,,Pará,Parà,پارا,Pará suyu,Pará,Пара,Pará,Pará,Pará,Pará,Pará,Pará,Пара,รัฐปารา,Pará,Пара,Pará,Pará,Pará,,Pará,Pará,Pará,Пара,Para,Pará,பாரா,پارا,,Պարա,Pará (estado),Pará,,Para,Pará Istadu,119785598,Pará,Pará,,,Pará,,Pará,,,,,,,,,,,,,,,,Pará,,بارا,Pará,ਪਾਰਾ,Pará,,,,প্যাারা,,,,,,,,,,పరా,පරා
Q40030,https://upload.wikimedia.org/wikipedia/commons/6/63/Bandeira_do_Rio_Grande_do_Sul.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Brasão_do_Rio_Grande_do_Sul.svg,/m/01l_9d,states of Brazil,,1889,,Rio Grande do Sul,Rio Grande do Suli osariik,Rio Grande do Sul,Rio Grande do Sul,히우그란지두술 주,ריו גראנדה דו סול,Río Grande del Sur,,,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Рио Гранде до Сул,Rio Grande do Sul,南里奥格兰德州,BR-RS,http://www.rs.gov.br,,BR23,3451133,São Pedro do Rio Grande do Sul Province,Suda Rio-Grando,Rio Grande do Sul,ريو غراندي دو سول,Río Grande do Sul,штат Рыу-Гранды-ду-Сул,Рио Гранди до Сул,রিও গ্রান্ডে ডো সুল,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Ρίο Γκράντε ντο Σουρ,Rio Grande do Sul,ریو گرانده دو سول,Rio Grande do Sul,Rio Grande do Sul,Río Grande do Sur - Rio Grande do Sul,Rio Grande do Sul,रियो ग्रांडे दो सुल,Río Grande del Sur,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,リオグランデ・ド・スル州,რიუ-გრანდი-დუ-სული,Rio Grande do Sul,Rivus Magnus Australis,,Pietų Rio Grandė,Riugrandi du Sula,Rio Grande do Sul,Јужна Рио Гранде,रियो ग्रांदे दो सुल,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Риу-Гранди-ду-Сул,,Rio Grande do Sul,Rio Grande dël Sud,ریو گراند دو سول,Urin Hatunmayu suyu,Rio Grande do Sul,Риу-Гранди-ду-Сул,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Riu Grande do Sul,Риу Гранди ду Сул,รัฐรีอูกรันดีดูซูล,Rio Grande do Sul,Ріу-Гранді-ду-Сул,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,,Riu Grandi du Sul,Rio Grande do Sul,இரியோ கிராண்டு டொ சுல்,جنوبی ریو گرانڈی,,Ռիու Գրանդի դու Սուլ,Rio Grande do Sul (estado sa Brasil),Rio Grande do Sul,Rio Grande do Sul,Riu-Qrandi-du-Sul,Rio Grande do Sul Istadu,11951602g,Rio Grande do Sul,Rio Grande do Sul,,,,,,,,,Rio Grande do Sul,,,,Rio Grande do Sul,,,,,Риу-Гранди-ду-Сул,,,Rio Grande do Sul,,,Rio Grande do Sul,,,Rio Grande do Sul,,,রিও গ্রান্ডে দু সোল,,,,,,,,,,రియో గ్రాండ్ డు సల్,රියෝ ග්‍රන්ඩේ ඩු සල්
Q40040,https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Brasão_do_Amazonas.svg,/m/01hdky,states of Brazil,,1889,,Amazonas,Amazonase osariik,Amazonas,Amazonas,아마조나스 주,אמזונאס,Estado de Amazonas,,,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,Амазонас,Amazonas,亚马孙州,BR-AM,http://www.amazonas.am.gov.br/,Regional/South_America/Brazil/States/Amazonas/,BR04,3665361,Amazonas Province,Amazonio,Amazonas,الأمازون,Amazonas,Штат Амазонас,Амазонас,আমাজোনাস,Amazonas,Estat de l'Amazones,Amazonas,Amazonas,Αμαζόνας,Amazonas,آمازوناس,Amazonas,Amazonas,Estado do Amazonas,Amazonas,आमेज़ोनास,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,アマゾナス州,ამაზონასი,Amazonas,Amazones,,Amazonė,Amazonasa,Amazonas,Амазон,अमेझोनास,Amazonas,Amazonas i Brasil,Amazonas,Амазонас,,Amazonas,Amazonas,ایمازوناس,Amarumayu suyu,Amazonas,Амазонас,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,,รัฐอามาโซนัส,Amazonas,Амазонас,Amazonas,Amazonas,Amazonas,,Amazonas,Amazonas,Amazonas,Амазонас,Amazonas,Amazonas,அமேசோனாசு,ایمازوناس,,Ամազոնաս,Amazonas,Amazonas,,Amazonas,Amazonas Istado,11978558x,,,Amazonas,,,,Amazonas,,,,,亞馬遜州,,,Amazonas,,,,,,,,Amazonas,,,,,Amazonas,,,,আমাজোনাস,,,,,,,,,,అమెజోనాస్,ඇමසෝනාස්
Q40123,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Ceará.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Brasão_do_Ceará.svg,/m/01hdlf,states of Brazil,4009641-5,1891,,Ceará,Ceará osariik,Ceará,Ceará,세아라 주,סיארה,Ceará,,,Ceará,Ceará,Ceará,Ceará,Ceará,Сеара,Ceará,塞阿腊,BR-CE,http://www.ceara.gov.br/,Regional/South_America/Brazil/States/Ceará/,BR06,3402362,Ceará Province,Cearao,Ceará,سيارا,Ceará,Штат Сеара,Сеара,কিয়েরা,Ceará,Ceará,Ceará,Ceará,Σεαρά,Ceará,سئارا,Ceará,Ceará,Ceará,Ceara,सियारा,Ceará,Ceará,Ceará,Ceará,Ceará,セアラー州,სეარა,Ceará,Ceara,,Seara,Seara,Ceará,Сеара,सियारा,Ceará,Ceará,Ceará,Сеара,,Ceará,Cearà,کیارا,Ceará suyu,Ceará,Сеара,Ceará,Ceará,Ceará,Ceará,Ceará,Ceará,Сеара,รัฐเซอารา,Ceará,Сеара,Ceará,Ceará,Ceará,,Ceará,Ceará,Ceará,,Seara,Ceará,சியாரா,سئیرا,,,Ceará (estado sa Brasil),Ceará,,Seara,Ceara Istadu,,,,,Ceará,,,,,,,,塞阿拉州,,,,,,,,Сеара,,,Ceará,,,,,,,,,সিয়ারা,,,,,,,,,,సియారా,කෙයාරා
