statement,id,name,start_date,end_date,wikidata
Q29057454-a49cada9-46e1-513b-ed65-04b15122ac77,52,52nd legislature of the National Congress of Brazil,2003-02-01,2007-01-31,Q29057454
Q4640371-2ce7340e-42ae-01a5-38f5-0b60111a7e7e,53,53rd legislature of the National Congress of Brazil,2007-02-01,2011-02-01,Q4640371
Q4640499-3216be96-476d-df7e-3d96-7bb466d9456b,54,54th legislature of the National Congress of Brazil,2011-02-01,2015-01-31,Q4640499
Q18479094-A05530C0-7102-460C-BB03-E4A4961EA154,55,55th legislature of the National Congress of Brazil,2015-02-01,2019-01-31,Q18479094
Q57947486-A131FD3B-84F2-449D-B95F-1921725F06FA,56,56th legislature of the National Congress of Brazil,2019-02-01,2023-01-31,Q57947486
