id,temp_name,twitter,image
88014506,Enza Bruno Bossio,enzabrunobossio,https://pbs.twimg.com/profile_images/477917015496482816/vG9tVMD_.jpeg
90891882,Gea Schirò,geaschiro,https://pbs.twimg.com/profile_images/3153443979/fad9e029d733bf0efe0c4f233b6d73df.png
92556620,Deborah Bergamini,DeborahBergamin,https://pbs.twimg.com/profile_images/640827697028026368/WgaEEfmO.jpg
93917881,Paola Carinelli M5S,berenice0104,https://pbs.twimg.com/profile_images/2889896724/d08782f182c077ba2613b435361be435.png
101507064,Massimo Bray,massimobray,https://pbs.twimg.com/profile_images/691896132478308352/BAlOcC8N.png
104485125,Mara Carfagna,mara_carfagna,https://pbs.twimg.com/profile_images/746636398883704832/0f91VfMY.jpg
105802436,Lorenzo Basso,lorenzobasso,https://pbs.twimg.com/profile_images/436491506132996096/nHf5da8z.jpeg
110146077,Michele Pelillo,michelepelillo,https://pbs.twimg.com/profile_images/667244676/untitled_normal.bmp
112485367,Romina Mura,RominaMura,https://pbs.twimg.com/profile_images/743402563295387648/_zBIgwge.jpg
113075421,Renata Polverini,renatapolverini,https://pbs.twimg.com/profile_images/722425060867358720/TbUZWgtZ.jpg
119007003,Caterina Bini,caterinabini,https://pbs.twimg.com/profile_images/561496618969489408/SQkcuyYd.jpeg
120053510,ArcangeloSannicandro,Sannicandro_A,https://pbs.twimg.com/profile_images/768708598/logo.jpg
120206776,Alberto Losacco,albertolosacco,https://pbs.twimg.com/profile_images/2544689065/image.jpg
120588952,Pia Locatelli,PiaLocatelli,https://pbs.twimg.com/profile_images/3345797858/e0033e29798f285530c08723d23fd545.jpeg
122165045,Stefano Quaranta,stefanoquaranta,https://pbs.twimg.com/profile_images/3432510888/455037462d04faf6f1632297dcb26fbb.jpeg
122445010,Federico D'Incà,FedericoDinca,https://pbs.twimg.com/profile_images/3502717549/85c79d986d3a37dcb8af498b85e2888e.jpeg
124236178,Gianluca Vacca,GianlucaVacca,https://pbs.twimg.com/profile_images/615888623213387777/EVB8yWpP.jpg
127025568,carlo sibilia,carlosibilia,https://pbs.twimg.com/profile_images/627637247366549504/m9yFeBqP.jpg
130537001,Giorgia Meloni ن,GiorgiaMeloni,https://pbs.twimg.com/profile_images/747902700696674304/ay-TVVdT.jpg
133366702,NICOLA BIANCHI,nicola_bianchi,https://pbs.twimg.com/profile_images/448428945378000897/1SFLvpu1.png
136343557,irene tinagli,itinagli,https://pbs.twimg.com/profile_images/1840564890/Irene_id_cropped2.png
138358005,Dino Alberti,dinoalberti,https://pbs.twimg.com/profile_images/2198630172/profilo.jpg
140044951,Dario Ginefra,DarioGinefra,https://pbs.twimg.com/profile_images/2790866462/57fef6ba09678dcaf1257a9180c94dd6.png
140133595,Cécile Kyenge,ckyenge,https://pbs.twimg.com/profile_images/575062648426909696/ldrZqOiS.jpeg
143964261,Francesco Sanna,SenSanna,https://pbs.twimg.com/profile_images/603141350876385280/9yEc_LiV.jpg
144210805,Daniele Capezzone,Capezzone,https://pbs.twimg.com/profile_images/700032662740844544/H31jC0zl.jpg
149060372,Angelino Alfano,angealfa,https://pbs.twimg.com/profile_images/649912171267260416/opX19rud.jpg
154082631,Gennaro Migliore,gennaromigliore,https://pbs.twimg.com/profile_images/564565929385000961/GcPK71oY.jpeg
154475556,Mauro Ottobre,MauroOttobre,https://pbs.twimg.com/profile_images/992544956/55484_-_Copia.jpg
155588864,Davide Baruffi,Davidebaruffi,https://pbs.twimg.com/profile_images/2255652096/317517_268228729856146_100000070634460_1160420_5371556_n.jpg
156316785,Max Fedriga ن,M_Fedriga,https://pbs.twimg.com/profile_images/613415090226900992/LJJiWVGO.jpg
158067709,Renata Bueno,RenataBueno23,https://pbs.twimg.com/profile_images/378800000411074365/4cd13a02fb160f97da36a721b3d264ae.jpeg
168586183,Gianluca Benamati,GBenamati,https://pbs.twimg.com/profile_images/740550376814972928/0u8oj7yT.jpg
177610735,Saverio Romano,SaverioRomano,https://pbs.twimg.com/profile_images/674055256905486336/RHKaMrPm.jpg
185644124,Vincenzo Caso,Enzokas,https://pbs.twimg.com/profile_images/565456649305866240/vWB3hi19.jpeg
194768449,Andrea Cecconi,andreacecconi84,https://pbs.twimg.com/profile_images/666291484988166145/3-Fpd2Lc.jpg
195689744,Massimo De Rosa,Maxdero,https://pbs.twimg.com/profile_images/624138671793545216/pwXPbM0N.jpg
202726940,Daniele Del Grosso,DgPilot81,https://pbs.twimg.com/profile_images/672733579479293952/-QExc4Dr.jpg
203915389,CLAUDIO COMINARDI,QUINTOCITTADINO,https://pbs.twimg.com/profile_images/416197417252302848/CAxOqnm0.jpeg
206384672,Enzo Lattuca,enzlat,https://pbs.twimg.com/profile_images/579972118806425600/r1a17CZG.jpg
208642171,Manlio Di Stefano,ManlioDS,https://pbs.twimg.com/profile_images/692405594104467456/_i0MICQP.jpg
210951712,Michela V. Brambilla,mvbrambilla,https://pbs.twimg.com/profile_images/1513353320/foto_4_.jpg
213663506,Giuseppe Galati,GiuseppeGalati,https://pbs.twimg.com/profile_images/2348951443/o5y2y75qzvjx6bxi6xrb.jpeg
216361540,Lia Quartapelle,LiaQuartapelle,https://pbs.twimg.com/profile_images/745315205685600256/O2uE6iMo.jpg
