id,type,name__it,name__fr,name__ca,name__ro,start_date,name__en,name__lmo,name__fi,name__de
Q16487502,constituency of the Italian Chamber of Deputies,circoscrizione Abruzzo,circonscription d'Abruzzo,,,,,,,
Q16541755,constituency of the Italian Chamber of Deputies,circoscrizione Basilicata,circonscription de Basilicata,,,,,,,
Q16541758,constituency of the Italian Chamber of Deputies,circoscrizione Campania 1,circonscription de Campania 1,,circumscripția Campania 1,,,,,
Q16541763,constituency of the Italian Chamber of Deputies,circoscrizione Emilia-Romagna,circonscription d'Emilia-Romagna,Emília-Romanya,circumscripția Emilia-Romagna,1993-08-04,,,,
Q16541782,constituency of the Italian Chamber of Deputies,circoscrizione Lazio 2,circonscription de la Lazio 2,,,,,,,
Q16541787,constituency of the Italian Chamber of Deputies,circoscrizione Lombardia 1,circonscription de Lombardie 1,Llombardia 1,,,Lombardie 1,Circoscrizion Lombardia 1,,
Q16541789,constituency of the Italian Chamber of Deputies,Circoscrizione Lombardia 2,circonscription de Lombardie 2,,,,,,,
Q16541792,constituency of the Italian Chamber of Deputies,Circoscrizione Lombardia 4,circonscription de Lombardie 4,,,,,,,
Q16541794,constituency of the Italian Chamber of Deputies,circoscrizione Marche,circonscription de Marche,,,,,,,
Q16541799,constituency of the Italian Chamber of Deputies,circoscrizione Piemonte 1,circonscription du Piémont 1,,,1993-08-04,Piémont 1,,,
Q16541803,constituency of the Italian Chamber of Deputies,circoscrizione Piemonte 2,circonscription du Piémont 2,,,1993-08-04,Piemonte 2,,,
Q16541807,constituency of the Italian Chamber of Deputies,circoscrizione Puglia,circonscription de Puglia,,,,,,,
Q16541809,constituency of the Italian Chamber of Deputies,circoscrizione Sardegna,circonscription de Sardaigne,,,,,,,
Q16541812,constituency of the Italian Chamber of Deputies,circoscrizione Sicilia 1,circonscription de Sicile 1,,,,,,,
Q16541816,constituency of the Italian Chamber of Deputies,circoscrizione Sicilia 2,circonscription de Sicile 2,,,,,,,
Q16541820,constituency of the Italian Chamber of Deputies,circoscrizione Toscana,circonscription de Toscane,,,,,,Toscanan vaalipiiri,Wahlbezirk XII Toskana
Q16541823,constituency of the Italian Chamber of Deputies,circoscrizione Trentino-Alto Adige,circonscription de Trentino-Alto Adige,,,,,,Trentino-Alto Adigen vaalipiiri,
Q16541828,constituency of the Italian Chamber of Deputies,circoscrizione Valle d'Aosta,circonscription de la Vallée d'Aoste,,,,,,,
Q16541832,constituency of the Italian Chamber of Deputies,circoscrizione Veneto 2,circonscription du Veneto 2,,,,,,,Wahlbezirk VII Venetien 1
Q16541837,constituency of the Italian Chamber of Deputies,circoscrizione Veneto 1,circonscription du Veneto 1,,,,,,,Wahlbezirk VIII Veneto 2
Q17625440,constituency of the Italian Chamber of Deputies,circoscrizione Campania 2,circonscription de Campania 2,,,,,,,
Q3677902,constituency of the Italian Chamber of Deputies,circoscrizione Calabria,circonscription de Calabre,,,,,,,
Q3677904,constituency of the Italian Chamber of Deputies,circoscrizione Friuli-Venezia Giulia,circonscription de Friuli-Venezia Giulia,,,,,,,
Q3677917,constituency of the Italian Chamber of Deputies,circoscrizione Lazio 1,circonscription de la Lazio 1,Laci 1,,,,,,
Q3677918,constituency of the Italian Chamber of Deputies,circoscrizione Liguria,circonscription de Liguria,,,,,,,
Q3677920,constituency of the Italian Chamber of Deputies,circoscrizione Umbria,circonscription d'Umbrie,,,,,,,
Q3677921,constituency of the Italian Chamber of Deputies,circoscrizione Molise,circonscription de Molise,,,,,,,
Q44050239,overseas constituency of the Italian Parliament,ripartizione Europa,,,,,Europe,,,
