id,name,area,party_id,party,term
1,Afioga Hon AEAU Peniamina Leavaiseeta,Falealupo,TS,Tautua Samoa,16
10,Tofa FAAOLESA Katopau T. Ainuu,Vaimauga Sisifo Nu.2,H,HRPP,16
11,Tofa Hon FAASOOTAULOA Pati Taulapapa,Gagaemauga Nu. 2,H,HRPP,16
12,Afioga FAAULUSAU Rosa Duffy-Stowers (F),Gagaifomauga Nu. 3,H,HRPP,16
13,Tofa FAIMALOTOA Kika Iemaima Stowers,Gagaifomauga Nu. 1,H,HRPP,16
14,Afioga FAUMUINA ASI PAULI Wayne Fong,Urban West,H,HRPP,16
15,Afioga Hon FAUMUINA TIATIA FAAOLATANE Liuga,Palauli le Falefa,H,HRPP,16
16,Afioga Hon FIAME Naomi Mataafa,Lotofaga,H,HRPP,16
17,Afioga FUIMAONO TEO Samuelu Teo,Falealili East,H,HRPP,16
18,Afioga Hon GATOLOAIFAANA Amataga Alesana-Gidlow,Faasaleleaga Nu. 1,H,HRPP,16
19,Tofa ILI Setefano Taateo Tafili,Aana Alofi Nu.2,TS,Tautua Samoa,16
2,Afioga AFAMASAGA Lepuiai Rico Tupai,Aana Alofi Nu. 3,H,HRPP,16
20,Susuga Hon LAAULI POLATAIVAO Leuatea,Gagaifomauga Nu. 3,H,HRPP,16
21,Tofa Hon LAUOFO FONOTOE NUAFESILI Pierre Lauofo,Anoamaa Sisifo,H,HRPP,16
22,Afioga Hon LAUTAFI Fio Selafi Purcell,Satupaitea,H,HRPP,16
23,Afioga LEAANA Ronnie Posini,Safata West,H,HRPP,16
24,Tofa LEALAILEPULE Rimoni Aiafi,Faleata i Sisifo,H,HRPP,16
25,Afioga Hon LEAUPEPE T. Toleafoa Faafisi,Aana Alofi Nu.1 West,H,HRPP,16
26,Tofa LENATAI Victor Faafoi Tamapua,Vaimauga Sisifo Nu.1,H,HRPP,16
27,Afioga LOAU SOLA Keneti Sio,Sagaga le Falefa,H,HRPP,16
28,Tofa LOPAOO Natanielu Mua,Vaisigano Nu. 1,H,HRPP,16
29,Susuga MULIPOLA LEIATAUA Laki,Aiga i le Tai,H,HRPP,16
3,Afioga AFOA AMITUANAI Faleulu Mauli,Palauli Sisifo,H,HRPP,16
30,Tofa NAFOITOA Talaimanu Keti,Gagaemauga No.3,H,HRPP,16
31,Tofa NONU Lose Niumata,Safata East,H,HRPP,16
32,Tofa OLO Fiti Afoa Vaai,Salega East,TS,Tautua Samoa,16
33,Susuga Hon PAPALIITELE Niko Lee Hang,Urban East,H,HRPP,16
34,Tofa PAU Sefo Taumata Pau,Faasaleleaga Nu. 2,H,HRPP,16
35,Afioga PESETA Vaifou Tevagaena,Faasaleleaga Nu. 4,H,HRPP,16
36,Afioga Hon SALA FATA Pinati,Gagaemauga Nu. 1,H,HRPP,16
37,Afioga SALAUSA John Ah Ching,Faleata Sasae (East),H,HRPP,16
38,Susuga SEIULI Ueligitone Seiuli,Sagaga le Usoga,H,HRPP,16
39,Afioga SILI Epa Tuioti,Faasaleleaga Nu. 1 East,H,HRPP,16
4,Afioga ALAIASA MOEFAAUOUO MALAGAITUTOGIAI Sepulona Moananu,Anoamaa Sasae (East),H,HRPP,16
40,Tofa SOOALO UMI FEO Mene,Gagaifomauga Nu. 2,H,HRPP,16
41,Afioga SULAMANAIA Fetaiai Tauiliili Tuivasa,Vaimauga Sasae,H,HRPP,16
42,Afioga TAEFU Lemi,Falelatai & Samatau,H,HRPP,16
43,Afioga TAFUA Maluelue Tafua,Aleipata Itupa i Lalo,H,HRPP,16
44,Afioga TAPULESATELE Mauteni Tamasone Metuli II Esera,Vaisigano Nu. 2,H,HRPP,16
45,Afioga TIALAVEA FEA LENIU Tionisio Hunt,Vaa o Fonoti,H,HRPP,16
46,Afioga TOFA Foleni Lio Tama Galu,Faasaleleaga Nu. 3,H,HRPP,16
47,Afioga TOLEAFOA Ken Vaafusuaga Poutoa,Lefaga & Faleaseela,H,HRPP,16
48,Afioga TOOMATA Aki Tuipea,Salega West,H,HRPP,16
49,Afioga TUIFAASISINA MISA Lisati Leleisiuao Palemene,Palauli Sasae,H,HRPP,16
5,Afioga ALIIMALEMANU Alofa Tuuau,Alataua Sisifo (West),H,HRPP,16
50,Afioga Hon TUITAMA Talalelei Tuitama,Aana Alofi Nu. 1 East,H,HRPP,16
6,Afioga AMITUANAI Fagaivalu Kenrick Samu,Aleipata Itupa i Luga,H,HRPP,16
7,Susuga Hon AUELUA Fatialofa Lupesoliai Tuilaepa Dr Sailele Malielegaoi,Lepa,H,HRPP,16
8,Tofa AUMUA Isaia Lameko,Falealili West,H,HRPP,16
9,Afioga FAALOGO Iosefa Sopi,Siumu,H,HRPP,16
