name,wikiname,party,area,term
A'eau Peniamina,A'eau Peniamina,TSP,Falealupo,15
Afoafouvale John Moors,"",HRPP,Palauli East,15
Afualo Wood Salele,"",TSP,Salega,15
Agafili Patisela Eteuati Tolovaa,"",HRPP,Palauli West,15
Alaiasa Filipo Schwarts Hunt,"",HRPP,Anoama'a East,15
Aveau Niko Palamo,Aveau Niko Palamo,TSP,Faleata East,15
Faamoetauloa Ulaitino Faale Tumaalii,"",HRPP,Gagaemauga No. 3,15
Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,HRPP,Palauli-Le-Falefa,15
Fiame Naomi,Fiame Naomi Mata'afa,HRPP,Lotofaga,15
Fonotoe Pierre Lauofo,"",HRPP,Anoama'a West,15
Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,HRPP,Fa'asalele'aga No. 1,15
Ifopo Matia Filisi,"",HRPP,Aiga-I-Le-tai,15
Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,HRPP,Gagaifomauga No. 3,15
Lafaitele Patrick Leiataualesa,"",HRPP,Alataua West,15
Le Mamea Ropati,Le Mamea Ropati,HRPP,Lefaga & Falese'ela,15
Lealailepule Rimoni Aiafi,Lealailepule Rimoni Aiafi,TSP,Faleata West,15
Lefau Harry Schuster,Lefau Harry Schuster,TSP,Vaimauga West,15
Lenatai Victor Faafoi Tamapua,"",HRPP,Vaimauga West,15
Levaopolo Talatonu Va’ai,"",TSP,Gagaemauga No. 2,15
Magele Mauiliu Magele,"",HRPP,Fa'asalele'aga No. 1,15
Manualesagalala Enokati Posala,"",HRPP,Safata,15
Maualaivao Pat Ah Him,"",HRPP,Individual,15
Motuopuaa Uifagasa Aisoli,"",TSP,Vaisigano No. 2,15
Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,HRPP,Sagaga-Le-Usoga,15
Niko Lee Hang,Niko Lee Hang,HRPP,Individual,15
Palusalue Fa’apo II,Palusalue Fa’apo II,TSP,Safata,15
Papali’i Li’o Taeu Masipau Tuilagi,"",TSP,Fa'asalele'aga No. 2,15
Peseta Vaifou Tevaga,"",HRPP,Fa'asalele'aga No. 4,15
Sala Fata Pinati,"",HRPP,Gagaemauga No. 1,15
So'oalo Mene,"",HRPP,Gagaifomauga No. 2,15
Taefu Lemi,"",HRPP,Falelatai & Samatau,15
Tafua Maluelue Tafua,"",HRPP,Aleipata Itupa-I-Lalo,15
Tapuai Toese Ah Sam,"",TSP,Salega,15
Taua Kitiona Seuala,"",HRPP,Aleipata-Itupa-I-luga,15
Tavui Tiafau Tafu Salevao,"",HRPP,Satupa'itea,15
Tialavea Fea Tionisio Seigafolava,"",HRPP,Va'a-O-Fonoti,15
Toeolesulusulu Cedric Schuster,"",TSP,A'ana Alofi No. 3,15
Toleafoa Apulu Fa'afisi,"",HRPP,A'ana Alofi No. 1,15
Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,HRPP,A'ana Alofi No. 2,15
Tuilaepa Sailele Malielegaoi,Tuilaepa Aiono Sailele Malielegaoi,HRPP,Lepa,15
Tuileutu Alava'a Voi,"",TSP,Fa'asalele'aga No. 3,15
Tuilo'a Anitelea,"",HRPP,Gagaifomauga No. 1,15
Tuiloma Lameko,"",HRPP,Falealili,15
Tuisa Tasi Patea,"",HRPP,Sagaga-Le-Falefa,15
Tuisugaletaua Sofara Aveau,"",HRPP,Vaimauga East,15
Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,HRPP,A'ana Alofi No. 1,15
Tusa Misi Tupuola,"",HRPP,Falealili,15
Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,HRPP,Si'umu,15
Va'ai Papu Vailupe,Va'ai Papu Vailupe,TSP,Vaisigano No.1,15
