uuid,female,male,other,skip,total
00752a19-a1b6-4177-8d0e-ec326ccd8bea,0,5,0,1,6
00f3d70e-feab-4723-b2f4-6f184cab02d5,0,5,0,0,5
01cdca5d-9251-4ad3-ac9a-4e6858ad6661,0,3,0,0,3
01dfd6e5-7346-4a63-b5dc-63cb2718b415,3,0,0,0,3
027dd72f-0ba5-4f03-a800-39baf85d70a0,0,5,0,0,5
02bd3bda-0def-4111-a68e-60eda096b49a,0,5,0,0,5
031bbde0-4b54-4069-af42-d58b5a729b95,0,3,0,0,3
0349ac43-7dd3-4902-b276-446a79d8107b,0,4,0,0,4
036fd9ec-0408-4f36-8bd3-a1d0e4ec0980,0,2,0,0,2
04559377-8ae0-4c63-9adf-d0b66b2996c2,0,4,0,0,4
045aab92-efc3-4b6d-bcf2-36557ce5ac97,0,5,0,0,5
048bdb3a-7eb2-41d9-aa53-6453b1d533e1,0,5,0,0,5
06050c2b-0101-4ce0-93b7-2f290adf7b46,0,5,0,0,5
067b94f2-97fa-4534-ba66-f1cb061eaed0,0,3,0,0,3
06883454-a697-45e8-aaa3-1a9389263661,0,3,0,0,3
072963af-eb56-44e4-9bc3-ea33060ec361,0,5,0,0,5
07bbc741-90e6-47db-8265-d8c918d03476,0,5,0,0,5
0887873e-e61b-46db-bb7e-8240a6002df3,5,0,0,0,5
098ac0b1-b23c-4e9e-94d0-b8e75d8fd3d9,0,5,0,0,5
0a10cb50-0cb1-4bc2-9b01-04191892013b,0,3,0,0,3
0bbbff80-4901-48dd-89bd-413af5f66294,0,3,0,0,3
0bbddd7c-5b34-449c-8bd2-758c90b30b60,0,4,0,0,4
0bcd5d6d-e171-4797-bfd7-ff9a4392cd73,0,3,0,0,3
0cdfc9a0-e62d-49a4-9a25-60201c133907,0,5,0,0,5
0ce070d5-4b34-46bb-85e8-d66ba7d2ea21,0,2,0,0,2
0ce8bfc5-bc65-4ef3-85cb-007d5cbc63ee,0,5,0,0,5
0dada55a-cfec-48b1-8be7-57023af4691c,0,5,0,0,5
0dc0334d-581d-4c29-9bc0-c896ba9a8a76,0,3,0,1,4
0df67823-ac09-4dc1-b938-b85dc01a7d14,0,5,0,0,5
0e846402-0a62-4b0d-b245-e426accfb538,0,4,0,0,4
0e9f8a62-4656-4995-8a37-96cd504c5e44,0,5,0,0,5
0f8fa8f4-b5b3-4c8a-873e-459204064140,3,1,0,0,4
0fa281ab-08dd-43b4-a767-62da05665f7e,0,4,0,0,4
0fb9ea9d-6dab-45cf-b3c0-875581ef1543,0,3,0,0,3
0fdeb696-ca6c-4146-9813-faca876017be,0,3,0,0,3
1021fa0c-5be8-468d-8e6b-7cefe40757a7,0,5,0,1,6
102a621f-fc42-47d9-b82c-6a236fc01e1d,0,3,0,0,3
