id,label,type
Q1139938,Prime Minister of the Philippines,cabinet
Q1209571,President of the Philippines,cabinet
Q17088037,Secretary of Foreign Affairs,cabinet
Q2723485,Vice President of the Philippines,cabinet
Q7444282,Secretary of Agrarian Reform,cabinet
Q7444283,Secretary of Agriculture,cabinet
Q7444285,Secretary of Budget and Management,cabinet
Q7444298,Secretary of Education,cabinet
Q7444301,Secretary of Energy,cabinet
Q7444302,Secretary of Environment and Natural Resources,cabinet
Q7444305,Secretary of Finance,cabinet
Q7444312,Secretary of Health,cabinet
Q7444314,Secretary of Justice,cabinet
Q7444316,Secretary of Labor and Employment,cabinet
Q7444318,Secretary of National Defense,cabinet
Q7444321,Secretary of Public Works and Highways,cabinet
Q7444322,Secretary of Science and Technology,cabinet
Q7444323,Secretary of Social Welfare and Development,cabinet
Q7444399,Secretary of Trade and Industry,cabinet
Q7444400,Secretary of Tourism,cabinet
Q7444401,Secretary of Transportation and Communications,cabinet
Q7444421,Secretary of the Interior and Local Government,cabinet
