id,label,type
Q11122003,Vice-President of the Executive Council,cabinet
Q11796917,"Minister for Broadband, Communications and the Digital Economy",cabinet
Q11796924,Minister for Climate Change and Energy Efficiency (Australia),cabinet
Q11796950,Minister for Immigration and Border Protection of Australia,cabinet
Q11796967,Minister for Education,cabinet
Q11796971,Minister for Small Business (Australia),cabinet
Q11796976,Minister for Social Inclusion (Australia),cabinet
Q11796981,Minister for Sport,cabinet
Q11796986,"Minister for Sustainability, Environment, Water, Population and Communities",cabinet
Q16147127,Leader of the House,cabinet
Q17007714,Minister for Indigenous Affairs,cabinet
Q2390270,Treasurer of Australia,cabinet
Q24026255,Minister for Aged Care,cabinet
Q25514686,Minister for Justice and Consumer Affairs,cabinet
Q25770029,Minister for Housing,cabinet
Q25909440,Minister for Special Trade Negotiations of Australia,cabinet
Q2660943,Minister for Foreign Affairs,cabinet
Q28183645,Minister for Heritage,cabinet
Q28184437,Minister for Education,cabinet
Q28943104,Minister for Training and Workforce Development,cabinet
Q319145,Prime Minister of Australia,cabinet
Q3315112,Minister for Defence,cabinet
Q5261065,Deputy Prime Minister of Australia,cabinet
Q57278557,Minister for Forestry and Conservation,cabinet
Q6865745,Minister for Agriculture and Water Resources,cabinet
Q6865784,Minister for Defence Materiel,cabinet
Q6865787,Minister for Defence Science and Personnel,cabinet
Q6865795,Minister for Education,cabinet
Q6865809,Minister for Employment and Workplace Relations,cabinet
Q6865821,Minister for Social Services,cabinet
Q6865833,Minister for Finance of Australia,cabinet
Q6865857,Minister for Health,cabinet
Q6865868,Minister for Home Affairs,cabinet
Q6865874,Minister for Human Services,cabinet
Q6865883,Minister for Industry and Innovation,cabinet
Q6865888,Minister for Infrastructure and Transport,cabinet
Q6865898,Minister for Justice,cabinet
Q6865900,Minister for Justice,cabinet
Q6865914,"Minister for Local Government, Territories and Roads",cabinet
Q6865936,Minister for Primary Industries,cabinet
Q6865979,Minister for Trade,cabinet
Q6865985,Minister for Veterans' Affairs,cabinet
Q6865994,Minister for the Arts,cabinet
Q6866013,Minister for the Status of Women,cabinet
Q7574624,Special Minister of State,cabinet
