seatid,id,name,constituency,website,photograph,party,term,source
27,"",Dr. Md. Akkas Ali Sarker,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=3437,"",Jatiya Party,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
243,"",Bodruddoza Md. Farhad Hossain,Brahmanbaria,"","",Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
01,1001,Nazmul Haque Prodhan,Panchagarh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2552,http://www.parliament.gov.bd/images/10th_Par_Picture/1001.jpg,Jatiya Samajtantrik Dal,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
05,1005,Md. Yeasin Ali,Thakurgaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2350,http://www.parliament.gov.bd/images/10th_Par_Picture/1005.jpg,Workers Party of Bangladesh,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
100,10100,Mohammad Mizanur Rahman,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2497,http://www.parliament.gov.bd/images/10th_Par_Picture/10100.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
104,10104,SK. Md. Nurul Haque,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2503,http://www.parliament.gov.bd/images/10th_Par_Picture/10104.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
105,10105,Mustafa Lutfullah,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2506,http://www.parliament.gov.bd/images/10th_Par_Picture/10105.jpg,Workers Party of Bangladesh,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
106,10106,Mir Mostaque Ahmed Robi,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2508,http://www.parliament.gov.bd/images/10th_Par_Picture/10106.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
108,10108,S.M. Jaglul Hayder,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2509,http://www.parliament.gov.bd/images/10th_Par_Picture/10108.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
11,1011,Md. Shibli Sadique,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2396,http://www.parliament.gov.bd/images/10th_Par_Picture/1011.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
110,10110,Showkat Hasanur Rahman (Rimon),Barguna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2442,http://www.parliament.gov.bd/images/10th_Par_Picture/10110.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
111,10111,A.B.M. Ruhul Amin Howlader,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2342,http://www.parliament.gov.bd/images/10th_Par_Picture/10111.jpg,Jatiya Party,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
113,10113,A.K.M Zahangir Hossain,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2668,http://www.parliament.gov.bd/images/10th_Par_Picture/10113.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
116,10116,Ali Azam,Bhola,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2444,http://www.parliament.gov.bd/images/10th_Par_Picture/10116.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
119,10119,Abul Hasanat Abdullah,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2637,http://www.parliament.gov.bd/images/10th_Par_Picture/10119.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english
