id,party,name,sort_name,honorific_prefix,faction,start_date,birth_date,source,twitter,facebook,website,term,honorific_suffix
891,"",LjILjANA DjUROVIC,LjILjANA DjUROVIC,"","",2016-06-03,1953,http://www.parlament.gov.rs/LjILjANA_DjUROVIC.891.488.html,,,,11,""
959,"",SVETLANA KOZIC,SVETLANA KOZIC,"",Enough Is Enough,2016-06-03,1978,http://www.parlament.gov.rs/SVETLANA_KOZIC.959.488.html,,,,11,""
835,"",SRDJAN KRUZEVIC,SRDJAN KRUZEVIC,"",United Serbia,2016-06-03,1977,http://www.parlament.gov.rs/SRDJAN_KRUZEVIC.835.488.html,,,,11,""
699,"",RASIM LJAJIC,RASIM LJAJIC,"",Social Democratic Party of Serbia,2016-06-03,1964,http://www.parlament.gov.rs/RASIM_LJAJIC.699.488.html,,,,11,""
977,"",BILjANA RUBAKOVIC,BILjANA RUBAKOVIC,"",Dveri,2016-06-03,1960,http://www.parlament.gov.rs/BILjANA_RUBAKOVIC.977.488.html,,,,11,""
860,"",SULEJMAN UGLjANIN,SULEJMAN Dr UGLjANIN,Dr,Liberal Democratic Party - SDA Sandzak,2016-06-03,1953,http://www.parlament.gov.rs/SULEJMAN_UGLjANIN.860.488.html,,,,11,""
30,"",ALEKSANDAR VUCIC,ALEKSANDAR VUCIC,"","",2016-06-03,1970,http://www.parlament.gov.rs/ALEKSANDAR_VUCIC.30.488.html,,,,11,""
984,"",MIROSLAV ALEKSIC,MIROSLAV ALEKSIC,"","Social Democratic Party, People’s Movement of Serbia",2016-06-03,1978,http://www.parlament.gov.rs/MIROSLAV_ALEKSIC.984.488.html,,,,11,""
633,"",ALEKSANDAR ANTIC,ALEKSANDAR ANTIC,"",Socialist Party of Serbia,2016-06-03,1969,http://www.parlament.gov.rs/ALEKSANDAR_ANTIC.633.488.html,,,,11,""
416,"",KONSTANTIN ARSENOVIC,KONSTANTIN ARSENOVIC,"",Party of United Pensioners of Serbia,2016-06-03,1940,http://www.parlament.gov.rs/KONSTANTIN_ARSENOVIC.416.488.html,,,,11,""
676,"",VEROLJUB ARSIC,VEROLJUB ARSIC,"",Serbian Progressive Party,2016-06-03,1969,http://www.parlament.gov.rs/VEROLJUB_ARSIC.676.488.html,,,,11,""
603,Serbian Progressive Party,MARKO ATLAGIC,MARKO Prof. Dr ATLAGIC,Prof Dr,Serbian Progressive Party,2016-06-03,1949,http://www.parlament.gov.rs/MARKO_ATLAGIC++.603.488.html,,,,11,""
872,"",VLADO BABIC,VLADO BABIC,"",Serbian Progressive Party,2016-06-03,1960,http://www.parlament.gov.rs/VLADO_BABIC.872.488.html,,,,11,""
769,Social Democratic Party of Serbia,MUAMER BACEVAC,MUAMER Dr BACEVAC,Dr,Social Democratic Party of Serbia,2016-06-03,1977,http://www.parlament.gov.rs/MUAMER_BACEVAC.769.488.html,http://twitter.com/mbacevac,,,11,""
247,Socialist Party of Serbia,DUSAN BAJATOVIC,DUSAN BAJATOVIC,"",Socialist Party of Serbia,2016-06-03,1967,http://www.parlament.gov.rs/DUSAN_BAJATOVIC.247.488.html,,,,11,""
781,"",DRAGANA BARISIC,DRAGANA Dr BARISIC,Dr,Serbian Progressive Party,2016-06-03,1975,http://www.parlament.gov.rs/DRAGANA_BARISIC.781.488.html,,http://www.facebook.com/dragana.micic.barisic,,11,""
713,Social Democratic Party of Serbia,IVAN BAUER,IVAN Dr BAUER,Dr,Social Democratic Party of Serbia,2016-08-11,1967,http://www.parlament.gov.rs/IVAN_BAUER+.713.488.html,http://twitter.com/bauerivan,http://facebook.com/ivanbauer,,11,""
679,"",IGOR MA BECIC,IGOR MA BECIC,"",Serbian Progressive Party,2016-06-03,1971,http://www.parlament.gov.rs/IGOR_BECIC+.679.488.html,,,,11,""
952,"",ALEKSANDRA BELACIC,ALEKSANDRA BELACIC,"",Serbian Radical Party,2016-06-03,1986,http://www.parlament.gov.rs/ALEKSANDRA_BELACIC.952.488.html,,,,11,""
758,"",MILENA BICANIN,MILENA BICANIN,"",Social Democratic Party of Serbia,2016-06-03,1964,http://www.parlament.gov.rs/MILENA_BICANIN.758.488.html,,,,11,""
927,"",MARKO BLAGOJEVIC,MARKO BLAGOJEVIC,"",Serbian Progressive Party,2016-06-03,1976,http://www.parlament.gov.rs/MARKO_BLAGOJEVIC.927.488.html,,,,11,""
23,Serbian Progressive Party,BRANISLAV BLAZIC,BRANISLAV Dr BLAZIC,Dr,Serbian Progressive Party,2016-06-03,1957,http://www.parlament.gov.rs/BRANISLAV_BLAZIC+.23.488.html,,,,11,""
782,Serbian Progressive Party,ZARKO BOGATINOVIC,ZARKO BOGATINOVIC,"",Serbian Progressive Party,2016-06-03,1964,http://www.parlament.gov.rs/ZARKO_BOGATINOVIC.782.488.html,,,,11,""
250,"",GORAN BOGDANOVIC,GORAN BOGDANOVIC,"","Social Democratic Party, People’s Movement of Serbia",2016-06-03,1963,http://www.parlament.gov.rs/GORAN_BOGDANOVIC.250.488.html,,,,11,""
720,"",SNEZANA BOGOSAVLjEVIC BOSKOVIC,SNEZANA Prof. Dr BOGOSAVLjEVIC BOSKOVIC,Prof Dr,Socialist Party of Serbia,2016-06-03,1964,http://www.parlament.gov.rs/SNEZANA_BOGOSAVLjEVIC+BOSKOVIC+.720.488.html,,,,11,""
624,"",ZORAN BOJANIC,ZORAN BOJANIC,"",Serbian Progressive Party,2016-06-03,1959,http://www.parlament.gov.rs/ZORAN_BOJANIC.624.488.html,,http://www.facebook.com/zoranboj89,,11,""
951,"",DUBRAVKO BOJIC,DUBRAVKO BOJIC,"",Serbian Radical Party,2016-06-03,1953,http://www.parlament.gov.rs/DUBRAVKO_BOJIC.951.488.html,,,,11,""
947,"",MILOVAN BOJIC,MILOVAN Prof. Dr BOJIC,Prof Dr,Serbian Radical Party,2016-06-03,1955,http://www.parlament.gov.rs/MILOVAN_BOJIC.947.488.html,,,,11,""
893,"",DUSAN BORKOVIC,DUSAN BORKOVIC,"",Serbian Progressive Party,2016-06-03,1984,http://www.parlament.gov.rs/DUSAN_BORKOVIC.893.488.html,,,,11,""
969,"",MILOS BOSKOVIC,MILOS BOSKOVIC,"",Enough Is Enough,2016-06-03,1985,http://www.parlament.gov.rs/MILOS_BOSKOVIC.969.488.html,http://twitter.com/misaizdaleka,http://facebook.com/misaizdaleka,,11,""
966,"",NENAD BOZIC,NENAD BOZIC,"",Enough Is Enough,2016-06-03,1971,http://www.parlament.gov.rs/NENAD_BOZIC.966.488.html,http://twitter.com/nbozic,http://facebook.com/nenad.bozic.boza,,11,""
559,"",BALSA BOZOVIC,BALSA BOZOVIC,"",Democratic Party,2016-06-03,1983,http://www.parlament.gov.rs/BALSA_BOZOVIC.559.488.html,,,,11,""
944,Socialist Party of Serbia,JOSIP BROZ,JOSIP BROZ,"",Socialist Party of Serbia,2016-06-03,1947,http://www.parlament.gov.rs/JOSIP_BROZ.944.488.html,,,,11,""
