statement,id,name,start_date,end_date,wikidata
Q20435521-3A462848-1A5D-4706-A03C-6F8818766DDD,1,1st Convocation of the National Assembly of the Republic of Serbia,1991-01-11,1993-01-25,Q20435521
Q20434770-4B7B08DA-F63A-4D5B-BF89-DB555BAF3E7C,2,2nd Convocation of the National Assembly of the Republic of Serbia,1993-01-25,1993-10-20,Q20434770
Q20437934-224A68B6-D69F-4B15-9822-3DFFFD795BD3,3,3rd Convocation of the National Assembly of the Republic of Serbia,1994-01-24,1997-12-03,Q20437934
Q20438421-E8417D7F-61E5-42CC-91FD-CEB5F7673106,4,4th Convocation of the National Assembly of the Republic of Serbia,1997-12-03,2001-01-22,Q20438421
Q16087495-1C60615E-7CBA-45E7-BB7E-3DDA2FEEFAEF,5,5th Convocation of the National Assembly of the Republic of Serbia,2001-01-22,2004-01-27,Q16087495
Q30155092-645901f9-4a82-2145-8535-6d563e7add3f,6,6th Convocation of the National Assembly of the Republic of Serbia,2004-01-27,2007-02-14,Q30155092
Q30155034-1c4b853f-413e-2f22-8b1f-5c7cdd76a041,7,7th Convocation of the National Assembly of the Republic of Serbia,2007-02-14,2008-06-11,Q30155034
Q30155047-6091F2A4-E0AD-495F-9EBA-BBA3B2CF6CCC,8,8th Convocation of the National Assembly of the Republic of Serbia,2008-06-11,2012-05-31,Q30155047
Q30155082-45b350c6-4636-f31b-eeec-438d91a3cb60,9,9th Convocation of the National Assembly of the Republic of Serbia,2012-05-31,2014-05-16,Q30155082
Q16082873-E9CE64DE-CEB9-4B8B-85DA-A83048A94C7E,10,10th Convocation of the National Assembly of the Republic of Serbia,2014-05-16,2016-06-03,Q16082873
Q30155066-B9FAAD57-06EF-4C45-99AA-6C196DCFC05B,11,11th Convocation of the National Assembly of the Republic of Serbia,2016-06-03,"",Q30155066
