id,name,party,faction,sort_name,honorific_prefix,start_date,birth_date,source,twitter,facebook,website,term
555,SNEZANA MALOVIC,Social Democratic Party,"Boris Tadic – Social Democratic Party, Together for Serbia, Greens of Serbia",SNEZANA MALOVIC,"",2014-04-16,1976,http://www.parlament.gov.rs/SNEZANA_MALOVIC.555.488.html,,,,10
839,MILAN KORAC,Party Of United Pensioners Of Serbia,Party of United Pensioners of Serbia,MILAN KORAC,"",2014-04-16,1929,http://www.parlament.gov.rs/MILAN_KORAC.839.488.html,,,,10
829,DRAGAN ALEKSIC,Serbian Progressive Party,Serbian Progressive Party,DRAGAN ALEKSIC,"",2014-04-16,1963,http://www.parlament.gov.rs/DRAGAN_ALEKSIC.829.488.html,,,,10
731,IRENA ALEKSIC,Serbian Progressive Party,Serbian Progressive Party,IRENA ALEKSIC,"",2014-04-16,1978,http://www.parlament.gov.rs/IRENA_ALEKSIC.731.488.html,,,,10
821,ADRIANA ANASTASOV,Serbian Progressive Party,Serbian Progressive Party,ADRIANA ANASTASOV,"",2014-04-16,1985,http://www.parlament.gov.rs/ADRIANA_ANASTASOV.821.488.html,http://www.twitter.com/adrianastasov,http://www.facebook.com/adriana.anastasov,,10
824,MIRJANA ANDRIC,Serbian Progressive Party,Serbian Progressive Party,MIRJANA ANDRIC,"",2014-04-16,1959,http://www.parlament.gov.rs/MIRJANA_ANDRIC.824.488.html,,,,10
675,ZORAN ANTIC,"",Serbian Progressive Party,ZORAN ANTIC,"",2014-04-16,1962,http://www.parlament.gov.rs/ZORAN_ANTIC.675.488.html,,,,10
416,KONSTANTIN ARSENOVIC,Party Of United Pensioners Of Serbia,Party of United Pensioners of Serbia,KONSTANTIN ARSENOVIC,"",2014-04-16,1940,http://www.parlament.gov.rs/KONSTANTIN_ARSENOVIC.416.488.html,,,,10
676,VEROLJUB ARSIC,"",Serbian Progressive Party,VEROLJUB ARSIC,"",2014-04-16,1969,http://www.parlament.gov.rs/VEROLJUB_ARSIC.676.488.html,,,,10
603,MARKO ATLAGIC,Serbian Progressive Party,Serbian Progressive Party,MARKO Prof. Dr ATLAGIC,Prof Dr,2014-04-16,1949,http://www.parlament.gov.rs/MARKO_ATLAGIC++.603.488.html,,,,10
872,VLADO BABIC,Serbian Progressive Party,Serbian Progressive Party,VLADO BABIC,"",2014-05-10,1960,http://www.parlament.gov.rs/VLADO_BABIC.872.488.html,,,,10
678,ZORAN BABIC,Serbian Progressive Party,Serbian Progressive Party,ZORAN BABIC,"",2014-04-16,1971,http://www.parlament.gov.rs/ZORAN_BABIC.678.488.html,,,,10
769,MUAMER BACEVAC,Social Democratic Party of Serbia,Social Democratic Party of Serbia,MUAMER Dr BACEVAC,Dr,2014-04-16,1977,http://www.parlament.gov.rs/MUAMER_BACEVAC.769.488.html,http://www.twitter.com/mbacevac,,,10
247,DUSAN BAJATOVIC,Socialist Party of Serbia,Socialist Party of Serbia,DUSAN BAJATOVIC,"",2014-04-16,1967,http://www.parlament.gov.rs/DUSAN_BAJATOVIC.247.488.html,,,,10
876,GROZDANA BANAC,Party Of United Pensioners Of Serbia,Party of United Pensioners of Serbia,GROZDANA BANAC,"",2014-05-10,1951,http://www.parlament.gov.rs/GROZDANA_BANAC.876.488.html,,,,10
781,DRAGANA BARISIC,Serbian Progressive Party,Serbian Progressive Party,DRAGANA Dr BARISIC,Dr,2014-04-16,1975,http://www.parlament.gov.rs/DRAGANA_BARISIC.781.488.html,,http://www.facebook.com/dragana.micic.barisic,,10
570,OLGICA BATIC,Demochristian Party of Serbia,Serbian Renewal Movement – Demo-Christian Party of Serbia,OLGICA BATIC,"",2014-04-16,1981,http://www.parlament.gov.rs/OLGICA_BATIC.570.488.html,,,http://www.dhss.org.rs,10
713,IVAN BAUER,Social Democratic Party of Serbia,Social Democratic Party of Serbia,IVAN Dr BAUER,Dr,2014-04-16,1967,http://www.parlament.gov.rs/IVAN_BAUER+.713.488.html,http://twitter.com/bauerivan,http://www.facebook.com/ivan.bauer.127,,10
679,IGOR MA BECIC,Serbian Progressive Party,Serbian Progressive Party,IGOR MA BECIC,"",2014-04-16,1971,http://www.parlament.gov.rs/IGOR_BECIC+.679.488.html,,,,10
730,NEBOJSA BERIC,Serbian Progressive Party,Serbian Progressive Party,NEBOJSA BERIC,"",2014-04-16,1972,http://www.parlament.gov.rs/NEBOJSA_BERIC.730.488.html,,,,10
810,LjILjANA BERONjA,Serbian Progressive Party,Serbian Progressive Party,LjILjANA Dr BERONjA,Dr,2014-04-16,1959,http://www.parlament.gov.rs/LjILjANA_BERONjA.810.488.html,,,,10
766,VESNA BESAROVIC,Social Democratic Party of Serbia,Social Democratic Party of Serbia,VESNA Prof. Dr BESAROVIC,Prof Dr,2014-04-16,1946,http://www.parlament.gov.rs/VESNA_BESAROVIC.766.488.html,,,,10
758,MILENA BICANIN,Social Democratic Party of Serbia,Social Democratic Party of Serbia,MILENA BICANIN,"",2014-04-16,1964,http://www.parlament.gov.rs/MILENA_BICANIN.758.488.html,,,,10
795,BOBAN BIRMANCEVIC,Serbian Progressive Party,Serbian Progressive Party,BOBAN Dr BIRMANCEVIC,Dr,2014-04-16,1969,http://www.parlament.gov.rs/BOBAN_BIRMANCEVIC.795.488.html,,,,10
23,BRANISLAV BLAZIC,Serbian Progressive Party,Serbian Progressive Party,BRANISLAV Dr BLAZIC,Dr,2014-04-16,1957,http://www.parlament.gov.rs/BRANISLAV_BLAZIC+.23.488.html,,,,10
782,ZARKO BOGATINOVIC,Serbian Progressive Party,Serbian Progressive Party,ZARKO BOGATINOVIC,"",2014-04-16,1964,http://www.parlament.gov.rs/ZARKO_BOGATINOVIC.782.488.html,,,,10
250,GORAN BOGDANOVIC,Social Democratic Party,"Boris Tadic – Social Democratic Party, Together for Serbia",GORAN BOGDANOVIC,"",2014-04-16,1963,http://www.parlament.gov.rs/GORAN_BOGDANOVIC.250.488.html,,,,10
624,ZORAN BOJANIC,Serbian Progressive Party,Serbian Progressive Party,ZORAN BOJANIC,"",2014-04-16,1959,http://www.parlament.gov.rs/ZORAN_BOJANIC.624.488.html,,http://www.facebook.com/zoranboj89,,10
784,BRANKA BOSNjAK,Social Democratic Party of Serbia,Social Democratic Party of Serbia,BRANKA BOSNjAK,"",2014-04-16,1956,http://www.parlament.gov.rs/BRANKA_BOSNjAK.784.488.html,,,,10
559,BALSA BOZOVIC,Democratic Party,Democratic Party,BALSA BOZOVIC,"",2014-04-16,1983,http://www.parlament.gov.rs/BALSA_BOZOVIC.559.488.html,,,,10
849,BLAGOJE M.Sci Dr.med.dent BRADIC,Together for Serbia,"Boris Tadic – Social Democratic Party, Together for Serbia",BLAGOJE M.Sci Dr.med.dent BRADIC,"",2014-04-16,1955,http://www.parlament.gov.rs/BLAGOJE_BRADIC.849.488.html,,,,10
880,DJORDJE CABARKAPA,Socialist Party of Serbia,Socialist Party of Serbia,DJORDJE CABARKAPA,"",2014-07-31,1980,http://www.parlament.gov.rs/DJORDJE_CABARKAPA.880.488.html,,,,10
516,NENAD CANAK,Social Democratic League of Vojvodina,League of Social Democrats of Vojvodina,NENAD CANAK,"",2014-04-16,1959,http://www.parlament.gov.rs/NENAD_CANAK.516.488.html,,,,10
868,DEJAN MA CAPO,Social Democratic League of Vojvodina,League of Social Democrats of Vojvodina,DEJAN MA CAPO,"",2014-05-10,1978,http://www.parlament.gov.rs/DEJAN_CAPO.868.488.html,,,,10
494,MIRKO CIKIRIZ,Serbian Renewal Movement,Serbian Renewal Movement – Demo-Christian Party of Serbia,MIRKO CIKIRIZ,"",2014-04-16,1963,http://www.parlament.gov.rs/MIRKO_CIKIRIZ.494.488.html,http://www.twitter.com/CikirizSPO,http://www.facebook.com/mirko.cikiriz,,10
853,GORAN CIRIC,Democratic Party,Democratic Party,GORAN CIRIC,"",2014-04-16,1960,http://www.parlament.gov.rs/GORAN_CIRIC.853.488.html,,,,10
496,MOMO COLAKOVIC,Party Of United Pensioners Of Serbia,Party of United Pensioners of Serbia,MOMO COLAKOVIC,"",2014-04-16,1940,http://www.parlament.gov.rs/MOMO_COLAKOVIC.496.488.html,,,,10
149,GORDANA COMIC,Democratic Party,Democratic Party,GORDANA COMIC,"",2014-04-16,1958,http://www.parlament.gov.rs/GORDANA_COMIC.149.488.html,http://www.twitter.com/gordanacom,http://www.facebook.com/profile.php?id=1002511807,http://www.womenforfuture.blogspot.com,10
836,MILENA CORILIC,Party Of United Pensioners Of Serbia,Party of United Pensioners of Serbia,MILENA CORILIC,"",2014-04-16,1944,http://www.parlament.gov.rs/MILENA_CORILIC.836.488.html,,,,10
852,AIDA COROVIC,"",Democratic Party,AIDA COROVIC,"",2014-04-16,1961,http://www.parlament.gov.rs/AIDA_COROVIC.852.488.html,,,,10
497,ALEKSANDAR COTRIC,Serbian Renewal Movement,Serbian Renewal Movement – Demo-Christian Party of Serbia,ALEKSANDAR COTRIC,"",2014-04-16,1966,http://www.parlament.gov.rs/ALEKSANDAR_COTRIC.497.488.html,,http://www.Facebook.com/aleksandar.cotric.1,http://www.cotric.com ,10
864,MILORAD CVETANOVIC,Serbian Progressive Party,Serbian Progressive Party,MILORAD CVETANOVIC,"",2014-04-16,1962,http://www.parlament.gov.rs/MILORAD_CVETANOVIC.864.488.html,,,,10
861,SABINA DAZDAREVIC,Party of Democratic Action of Sandzak,SDA Sandzak – Party of Democratic Action,SABINA DAZDAREVIC,"",2014-04-16,1982,http://www.parlament.gov.rs/SABINA_DAZDAREVIC.861.488.html,,,,10
820,VLADICA DIMITROV,Serbian Progressive Party,Serbian Progressive Party,VLADICA DIMITROV,"",2014-04-16,1974,http://www.parlament.gov.rs/VLADICA_DIMITROV.820.488.html,,,,10
632,IVANA DINIC,Socialist Party of Serbia,Socialist Party of Serbia,IVANA DINIC,"",2014-04-16,1985,http://www.parlament.gov.rs/IVANA_DINIC.632.488.html,,,,10
430,ZLATA DJERIC,New Serbia,New Serbia,ZLATA DJERIC,"",2014-04-16,1958,http://www.parlament.gov.rs/ZLATA_DJERIC.430.488.html,,,,10
814,MIRJANA DJOKOVIC,Serbian Progressive Party,Serbian Progressive Party,MIRJANA DJOKOVIC,"",2014-04-16,1966,http://www.parlament.gov.rs/MIRJANA_DJOKOVIC.814.488.html,,http://www.facebook.com/mirjana.djokovic.129,,10
757,VLADIMIR DJUKANOVIC,Serbian Progressive Party,Serbian Progressive Party,VLADIMIR DJUKANOVIC,"",2014-04-16,1979,http://www.parlament.gov.rs/VLADIMIR_DJUKANOVIC.757.488.html,http://www.twitter.com/djuka_sns,http://www.facebook.com/vladimir.djukanovic.5,,10
