id,party_id,name,wikipedia,constituency,party,term,start_date,end_date,source
illugi_gunnarsson,independence_party,Illugi Gunnarsson,Illugi Gunnarsson,Reykjavik Constituency North,Independence Party,2013,,,
frosti_sigurjónsson,progressive_party,Frosti Sigurjónsson,,Reykjavik Constituency North,Progressive Party,2013,,,
katrín_jakobsdóttir,left-green_movement,Katrín Jakobsdóttir,Katrín Jakobsdóttir,Reykjavik Constituency North,Left-Green Movement,2013,,,
Össur_skarphéðinsson,social_democratic_alliance,Össur Skarphéðinsson,Össur Skarphéðinsson,Reykjavik Constituency North,Social Democratic Alliance,2013,,,
brynjar_Þór_níelsson,independence_party,Brynjar Þór Níelsson,,Reykjavik Constituency North,Independence Party,2013,,,
björt_Ólafsdóttir,bright_future,Björt Ólafsdóttir,Björt Ólafsdóttir,Reykjavik Constituency North,Bright Future,2013,,,
sigrún_magnúsdóttir,progressive_party,Sigrún Magnúsdóttir,Sigrún Magnúsdóttir,Reykjavik Constituency North,Progressive Party,2013,,,
Árni_Þór_sigurðsson,left-green_movement,Árni Þór Sigurðsson,Árni Þór Sigurðsson,Reykjavik Constituency North,Left-Green Movement,2013,,,
birgir_Ármannsson,independence_party,Birgir Ármannsson,Birgir Ármannsson,Reykjavik Constituency North,Independence Party,2013,,,
helgi_hrafn_gunnarsson,pirate_party,Helgi Hrafn Gunnarsson,Helgi Hrafn Gunnarsson,Reykjavik Constituency North,Pirate Party,2013,,,
valgerður_bjarnadóttir,social_democratic_alliance,Valgerður Bjarnadóttir,Valgerður Bjarnadóttir,Reykjavik Constituency North,Social Democratic Alliance,2013,,,
hanna_b._kristjánsdóttir,independence_party,Hanna B. Kristjánsdóttir,Hanna Birna Kristjánsdóttir,Reykjavik Constituency South,Independence Party,2013,,,
vigdís_hauksdóttir,progressive_party,Vigdís Hauksdóttir,Vigdís Hauksdóttir,Reykjavik Constituency South,Progressive Party,2013,,,
sigríður_i._ingadóttir,social_democratic_alliance,Sigríður I. Ingadóttir,Sigríður Ingibjörg Ingadóttir,Reykjavik Constituency South,Social Democratic Alliance,2013,,,
pétur_h._blöndal,independence_party,Pétur H. Blöndal,Pétur H. Blöndal,Reykjavik Constituency South,Independence Party,2013,,,
svandís_svavarsdóttir,left-green_movement,Svandís Svavarsdóttir,Svandís Svavarsdóttir,Reykjavik Constituency South,Left-Green Movement,2013,,,
róbert_marshall,bright_future,Róbert Marshall,Róbert Marshall,Reykjavik Constituency South,Bright Future,2013,,,
guðlaugur_Þór_Þórðarson,independence_party,Guðlaugur Þór Þórðarson,Guðlaugur Þór Þórðarson,Reykjavik Constituency South,Independence Party,2013,,,
karl_garðarsson,progressive_party,Karl Garðarsson,,Reykjavik Constituency South,Progressive Party,2013,,,
helgi_hjörvar,social_democratic_alliance,Helgi Hjörvar,Helgi Hjörvar,Reykjavik Constituency South,Social Democratic Alliance,2013,,,
