statement,id,name,start_date,end_date,wikidata
Q57238225-5a5bcdb7-481f-7022-69bc-01e3c22e7fa3,1995,Alþingi 1995–1999,1995-04-08,1999-03-25,Q57238225
Q54666266-01df47e2-4371-7238-771c-a8e2ffd8b621,1999,Alþingi 1999-2003,1999-05-08,2003-03-15,Q54666266
Q33088785-44af37f1-4841-a337-1d58-60fd199bf3d6,2003,Alþingi 2003-2007,2003-05-26,2007-03-17,Q33088785
Q33083741-f640cc2d-4bcc-c7a5-69fd-08c0a0152a9a,2007,Alþingi 2007-2009,2007-06-13,2009-04-17,Q33083741
Q33083159-4b60b531-450b-a7c4-114f-8a6fa5a1163c,2009,Alþingi 2009-2013,2009-05-15,2013-03-27,Q33083159
Q33083142-7e212a00-4d9a-52bd-3c84-2160d8ddbdc4,2013,Alþingi 2013–2016,2013-06-06,2016-10-13,Q33083142
Q33082461-4d48e5ed-4243-f003-53f0-22deb67e201a,2016,Alþingi 2016–2017,2016-12-06,2017-10-27,Q33082461
Q52474636-4cc2a9f3-4ffb-de93-9d73-545ace98ccaf,2017,Alþingi 2017–,2017-12-14,"",Q52474636
