statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1036680-7538D29B-9742-477A-A9C5-D21969A8603C,Q1036680,Guðni Ágústsson,Q1419190,South,Q1046777,Progressive Party,2007-05-12,2008-11-17,2007
Q12395898-A13A53EE-F54F-4A13-BA98-94D1DB41D733,Q12395898,Björt Ólafsdóttir,Q1526538,Reykjavík North,Q5019160,Bright Future,2013-04-27,2016-10-29,2013
Q1279631-AC003CBD-38B3-4942-A13C-37FC0869048D,Q1279631,Skúli Helgason,Q2037988,Reykjavík South,Q1141127,Social Democratic Alliance,2009-04-25,2013-04-27,2009
Q1304334-C92E80F8-E1A3-4AF8-B3E4-28B1D7E6EFD3,Q1304334,Magnús Orri Schram,Q770576,Southwest,Q1141127,Social Democratic Alliance,2009-04-25,2013-04-27,2009
Q1305893-C7262797-4ADA-4D74-80C0-B48191662128,Q1305893,Einar Kristinn Guðfinnsson,Q2001582,Northwest,Q218303,Independence Party,2007-05-12,2009-04-25,2007
Q1305893-00F11F80-BFE3-4217-BFDF-ECD0594141CB,Q1305893,Einar Kristinn Guðfinnsson,Q2001582,Northwest,Q218303,Independence Party,2009-04-25,2013-04-27,2009
Q1305893-C87113F6-05DE-4E1E-8404-0E91A36B55F5,Q1305893,Einar Kristinn Guðfinnsson,Q2001582,Northwest,Q218303,Independence Party,2013-04-27,2016-10-29,2013
Q1328085-91DE3FB7-46BC-4BA5-86CE-EAA6AC156215,Q1328085,Ragnheiður Ríkharðsdóttir,Q770576,Southwest,Q218303,Independence Party,2013-04-27,2016-10-29,2013
Q1328085-BC5BD962-D611-455D-9F4E-C4481366E61B,Q1328085,Ragnheiður Ríkharðsdóttir,Q770576,Southwest,Q218303,Independence Party,2009-04-25,2013-04-27,2009
Q1328085-F8C6F6D9-AC67-433A-B1F8-1DFBCC046B8A,Q1328085,Ragnheiður Ríkharðsdóttir,Q770576,Southwest,Q218303,Independence Party,2007-05-12,2009-04-25,2007
Q13370916-F24D916A-B421-4584-9881-23901605C04F,Q13370916,Jón Þór Ólafsson,Q2037988,Reykjavík South,Q198403,Pirate Party Iceland,2013-04-27,2015-07-01,2013
Q13422896-417BFDBB-0E9F-4B8B-A62D-A596FFBB8EB4,Q13422896,Helgi Hrafn Gunnarsson,Q1526538,Reykjavík North,Q198403,Pirate Party Iceland,2013-04-27,2016-10-29,2013
Q13605967-5F919280-D937-474C-8B31-D50832304616,Q13605967,Karl V. Matthíasson,Q2001582,Northwest,Q1141127,Social Democratic Alliance,2007-05-12,2009-03-13,2007
Q13605967-64efef04-49e4-3650-3692-46814475ab8e,Q13605967,Karl V. Matthíasson,Q2001582,Northwest,Q1421878,Liberal Party,2009-03-13,2009-04-25,2007
Q13607417-C5A3B08F-9CB9-435D-9D4B-41E74378E2D0,Q13607417,Kjartan Ólafsson,Q1419190,South,Q218303,Independence Party,2007-05-12,2009-04-25,2007
Q1385796-56FB23EC-F75B-4D22-BF96-92946A80C0FB,Q1385796,Eygló Harðardóttir,Q770576,Southwest,Q1046777,Progressive Party,2013-04-27,2016-10-29,2013
Q1385796-66460d82-4130-102b-a60a-3fe46c53787f,Q1385796,Eygló Harðardóttir,Q1419190,South,Q1046777,Progressive Party,2008-11-17,2009-04-25,2007
Q1385796-891000A8-AE9B-4C36-ADEE-18FEC71AA302,Q1385796,Eygló Harðardóttir,Q1419190,South,Q1046777,Progressive Party,2009-04-25,2013-04-27,2009
Q139225-5C7A8896-E804-4691-B5B3-65BF6377D58C,Q139225,Þorgerður Katrín Gunnarsdóttir,Q770576,Southwest,Q218303,Independence Party,2009-04-25,2013-04-27,2009
Q139225-E10898F7-450A-42AA-8E1E-BC499978E7DA,Q139225,Þorgerður Katrín Gunnarsdóttir,Q770576,Southwest,Q218303,Independence Party,2007-05-12,2009-04-25,2007
