localid,id,name,constituency,website,photograph,party,source,term
133,2133,Abdul Latif Siddique,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2062,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2133.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,10
146,2146,Promode Mankin,Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2072,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2146.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,10
148,2148,Dr. Capt. Mujibur Rahman Fakir (Retd.),Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2230,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2148.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,10
237,2237,Syed Mohsin Ali,Maulvibazar,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2134,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2237.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,10
01,2001,Md. Mazaharul Hoque Prodhan,Panchagarh,,,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
02,2002,Md. Nurul Islam Sujan,Panchagarh,,,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
03,2003,Ramesh Chandra Sen,Thakurgaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=651,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2003.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
04,2004,Alhaj Md. Dabirul Islam,Thakurgaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=652,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2004.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
05,2005,Hafiz Uddin Ahmed,Thakurgaon,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=653,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2005.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
06,2006,Manoranjan Shill Gopal,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=654,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2006.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
07,2007,Khalid Mahmud Chowdhury,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=655,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2007.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
08,2008,Iqbalur Rahim,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=656,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2008.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
09,2009,Abul Hassan Mahmud Ali,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=657,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2009.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
10,2010,Md. Mostafizur Rahman,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=658,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2010.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
11,2011,Azizul Hoque Chowdhury,Dinajpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=659,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2011.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
12,2012,Zafar Iqbal Siddique,Nilphamari,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=660,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2012.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
13,2013,Asaduzzaman Noor,Nilphamari,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=661,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2013.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
14,2014,Kazi Faruq Kader,Nilphamari,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=662,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2014.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
15,2015,Col.A.A.Maruf Saklaan(Retd.),Nilphamari,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=663,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2015.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
16,2016,Md. Motahar Hossian,Lalmonirhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=664,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2016.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
