seatid,id,name,constituency,website,photograph,party,term,source,end_date
29,1029,Md. Manjurul Islam Liton,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2402,http://www.parliament.gov.bd/images/10th_Par_Picture/1029.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,2016-12-31
225,2225,Suranjit Sengupta,Sunamganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2123,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2225.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,2017-02-05
97,1097,Talukdar Abdul Khalek,Bagerhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2667,http://www.parliament.gov.bd/images/10th_Par_Picture/1097.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,
27,2027,A.K.M. Mayeedul Islam,Kurigram,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2011,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2027.jpg,Jatiya Party,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,
243,2243,Muhammed. Sayedul Haque,Brahmanbaria,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2138,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2243.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,
29,Mostofa,Golam Mostofa Ahmed,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2402,http://www.parliament.gov.bd/images/10th_Par_Picture/Mostofa.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,
