id,name,start_date,end_date
1979,1979–1983,1979-05-29,1983-05-29
1983,1983–1992,1983-05-29,1992-05-29
1992,1992–1998,1992-05-29,1998-05-29
1998,1998–1999,1998-05-29,1999-05-29
1999,1999–2003,1999-05-29,2003-05-29
2003,2003–2007,2003-05-29,2007-05-29
2007,2007–2011,2007-05-29,2011-05-29
2011,2011–2015,2011-05-29,2015-05-29
2015,2015–,2015-05-29,
