uuid,female,male,other,skip,total
6124f02a-6751-4261-9158-82dc2cf5be34,0,5,0,1,6
61eb4494-4acc-4451-bb9c-6bceff4d67f6,0,15,1,0,16
621df3ec-7b6d-4c56-9a65-3d9a3d6c73ab,0,15,1,0,16
627c96d6-7ace-45c6-82bc-ba4316ebdb90,16,0,0,0,16
629a9d40-94f9-4f02-b2e0-c3310d16ea6b,17,0,0,0,17
636edea7-cddc-46bf-af7e-799bad50abd9,0,6,0,4,10
637a529f-2310-4111-a0f0-681c1c6f6810,0,15,0,0,15
6850a1a5-6aee-420b-a1d9-855bce5f65c3,0,3,0,2,5
6ada69b0-2815-4951-86a8-7df8fcbf3078,0,17,0,0,17
6b08bb03-c4d3-4da4-bbd3-6b1fd216091e,0,4,0,2,6
6c0fc583-b172-48eb-b02f-565e1ca833d6,16,0,0,0,16
6c42404a-621c-4b54-87c4-2f5aa4258a2c,0,17,0,0,17
6d712019-9957-4cb6-a53d-dd742c53eb90,16,1,0,0,17
6e53fd6e-3c72-4c04-878d-181f7a5f4f8f,0,16,0,0,16
7117f298-228f-48b2-b4dd-350d7543cce4,0,17,0,0,17
714c46f3-fb02-4d76-99af-0f1d41efd9a2,0,16,0,1,17
7172cb2f-7fa0-480d-86b4-f8cbb9ae0178,0,15,0,0,15
719ebcf5-843c-46bf-8dd4-c7a812a78e8f,0,5,0,0,5
723f5525-04a8-482c-8dd6-398413842a4d,16,0,0,0,16
72911273-3fb1-484f-9d34-cbdeb074bdd4,0,6,0,0,6
732a76ed-086d-4da3-9a65-78c412bec75e,14,2,0,0,16
7394eb01-c9b7-4406-8610-56aa34691f37,0,17,0,0,17
7548a94c-dc48-4bc8-95c0-2a28a4a3f7fd,0,5,0,1,6
754db635-3294-4a0f-9185-d2740660bc44,15,1,0,0,16
755c6e3c-7b24-4fc8-b776-c15210e53d59,17,0,0,0,17
75892550-c64f-4198-bfd1-86d838da731e,5,0,0,0,5
7744c02f-6949-4db9-99f1-59d2ed948dad,17,0,0,0,17
77fd37a8-4ece-425b-be8e-d59f9254c2dc,0,15,0,0,15
7834533b-05c9-40c0-b1bc-cacbdb2cf826,0,17,0,0,17
78922825-8bae-46bd-a4e1-b8aa2e16d549,3,0,0,1,4
7a6e8604-aa38-449f-8e95-b85da623cbbb,16,0,0,0,16
7a8dee9c-cffc-4e56-8772-9074a7ae3dca,5,0,0,1,6
7bb67570-fa0f-4e10-aa02-09bd9cb3ecce,0,8,0,2,10
7c28ca70-f7d7-41e1-aeb1-91c1ed56f683,0,17,0,0,17
7d09e6d5-ff51-467d-bbf0-4e9d48f0f65b,0,3,0,0,3
7dc236b4-5a6a-414d-a165-545e58bd121a,1,15,0,0,16
7deda779-9b28-4ae5-86c6-490814800ff0,0,17,0,0,17
7e11703b-dbba-48e3-8b08-3ff9ed0a5d4c,0,5,0,2,7
7e620d4a-469b-459e-bb1f-ced82174751e,0,15,1,0,16
7f36b8b1-9b5d-47b5-9e7b-ae8615e52fe5,16,0,0,0,16
7fb9ded3-099b-45b0-9327-5a45ae3e1bc4,0,17,0,0,17
7fec4d63-60a1-4402-93f0-15d188456805,17,0,0,0,17
8064b2b2-6200-4c6a-8278-22be7cba6f0f,0,5,0,1,6
817cdf04-01e5-4c44-a2fb-2fc6ff098d20,0,5,0,1,6
843a4c02-4ebc-4a26-85ba-89e930e21395,0,17,0,0,17
844ee47a-dfd3-4a49-a9b8-46a1712a75cf,0,17,0,0,17
88f12423-e980-49e1-a339-6c70227aba87,1,15,0,0,16
895b9386-7e0d-475b-aa82-229ab97d79f9,0,4,0,1,5
8a0e144e-8552-4cd0-b93a-6e888c81537d,1,12,0,4,17
8ba45d8f-8e34-4372-ba7c-d62382dd2b3a,0,17,0,0,17
8d48d6e2-c393-4c3a-abf8-2892548271ae,0,16,0,0,16
8d9552a2-317f-4580-a137-5ad0d1bcb29d,4,0,0,0,4
8e2c7bae-7f9f-4e70-8c9d-efa4ff9d3b1f,0,4,0,0,4
8e808c1f-1871-4238-aae4-8f5aa70aee7a,0,16,0,0,16
8ed483f7-26e3-4c82-8359-1c5b34caa6b1,16,0,0,0,16
8f6649b6-56b3-4254-80b5-42e0ef766bb8,0,4,0,0,4
8faae302-505d-4dcb-a514-ea9ba49f3ef6,5,0,0,5,10
93b1d1af-1037-467b-8e10-4f2acc3f054f,18,0,0,0,18
94063264-da94-475d-9007-55f279b9b27e,0,16,0,0,16
951134a5-ad8e-438a-926e-6190bf597a5e,3,0,0,1,4
95407aeb-2261-4bc0-ac6a-180215b3a08a,0,16,0,0,16
964863ca-4c66-4b31-8cf0-69eefb4eae01,0,4,0,0,4
9bd98820-519b-4c52-9123-928590323209,0,5,0,0,5
9bdcd0a4-8206-41f5-9a52-06c81093612f,0,17,0,0,17
9c3d534b-d3c8-4b31-a3c7-de1b80b1870d,0,5,0,4,9
9c6f3012-02d0-40f8-a8b2-b05acb828583,0,17,0,0,17
9f8d1b0e-9eee-4223-9a67-abc9d88c633a,0,5,0,1,6
a2aa44ed-cc5e-4c13-93bd-255c67d693ae,0,17,0,0,17
a34bf091-7389-43c2-b98f-6d0b6ae5d9ec,0,17,0,0,17
a36958b8-d7f5-4475-8397-a5fd3a11b3e8,0,17,0,0,17
a37a64ac-eab3-4b6a-ac95-1942adab400d,0,15,1,0,16
a5a32e01-6e85-4eb3-a6c9-08cf6c40f173,0,17,0,0,17
a5d484c9-3439-42bf-989e-23972ef9951e,0,16,1,0,17
a7b7510e-3f43-423b-bf83-a6cd4512af86,0,5,0,3,8
aa609e44-cdf2-43ad-a376-e08fffbaf2d4,5,0,0,2,7
