id,name,party_id,party,img,website,source,term
107,MILYUTIN Alexander Alexandrovich,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/107?size=big,http://www.parlam.kz/ru/blogs/Miutin,http://www.parlam.kz/en/mazhilis/People/DeputyList/M,5
1125,KHALMURADOV Rozakul Satybaldievich,4,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1125?size=big,http://www.parlam.kz/ru/blogs/Halmuradov,http://www.parlam.kz/en/mazhilis/People/DeputyList/K,5
1131,BYCHKOVA Svetlana Fyodorovna,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1131?size=big,http://www.parlam.kz/ru/blogs/Bychkova,http://www.parlam.kz/en/mazhilis/People/DeputyList/B,5
1143,MYRZAKHMET Shalatay,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1143?size=big,http://www.parlam.kz/ru/blogs/Mirzahmetov,http://www.parlam.kz/en/mazhilis/People/DeputyList/M,5
1155,BURKHANOV Kamal Nizamovich,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1155?size=big,http://www.parlam.kz/ru/blogs/Burhanov,http://www.parlam.kz/en/mazhilis/People/DeputyList/B,5
1164,JAKUPOV Kabibulla Kabenovich,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1164?size=big,http://www.parlam.kz/ru/blogs/Zhakupov,http://www.parlam.kz/en/mazhilis/People/DeputyList/J,5
1173,MEDEUOV Usengeldy Umirzhanovich,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1173?size=big,http://www.parlam.kz/ru/blogs/Medeuov,http://www.parlam.kz/en/mazhilis/People/DeputyList/M,5
1179,ROGALEV Viktor Pavlovich,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1179?size=big,http://www.parlam.kz/ru/blogs/Rogalev,http://www.parlam.kz/en/mazhilis/People/DeputyList/R,5
1191,AHMADIYEV Murat Abdureimuly,0,Independent,http://www.parlam.kz/en/mazhilis/People/PersonImage/1191?size=big,http://www.parlam.kz/ru/blogs/Ahmadiev,http://www.parlam.kz/en/mazhilis/People/DeputyList/A,5
1194,AISINA Mayra Arapovna,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1194?size=big,http://www.parlam.kz/ru/blogs/Aysina,http://www.parlam.kz/en/mazhilis/People/DeputyList/A,5
1200,ISIMBAYEVA Gulmira Istaybekovna,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1200?size=big,http://www.parlam.kz/ru/blogs/Isimbaeva,http://www.parlam.kz/en/mazhilis/People/DeputyList/I,5
1206,SMAYYL Aldan Zeynollauly,1,Nur Otan,http://www.parlam.kz/en/mazhilis/People/PersonImage/1206?size=big,http://www.parlam.kz/ru/blogs/Smail,http://www.parlam.kz/en/mazhilis/People/DeputyList/S,5
