name,summary,website,website__ru,website__kk,image,id,name__ru,summary__ru,name__kk,summary__kk,term
AHMETBEKOV Zhambyl Auzhanovich,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/Ahmetbekov,http://www.parlam.kz/ru/blogs/Ahmetbekov,http://www.parlam.kz/kk/blogs/Ahmetbekov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1591?size=big,6510410910111698101107111118,Ахметбеков Жамбыл Аужанович,Член Комитета по социально-культурному развитию,АХМЕТБЕКОВ Жамбыл Әужанұлы,Әлеуметтік-мәдени даму комитетінің мүшесі,6
AKHMETOV Sapar,Committee for economic reform and regional development,http://www.parlam.kz/ru/blogs/AkhmetovS,http://www.parlam.kz/ru/blogs/AkhmetovS,http://www.parlam.kz/kk/blogs/AkhmetovS,http://www.parlam.kz/en/mazhilis/People/PersonImage/2860?size=big,6510710410910111611111883,АХМЕТОВ Сапар Кайратович,Член Комитета по экономической реформе и региональному развитию Мажилиса Парламента Республики Казахстан ,АХМЕТОВ Сапар Қайратұлы,Экономикалық реформа және өңірлік даму комитетінің мүшесі ,6
AMANZHOLOVA Zauresh,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/Amanzholova,http://www.parlam.kz/ru/blogs/Amanzholova,http://www.parlam.kz/kk/blogs/Amanzholova,http://www.parlam.kz/en/mazhilis/People/PersonImage/2749?size=big,651099711012210411110811111897,АМАНЖОЛОВА Зауреш Джуманалиевна,Член Комитета по социально-культурному развитию Мажилиса Парламента Республики Казахстан,АМАНЖОЛОВА Зәуреш Жұманәліқызы ,Әлеуметтік-мәдени даму комитетінің мүшесі ,6
ARONOVA Irina Petrovna,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Aronova,http://www.parlam.kz/ru/blogs/Aronova,http://www.parlam.kz/kk/blogs/Aronova,http://www.parlam.kz/en/mazhilis/People/PersonImage/1415?size=big,6511411111011111897,Аронова Ирина Петровна,"Секретарь Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан ",АРОНОВА ИРИНА ПЕТРОВНА,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің Хатшысы ",6
ASHIMBAYEV Maulen Sagathanuly,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Ashymbaev,http://www.parlam.kz/ru/blogs/Ashymbaev,http://www.parlam.kz/kk/blogs/Ashymbaev,http://www.parlam.kz/en/mazhilis/People/PersonImage/1423?size=big,651151041211099897101118,Ашимбаев Маулен Сагатханулы,"Председатель Комитета по международным делам, обороне и безопасности",ӘШІМБАЕВ Мәулен Сағатханұлы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің Төрағасы",6
AISINA Mayra Arapovna,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/Aysina,http://www.parlam.kz/ru/blogs/Aysina,http://www.parlam.kz/kk/blogs/Aysina,http://www.parlam.kz/en/mazhilis/People/PersonImage/1194?size=big,6512111510511097,Айсина Майра Араповна,Секретарь Комитета по социально-культурному развитию Мажилиса Парламента Республики Казахстан ,Айсина Майра Арапқызы,Әлеуметтік-мәдени даму комитетінің Хатшысы ,6
ABDIROV Nurlan Mazhitovich,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Abdirov,http://www.parlam.kz/ru/blogs/Abdirov,http://www.parlam.kz/kk/blogs/Abdirov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1374?size=big,6598100105114111118,Абдиров Нурлан Мажитович,Председатель Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан,Әбдіров Нұрлан Мәжитұлы,Заңнама және сот-құқықтық реформа комитетінің Төрағасы,6
ABDRAKHMANOV Sauytbek,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/AbdrahmanovS,http://www.parlam.kz/ru/blogs/AbdrahmanovS,http://www.parlam.kz/kk/blogs/AbdrahmanovS,http://www.parlam.kz/en/mazhilis/People/PersonImage/2743?size=big,6598100114971041099711011111883,АБДРАХМАНОВ Сауытбек Абдрахманович,Член Комитета по социально-культурному развитию Мажилиса Парламента Республики Казахстан ,АБДРАХМАНОВ Сауытбек Абдрахманұлы,Қазақстан Республикасы Парламенті Мәжілісінің Әлеуметтік-мәдени даму комитетінің мүшесі ,6
ABDIRAIYM Bakytzhan,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Abdrayim,http://www.parlam.kz/ru/blogs/Abdrayim,http://www.parlam.kz/kk/blogs/Abdrayim,http://www.parlam.kz/en/mazhilis/People/PersonImage/2773?size=big,659810011497121105109,ӘБДІРАЙЫМ Бақытжан Жарылқасынұлы,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан,ӘБДІРАЙЫМ Бақытжан Жарылқасынұлы,Заңнама және сот-құқықтық реформа комитетінің мүшесі ,6
ABSATIROV Kenes,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/Absatirov,http://www.parlam.kz/ru/blogs/Absatirov,http://www.parlam.kz/kk/blogs/Absatirov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2746?size=big,659811597116105114111118,АБСАТИРОВ Кенес Гарапович,Член Комитета по социально-культурному развитию Мажилиса Парламента Республики Казахстан,АБСАТИРОВ Кеңес Ғарапұлы,Әлеуметтік-мәдени даму комитетінің мүшесі ,6
BEKTURGANOV Ersultan Utegulovich,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Bekturganov,http://www.parlam.kz/ru/blogs/Bekturganov,http://www.parlam.kz/kk/blogs/Bekturganov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1438?size=big,6610110711611711410397110111118,Бектурганов Ерсултан Утегулович,"Член Комитета по международным делам, обороне и безопасности",БЕКТҰРҒАНОВ Ерсұлтан Өтеғұлұлы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
BEKTURGANOV Abdimanap,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/BekturganovA,http://www.parlam.kz/ru/blogs/BekturganovA,http://www.parlam.kz/kk/blogs/BekturganovA,http://www.parlam.kz/en/mazhilis/People/PersonImage/2770?size=big,661011071161171141039711011111865,БЕКТУРГАНОВ Абдиманап Еликбаевич,Член Комитета по социально-культурному развитию Мажилиса Парламента Республики Казахстан,БЕКТҰРҒАНОВ Әбдіманап Елікбайұлы ,Әлеуметтік-мәдени даму комитетінің мүшесі ,6
BIZHANOVA Gulnara,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/BizhanovaG,http://www.parlam.kz/ru/blogs/BizhanovaG,http://www.parlam.kz/kk/blogs/BizhanovaG,http://www.parlam.kz/en/mazhilis/People/PersonImage/2776?size=big,66105122104971101111189771,БИЖАНОВА Гульнара Кадиржановна,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан,БИЖАНОВА Гүлнар Қадіржанқызы ,Заңнама және сот-құқықтық реформа комитетінің мүшесі ,6
BOPAZOV Marat,Committee on issues of ecology and environmental management,http://www.parlam.kz/ru/blogs/Bopazov,http://www.parlam.kz/ru/blogs/Bopazov,http://www.parlam.kz/kk/blogs/Bopazov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2845?size=big,6611111297122111118,БОПАЗОВ Марат Дарибекович,Член Комитета по вопросам экологии и природопользованию Мажилиса Парламента Республики Казахстан ,БОПАЗОВ Марат Дәрібекұлы,Экология мәселелері және табиғат пайдалану комитетінің мүшесі ,6
BOZHKO Vladimir,Composition of the lead managers of Mazhilis,http://www.parlam.kz/ru/blogs/Bozhko,http://www.parlam.kz/ru/blogs/Bozhko,http://www.parlam.kz/kk/blogs/Bozhko,http://www.parlam.kz/en/mazhilis/People/PersonImage/2710?size=big,66111122104107111,БОЖКО Владимир Карпович,Заместитель Председателя Мажилиса Парламента Республики Казахстан,БОЖКО Владимир Карпович,Қазақстан Республикасы Парламенті Мәжілісі Төрағасының орынбасары,6
BYCHKOVA Svetlana Fyodorovna,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Bychkova,http://www.parlam.kz/ru/blogs/Bychkova,http://www.parlam.kz/kk/blogs/Bychkova,http://www.parlam.kz/en/mazhilis/People/PersonImage/1131?size=big,661219910410711111897,Бычкова Светлана Федоровна,Секретарь Комитета по законодательству и судебно-правовой реформе  Мажилиса Парламента Республики Казахстан,Бычкова Светлана Федоровна,Заңнама және сот-құқықтық реформа комитетінің Хатшысы,6
BAYMAKHANOVA Galina Alexandrovna,Committee on issues of ecology and environmental management,http://www.parlam.kz/ru/blogs/Baimahanova,http://www.parlam.kz/ru/blogs/Baimahanova,http://www.parlam.kz/kk/blogs/Baimahanova,http://www.parlam.kz/en/mazhilis/People/PersonImage/1435?size=big,6697105109971049711011111897,Баймаханова Галина Александровна,Секретарь Комитета по вопросам экологии и природопользованию Мажилиса Парламента Республики Казахстан,БАЙМАХАНОВА Галина Александровна,Экология мәселелері және табиғат пайдалану комитетінің Хатшысы ,6
BALIEVA ZagipaYahyanovna,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Balieva,http://www.parlam.kz/ru/blogs/Balieva,http://www.parlam.kz/kk/blogs/Balieva,http://www.parlam.kz/en/mazhilis/People/PersonImage/1368?size=big,669710810510111897,Балиева Загипа Яхяновна,"Член Комитета по международным делам, обороне и безопасности",БАЛИЕВА Зағипа Яхянқызы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
BARLYBAYEV Yerlan,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Barlybaev,http://www.parlam.kz/ru/blogs/Barlybaev,http://www.parlam.kz/kk/blogs/Barlybaev,http://www.parlam.kz/en/mazhilis/People/PersonImage/2719?size=big,66971141081219897101118,БАРЛЫБАЕВ Ерлан Хайланович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан,БАРЛЫБАЕВ Ерлан Хайланұлы,Аграрлық мәселелер комитетінің мүшесі ,6
BAZARBAYEV Askar Ermurzaevich,Committee for economic reform and regional development,http://www.parlam.kz/ru/blogs/Bazarbayev,http://www.parlam.kz/ru/blogs/Bazarbayev,http://www.parlam.kz/kk/blogs/Bazarbayev,http://www.parlam.kz/en/mazhilis/People/PersonImage/1426?size=big,6697122971149897121101118,Базарбаев Аскар Ермурзаевич,Член Комитета по экономической реформе и региональному развитию ,БАЗАРБАЕВ Асқар Ермырзаұлы,Экономикалық реформа және өңірлік даму комитетінің мүшесі,6
CHIRKOV Mikhail,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Chirkov,http://www.parlam.kz/ru/blogs/Chirkov,http://www.parlam.kz/kk/blogs/Chirkov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2842?size=big,67104105114107111118,ЧИРКОВ Михаил Владимирович,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан ",ЧИРКОВ Михаил Владимирович,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі ",6
DYACHENKO Sergey Alexandrovich,Committee for economic reform and regional development,http://www.parlam.kz/ru/blogs/Diyachenko,http://www.parlam.kz/ru/blogs/Diyachenko,http://www.parlam.kz/kk/blogs/Diyachenko,http://www.parlam.kz/en/mazhilis/People/PersonImage/168?size=big,681051219799104101110107111,Дьяченко Сергей Александрович,Депутат Комитета по экономической реформе и региональному развитию Мажилиса Парламента Республики Казахстан,Дьяченко Сергей Александрович,"Қазақстан Республикасы Парламенті Мәжілісінің депутаты, Экономикалық реформа және өңірлік даму комитетінің мүшесі",6
JARASOV Zhanat Abdullaevich,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Djarasov,http://www.parlam.kz/ru/blogs/Djarasov,http://www.parlam.kz/kk/blogs/Djarasov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1462?size=big,681069711497115111118,Джарасов Жанат Абдуллаевич,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан",ЖАРАСОВ Жанат Абдоллаұлы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
DUISEBAYEV Zheksenbay Kartabaevich,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Duisebaev,http://www.parlam.kz/ru/blogs/Duisebaev,http://www.parlam.kz/kk/blogs/Duisebaev,http://www.parlam.kz/en/mazhilis/People/PersonImage/1284?size=big,681171051151019897101118,Дуйсебаев Жексенбай Картабаевич,Секретарь  Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан,Дүйсебаев Жексенбай Қартабайұлы , Қазақстан Республикасы Парламенті Мәжілісі Аграрлық мәселелер комитетінің хатшысы,6
DULATBEKOV Nurlan,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Dulatbekov,http://www.parlam.kz/ru/blogs/Dulatbekov,http://www.parlam.kz/kk/blogs/Dulatbekov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2779?size=big,681171089711698101107111118,ДУЛАТБЕКОВ Нурлан Орынбасарович,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан,ДУЛАТБЕКОВ Нұрлан Орынбасарұлы,Заңнама және сот-құқықтық реформа комитетінің мүшесі ,6
DYUSSEMBINOV Berik,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Dusembinov,http://www.parlam.kz/ru/blogs/Dusembinov,http://www.parlam.kz/kk/blogs/Dusembinov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2782?size=big,6811711510110998105110111118,ДЮСЕМБИНОВ Берик Салимжанович,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан ,ДҮЙСЕНБИНОВ Берік Сәлімжанұлы,Заңнама және сот-құқықтық реформа комитетінің мүшесі ,6
DAURENBAYEV Amangeldi,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Daurenbaev,http://www.parlam.kz/ru/blogs/Daurenbaev,http://www.parlam.kz/kk/blogs/Daurenbaev,http://www.parlam.kz/en/mazhilis/People/PersonImage/2722?size=big,68971171141011109897101118,ДАУРЕНБАЕВ Амангелди Айдарович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан ,ДӘУРЕНБАЕВ Амангелді Айдарұлы ,Аграрлық мәселелер комитетінің мүшесі ,6
YERALIYEV Abzal,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/ErgalievA,http://www.parlam.kz/ru/blogs/ErgalievA,http://www.parlam.kz/kk/blogs/ErgalievA,http://www.parlam.kz/en/mazhilis/People/PersonImage/2725?size=big,691141039710810510111865,ЕРАЛИЕВ Абзал Жумашович ,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан ,ЕРАЛИЕВ Абзал Жұмашұлы ,Аграрлық мәселелер комитетінің мүшесі ,6
YERMAN Mukhtar,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Erman,http://www.parlam.kz/ru/blogs/Erman,http://www.parlam.kz/kk/blogs/Erman,http://www.parlam.kz/en/mazhilis/People/PersonImage/2836?size=big,6911410997110,ЕРМАН Мухтар Тилдабекулы,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан ",ЕРМАН Мұхтар Тілдәбекұлы ,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі ",6
YERTAYEV Bahytzhan,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Ertayev,http://www.parlam.kz/ru/blogs/Ertayev,http://www.parlam.kz/kk/blogs/Ertayev,http://www.parlam.kz/en/mazhilis/People/PersonImage/1453?size=big,6911411697121101118,Ертаев Бахытжан ,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан",ЕРТАЕВ Бақытжан ,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
YERZHAN Kudaibergen,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Erzhan,http://www.parlam.kz/ru/blogs/Erzhan,http://www.parlam.kz/kk/blogs/Erzhan,http://www.parlam.kz/en/mazhilis/People/PersonImage/2833?size=big,6911412210497110,ЕРЖАН Кудайберген Толепович,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан ",ЕРЖАН Құдайберген Төлепұлы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі ",6
YESPAYEVA Daniya,Committee on finance and budget,http://www.parlam.kz/ru/blogs/Espaeva,http://www.parlam.kz/ru/blogs/Espaeva,http://www.parlam.kz/kk/blogs/Espaeva,http://www.parlam.kz/en/mazhilis/People/PersonImage/2812?size=big,691151129710111897,ЕСПАЕВА Дания Мадиевна,Член Комитета по финансам и бюджету Мажилиса Парламента Республики Казахстан ,ЕСПАЕВА Дания Мәдиқызы,Қаржы және бюджет комитетінің мүшесі ,6
IKSANOVA Gulnar Mustahimovna,Committee on social-cultural development,http://www.parlam.kz/ru/blogs/Iksanova,http://www.parlam.kz/ru/blogs/Iksanova,http://www.parlam.kz/kk/blogs/Iksanova,http://www.parlam.kz/en/mazhilis/People/PersonImage/1576?size=big,731071159711011111897,ИКСАНОВА Гульнар Мустахимовна,Председатель Комитета по социально-культурному развитию ,ИКСАНОВА Гүлнар Мұстахымқызы,Әлеуметтік-мәдени даму комитетінің Төрайымы,6
IMASHEVA Snezhanna,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Imasheva,http://www.parlam.kz/ru/blogs/Imasheva,http://www.parlam.kz/kk/blogs/Imasheva,http://www.parlam.kz/en/mazhilis/People/PersonImage/2785?size=big,731099711510410111897,ИМАШЕВА Снежанна Валерьевна,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан ,ИМАШЕВА Снежанна Валерьевна,Заңнама және сот-құқықтық реформа комитетінің мүшесі ,6
ISIMBAYEVA Gulmira Istaybekovna,Composition of the lead managers of Mazhilis,http://www.parlam.kz/ru/blogs/Isimbaeva,http://www.parlam.kz/ru/blogs/Isimbaeva,http://www.parlam.kz/kk/blogs/Isimbaeva,http://www.parlam.kz/en/mazhilis/People/PersonImage/1200?size=big,73115105109989710111897,Исимбаева Гульмира Истайбековна,Заместитель Председателя Мажилиса Парламента Республики Казахстан,Исимбаева Гүлмира Истайбекқызы ,Қазақстан Республикасы Парламенті Мәжілісі Төрағасының орынбасары,6
IZMUHAMBETOV Baktikozha Salahatdinovich,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Izmuhambetov,http://www.parlam.kz/ru/blogs/Izmuhambetov,http://www.parlam.kz/kk/blogs/Izmuhambetov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1579?size=big,731221091171049710998101116111118,Измухамбетов Бактыкожа Салахатдинович,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан",ІЗМҰХАМБЕТОВ Бақтықожа Салахатдинұлы,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
ZHAMALOV Amanzhan Makarimovich,Committee on finance and budget,http://www.parlam.kz/ru/blogs/Jamalov,http://www.parlam.kz/ru/blogs/Jamalov,http://www.parlam.kz/kk/blogs/Jamalov,http://www.parlam.kz/en/mazhilis/People/PersonImage/161?size=big,749710997108111118,Жамалов Аманжан Макаримович,Член Комитета по финансам и бюджету Мажилиса Парламента Республики Казахстан ,Жамалов Аманжан Макәрімұлы,Қаржы және бюджет комитетінің мүшесі ,6
