id,name,start_date,end_date
1976,1976–1979,1976-10-04,1979-10-01
1979,1979–1982,1979-10-01,1982-10-04
1982,1982–1985,1982-10-04,1985-09-30
1985,1985–1988,1985-09-30,1988-10-03
1988,1988–1991,1988-10-03,1991-09-30
1991,1991–1994,1991-09-30,1994-10-03
1994,1994–1998,1994-10-03,1998-10-05
1998,1998–2002,1998-10-05,2002-09-30
2002,2002–2006,2002-09-30,2006-10-02
2006,2006–2010,2006-10-02,2010-10-04
2010,2010–2014,2010-10-04,2014-09-29
2014,2014–2018,2014-09-29,2018-09-24
2018,2018–2022,2018-09-24,2022-09-26
