name,honorific_prefix,area_id,area,term
Aeksavang Vongvichit,Vice-Prof Dr,13,Savannakhet Province,2016
Aen Oun-anongnud,Lt Col,8,Houaphanh Province,2016
Ali Buachoum,Ms,12,Khammouane Province,2016
Alounxay Sounnalath,Mr,8,Houaphanh Province,2016
Amphai Chitmanon,Mr,16,Xekong Province,2016
Amphaivone Lombounphaeng,Ms,8,Houaphanh Province,2016
Anuphab Tunalom,Dr,1,Vientiane Capital,2016
Bouavanh Thammavong,Ms,10,Vientiane Province,2016
Bounkhouang Khambounheuang,Dr,13,Savannakhet Province,2016
Bounlort Onphachan,Mr,4,Oudomxay Province,2016
Bounluan Vongchanthi,Dr,13,Savannakhet Province,2016
Bounpan Douanglaty,Mr,12,Khammouane Province,2016
Bounpheng Sainorlady,Mr,10,Vientiane Province,2016
Bounphone Heuangmany,Ms,5,Bokeo Province,2016
Bounpone Bouthtanavong,Dr,12,Khammouane Province,2016
Bounpone Sisoulath,Mr,14,Saravan Province,2016
Bounsom Koummany,Mr,6,Luangprabang Province,2016
Bounsouk Chomvisan,Mr,18,Xaysomboun Province,2016
Bountem Xouangsayavong,Mr,13,Savannakhet Province,2016
Bounthai Sithep,Mr,7,Xayabouly province,2016
Bounthiem Phommasathith,Mr,14,Saravan Province,2016
Bounthong Phommachan,Mr,1,Vientiane Capital,2016
Bounton Chanthaphone,Mr,9,Xiengkhouang Province,2016
Bua-ngen Kongkhaikham,Lieutenant,1,Vientiane Capital,2016
Buaket Phommachan,Mr,1,Vientiane Capital,2016
Buakham Thipphavong,Dr,1,Vientiane Capital,2016
Bualaphan Vongsalasith,Mr,17,Attapue Province,2016
Buaphan Leekaiya,Ms,7,Xayabouly province,2016
Buathong Ousengkham,Mr,2,Phongsaly Province,2016
Bundith Phathoumvanh,Ms,12,Khammouane Province,2016
Chanpao Sulavong,Mr,2,Phongsaly Province,2016
Chansone Saenboudtalath,Mr,13,Savannakhet Province,2016
Chansy Saengsomphou,Dr,2,Phongsaly Province,2016
Chattava Keokhamphet,Mr,7,Xayabouly province,2016
Dongphet Payon,Mr,16,Xekong Province,2016
Haimany Vongnorkeo,Ms,16,Xekong Province,2016
