name,area,term,party
Magobetane Mamba,Sithobela,9,
Johane Shongwe,Mbabane West,9,
Esther Dlamini,Mbabane East,9,
Mduduzi ‘Small Joe’ Dlamini,Maseyisini,9,
Frans Dlamini,Nhlambeni,9,
Marwick Khumalo,Lobamba Lomdzala,9,
Sifiso Matsebula,Mayiwane,9,
Joseph Souza,Lugongolweni,9,
Veli Shongwe,Ngwemphisi,9,
Mbalekelwa Ndwandwe,Mhlangatane,9,
Gundwane Gamedze,Siphofaneni,9,
Bongani Mdluli,Madlangempisi,9,
Majahodvwa Khumalo,Lobamba,9,
Timothy Myeni,Lubulini,9,
Petros Mavimbela,Mhlambanyatsi,9,
Thandi Nxumalo,Manzini South,9,
Macford Sibandze,Manzini North,9,
Mabhanisi Dlamini,Kwaluseni,9,
Patrick Gamedze,Mtfongwaneni,9,
Clement Dlamini,Kukhanyeni,9,
Jennifer du Pont,Timphisini,9,
Enock Dlamini,Nkhaba,9,
Johannes Ndlangamandla,Zombodze,9,
Musa Kunene,Gege,9,
Musa Ngcobo,Mahlangatja,9,
Ntuthuko Dlamini,Lamgabhi,9,
Bennedict Xaba,Shiselweni II,9,
Rogers Mamba,Mkhiweni,9,
Trusty Gina,Nkilongo,9,
Henry Dlamini,Ntfonjeni,9,
Wilson Ntshangase,Shiselweni I,9,
Nkululeko Mbhamali,Matsanjeni North,9,
Nicodemus Mashwama,Mpolonjeni,9,
Hlobsile Ndlovu,Pigg’s Peak,9,
Big Boy Mamba,Ngudzeni,9,
Mlamuli Dlamini,Mstambama,9,
Robert Magongo,Motshane,9,
Peter Ngwenya,Ntondozi,9,
Gibson Hlophe,Sandleni,9,
Aaron Dladla,Nkwene,9,
Charles Myeza,Khubuta,9,
Sicelo Dlamini,Maphalaleni,9,
Mduduzi Mabuza,Hosea,9,
Benedict Xaba,Shiselweni II,9,
Lutfo Dlamini,Ndzingeni,9,
Qedusizi Ndlovu,Matsanjeni South,9,
Doward Sihlongonye,Somntongo,9,
Sivumelwano Nxumalo,Sigwe,9,
Mduduzi Dlamini,Mangcongco,9,
Mduduzi Magagula,Hlane,9,
Nonhlanhla Dlamini,Ludzeludze,9,
Magobetane Mamba,Sithobela,10,
Johane Shongwe,Mbabane West,10,
Esther Dlamini,Mbabane East,10,
Mduduzi ‘Small Joe’ Dlamini,Maseyisini,10,
Frans Dlamini,Nhlambeni,10,
Marwick Khumalo,Lobamba Lomdzala,10,
Sifiso Matsebula,Mayiwane,10,
Joseph Souza,Lugongolweni,10,
Veli Shongwe,Ngwemphisi,10,
Mbalekelwa Ndwandwe,Mhlangatane,10,
Gundwane Gamedze,Siphofaneni,10,
Bongani Mdluli,Madlangempisi,10,
Michael Masilela,Lobamba,10,
Titus Thwala,Zombodze,10,
Njabulo Mabuza,Khubuta,10,
Lucky Mabuza,Nkhaba,10,
Sikhumbuzo Dlamini,Nkwene,10,
Hans Steffans,Nkilongo,10,
Muzi Gwebu,Lubulini,10,
Mandla Nxumalo,Shiselweni I,10,
Richard Simelane,Mtsambama,10,
Cruiser Ngcamphalala,Sigwe,10,
Saladin Magagula,Hhukwini,10,
Owen Nxumalo,Manzini South,10,
Jeremiah Ndwandwe,Ndzingeni,10,
Moses Vilakati,Ntondozi,10,
Apton Ndlovu,Timphisini,10,
Mjuluko Dlamini,Mtfongwaneni,10,
Sandile Nxumalo,Somntongo,10,
Thulani Masuku,Hosea,10,
Jan Sithole,Manzini North,10,
Jabulani Mabuza,Pigg’s Peak,10,
Musa Stezi Dlamini,Dvokodvweni,10,
Sikiza Mchunu,Matsanjeni South,10,
Mabulala Maseko,Maphalaleni,10,
Sicelo Jele,Lamgabhi,10,
Mbongiseni Malinga,Gege,10,
Sifiso Magagula,Ntfonjeni,10,
Patrick Motsa,Mangcongco,10,
Mthokozisi Kunene,Shiselweni II,10,
Gideon Dlamini,Mkhiweni,10,
Bongani Mabuza,Kukhanyeni,10,
Dumisani Ndlangamandla,Ngudzeni,10,
George Maseko,Hlane,10,
Mkhosi Dlamini,Kwaluseni,10,
Sipho Hlophe,Mahlangatsha,10,
Phiwayinkhosi Mabuza,Mhlambanyatsi,10,
Jacob Siwela,Mpolonjeni,10,
Hans Steffens,Nkilongo,10,
Christopher Gamedze,Mafutseni,10,
Bambumuti Sithole,Ludzeludze,10,
Phesheya Hlatshwayo,Motshane,10,
James Simelane,Sandleni,10,
Phila Buthelezi,Matsanjeni North,10,
Sifiso Magagula,Mhlume,10,
