name,gender,faction,area,term,source
HATOYAMA Kunio,male, LDP, Fukuoka 6th District ,47,http://www.shugiin.go.jp/internet/itdb_english.nsf/html/statics/member/mem_h.htm
KOIKE Yuriko,female, LDP, Tokyo 10th District ,47,http://www.shugiin.go.jp/internet/itdb_english.nsf/html/statics/member/mem_k.htm
MIYAZAKI Kensuke,male, LDP, Kyoto 3rd District ,47,http://www.shugiin.go.jp/internet/itdb_english.nsf/html/statics/member/mem_m.htm
YOSHIMURA Hirofumi,male, JIP, Kinki Bloc ,47,http://www.shugiin.go.jp/internet/itdb_english.nsf/html/statics/member/mem_y.htm
