name,constituency,party,source,id,term
Billy Graham Talagi,Avatele,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,billy_graham_talagi,16
Dalton Tagelagi,Alofi South,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,dalton_tagelagi,16
Dion Paki Taufitu,Toi,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,dion_paki_taufitu,16
Esa Mona Ainu'u,Tuapa,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,esa_mona_ainu'u,16
"Jack Willie Lipitoa, QSM",Namukulu,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,"jack_willie_lipitoa,_qsm",16
Joan Sisiata Tahafa Viliamu,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,joan_sisiata_tahafa_viliamu,16
Kupa Magatogia,Lakepa,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,kupa_magatogia,16
Maureen Melekitama,Mutalau,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,maureen_melekitama,16
Naea Michael Jackson,Hakupu,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,naea_michael_jackson,16
O'love Jacobsen,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,o'love_jacobsen,16
Opili Talafasi,Hikutavake,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,opili_talafasi,16
Peter Andrew Funaki,Tamakautoga,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,peter_andrew_funaki,16
Pokotoa Sipeli,Liku,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,pokotoa_sipeli,16
Sir Toke Talagi,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,sir_toke_talagi,16
Stanley Kalauni,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,stanley_kalauni,16
Talaititama Talaiti,Vaiea,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,talaititama_talaiti,16
Terry Coe,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,terry_coe,16
Terry Donald Coe,Common Roll,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,terry_donald_coe,16
Tofua Puletama,Makefu,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,tofua_puletama,16
Va’aiga Tukuitoga,Alofi North,Independent,http://www.gov.nu/wb/pages/parliament/assembly.php,va’aiga_tukuitoga,16
