statement,id,name,start_date,end_date,wikidata
Q2816884-286360BC-188F-4AE2-84D8-85724DC041E4,46,46e législature,1985-10-31,1987-11-09,Q2816884
Q2744046-ABFFE1BF-E161-40B6-9BC7-2BBDF7538A35,47,47e législature,1988-01-05,1991-10-17,Q2744046
Q2536070-965CB3E5-5BE3-4DE0-8B1E-F18BAF89DF12,48,48e législature,1991-12-16,1995-04-12,Q2536070
Q2377361-6EB08FCF-5569-42BF-824D-FC6B018E3FC5,49,49e législature,1995-06-08,1999-05-05,Q2377361
Q1661857-9B9C450D-F7FA-4E18-8C65-AE19F3331E52,50,50e législature,1999-07-01,2003-04-10,Q1661857
Q1661851-2FFA54BD-F3D1-42B2-B7CA-81EB909A175D,51,51e législature,2003-06-05,2007-06-28,Q1661851
Q844873-8E80DD6E-CD85-4E09-A31A-DE0AEA7A8BB2,52,52e législature,2007-06-28,2010-05-07,Q844873
Q656480-67843F33-F026-4D47-A6E9-3379936EA584,53,53e législature,2010-06-13,2014-05-25,Q656480
Q17173094-881DF68A-5DDD-40E9-896F-25A73869C06F,54,54e législature,2014-06-19,"",Q17173094
