name,party,area,term,start_date,end_date
Ahmed Laaouej,PS,Brussel-Hoofdstad,54,2014-06-19,
Alain Mathot,PS,Luik,54,2014-06-19,
Alain Top,sp.a,West-Vlaanderen,54,2014-06-19,
Aldo Carcaci,Parti Populaire,Luik,54,2014-06-19,
Alexander De Croo,Open Vld,Oost-Vlaanderen,54,2014-06-19,2014-10-14
An Capoen,N-VA,West-Vlaanderen,54,2014-06-19,
André Flahaut,PS,Waals-Brabant,54,2014-06-19,2014-07-30
André Frédéric,PS,Luik,54,2014-06-19,
Ann Vanheste,sp.a,West-Vlaanderen,54,2014-06-19,2017-12-13
Anne Dedry,Groen,Vlaams-Brabant,54,2014-06-19,
Annemie Turtelboom,Open Vld,Antwerpen,54,2014-06-19,2014-07-30
Annemie Turtelboom,Open Vld,Antwerpen,54,2016-04-29,
Annick Lambrecht,sp.a,West-Vlaanderen,54,2017-01-12,
Barbara Pas,Vlaams Belang,Oost-Vlaanderen,54,2014-06-19,
Bart De Wever,N-VA,Antwerpen,54,2014-06-19,
Benoit Hellings,Ecolo,Brussel-Hoofdstad,54,2014-06-19,
Benoît Dispa,cdH,Namen,54,2014-06-19,
Benoît Friart,MR,Henegouwen,54,2014-06-19,
Benoît Lutgen,cdH,Luxemburg,54,2014-06-19,
Benoît Piedboeuf,MR,Luxemburg,54,2014-06-19,
Bert Wollants,N-VA,Antwerpen,54,2014-06-19,
Brecht Vermeulen,N-VA,West-Vlaanderen,54,2014-06-19,
Carina Van Cauter,Open Vld,Oost-Vlaanderen,54,2014-06-19,
Caroline Cassart-Mailleux,MR,Luik,54,2014-06-19,
Catherine Fonck,cdH,Henegouwen,54,2014-06-19,
Charles Michel,MR,Waals-Brabant,54,2014-06-19,2014-10-14
Christian Brotcorne,cdH,Henegouwen,54,2014-06-19,
Christoph D'Haese,N-VA,Oost-Vlaanderen,54,2014-06-19,
Céline Fremault,cdH,Brussel-Hoofdstad,54,2014-06-19,2014-07-30
Damien Thiéry,MR,Brussel-Hoofdstad,54,2014-06-19,
Daniel Bacquelaine,MR,Luik,54,2014-06-19,2014-10-14
Daniel Senesael,PS,Henegouwen,54,2014-06-19,
Daphné Dumery,N-VA,West-Vlaanderen,54,2014-06-19,
David Clarinval,MR,Namen,54,2014-06-19,
David Geerts,sp.a,Antwerpen,54,2014-06-19,
Denis Ducarme,MR,Henegouwen,54,2014-06-19,2017-08-24
Didier Reynders,MR,Brussel-Hoofdstad,54,2014-06-19,2014-10-11
Dirk Janssens,Open Vld,Vlaams-Brabant,54,2014-10-14,
Dirk Van Mechelen,Open Vld,Antwerpen,54,2014-06-19,
Dirk Van der Maelen,sp.a,Oost-Vlaanderen,54,2014-06-19,
Egbert Lachaert,Open Vld,Oost-Vlaanderen,54,2014-06-19,
Elio Di Rupo,PS,Henegouwen,54,2014-06-19,
Els Van Hoof,CD&V,Vlaams-Brabant,54,2014-10-14,
Emir Kir,PS,Brussel-Hoofdstad,54,2014-06-19,
Emmanuel Burton,MR,Waals-Brabant,54,2014-06-19,
Eric Massin,PS,Henegouwen,54,2014-06-19,
Eric Thiébaut,PS,Henegouwen,54,2014-06-19,
Eric Van Rompuy,CD&V,Vlaams-Brabant,54,2014-06-19,
Evita Willaert,Groen,Oost-Vlaanderen,54,2014-06-19,
Fabienne Winckel,PS,Henegouwen,54,2014-06-19,
Fatma Pehlivan,sp.a,Oost-Vlaanderen,54,2014-06-19,
Filip Dewinter,Vlaams Belang,Antwerpen,54,2014-06-19,
Francis Delpérée,cdH,Brussel-Hoofdstad,54,2014-06-19,
Frank Wilrycx,Open Vld,Antwerpen,54,2014-07-30,2016-04-29
Franky Demon,CD&V,West-Vlaanderen,54,2014-06-19,
Françoise Schepmans,MR,Brussel-Hoofdstad,54,2014-06-19,
Frédéric Daerden,PS,Luik,54,2014-06-19,
Gautier Calomne,MR,Brussel-Hoofdstad,54,2015-09-22,
Georges Dallemagne,cdH,Brussel-Hoofdstad,54,2014-07-30,
Georges Gilkinet,Ecolo,Namen,54,2014-06-19,
Gilles Foret,MR,Luik,54,2014-06-19,
Gilles Vanden Burre,Ecolo,Brussel-Hoofdstad,54,2015-05-28,
Goedele Uyttersprot,N-VA,Oost-Vlaanderen,54,2014-06-19,
Griet Smaers,CD&V,Antwerpen,54,2014-06-19,
Gwenaëlle Grovonius,PS,Namen,54,2014-06-19,
Hans Bonte,sp.a,Vlaams-Brabant,54,2014-06-19,
Hendrik Bogaert,CD&V,West-Vlaanderen,54,2014-06-19,
Hendrik Vuye,N-VA,Vlaams-Brabant,54,2014-06-19,
Ine Somers,Open Vld,Oost-Vlaanderen,54,2014-06-19,
Inez De Coninck,N-VA,Vlaams-Brabant,54,2014-06-19,
Isabelle Galant,MR,Henegouwen,54,2017-08-24,
Isabelle Poncelet,cdH,Luxemburg,54,2014-06-19,
Jacques Chabot,PS,Luik,54,2017-11-09,
Jan Jambon,N-VA,Antwerpen,54,2014-06-19,2014-10-14
Jan Penris,Vlaams Belang,Antwerpen,54,2014-06-19,
Jan Spooren,N-VA,Vlaams-Brabant,54,2014-06-19,
Jan Vercammen,N-VA,West-Vlaanderen,54,2014-06-19,
Jean-Jacques Flahaux,MR,Henegouwen,54,2014-06-19,
Jean-Marc Delizée,PS,Namen,54,2014-06-19,
Jean-Marc Nollet,Ecolo,Henegouwen,54,2014-06-19,
Jef Van den Bergh,CD&V,Antwerpen,54,2014-06-19,
Johan Klaps,N-VA,Antwerpen,54,2014-10-14,
Johan Vande Lanotte,sp.a,West-Vlaanderen,54,2014-06-19,2017-01-12
Julie Fernandez-Fernandez,PS,Luik,54,2014-06-19,
Karin Temmerman,sp.a,Oost-Vlaanderen,54,2014-06-19,
Karine Jiroflée,sp.a,Vlaams-Brabant,54,2014-06-19,
Karine Lalieux,PS,Brussel-Hoofdstad,54,2014-06-19,
Karolien Grosemans,N-VA,Limburg,54,2014-06-19,
Katja Gabriëls,Open Vld,Oost-Vlaanderen,54,2014-10-14,
Kattrin Jadin,MR,Luik,54,2014-06-19,
Koen Geens,CD&V,Vlaams-Brabant,54,2014-06-19,2014-10-14
Koen Metsu,N-VA,Antwerpen,54,2014-06-19,
Koenraad Degroote,N-VA,West-Vlaanderen,54,2014-06-19,
Kristien Van Vaerenbergh,N-VA,Vlaams-Brabant,54,2014-06-19,
Kristof Calvo,Groen,Antwerpen,54,2014-06-19,
Laurent Devin,PS,Henegouwen,54,2014-06-19,
Laurette Onkelinx,PS,Brussel-Hoofdstad,54,2014-06-19,
Leen Dierick,CD&V,Oost-Vlaanderen,54,2014-06-19,
Luc Gustin,MR,Luik,54,2014-10-14,
Luk Van Biesen,Open Vld,Vlaams-Brabant,54,2014-06-19,
Maggie De Block,Open Vld,Vlaams-Brabant,54,2014-06-19,2014-10-14
Marcel Cheron,Ecolo,Waals-Brabant,54,2014-06-19,
Marco Van Hees,PTB-go!,Henegouwen,54,2014-06-19,
Marie-Christine Marghem,MR,Henegouwen,54,2014-06-19,2014-10-14
Marijke Dillen,Vlaams Belang,Antwerpen,54,2014-06-19,2014-06-19
Maya Detiège,sp.a,Antwerpen,54,2014-06-19,
Melchior Wathelet,cdH,Luik,54,2014-06-19,2015-04-23
Meryame Kitir,sp.a,Limburg,54,2014-06-19,
Meyrem Almaci,Groen,Antwerpen,54,2014-06-19,
Michel de Lamotte,cdH,Luik,54,2015-04-23,
Monica De Coninck,sp.a,Antwerpen,54,2014-06-19,
Muriel Gerkens,Ecolo,Luik,54,2014-06-19,
Nahima Lanjri,CD&V,Antwerpen,54,2014-06-19,
Nathalie Muylle,CD&V,West-Vlaanderen,54,2014-06-19,
Nawal Ben Hamou,PS,Brussel-Hoofdstad,54,2014-06-19,
Nele Lijnen,Open Vld,Limburg,54,2014-06-19,
Olivier Chastel,MR,Henegouwen,54,2014-06-19,
Olivier Maingain,FDF,Brussel-Hoofdstad,54,2014-06-19,
Patricia Ceysens,Open Vld,Vlaams-Brabant,54,2014-06-19,
Patrick Dewael,Open Vld,Limburg,54,2014-06-19,
Paul-Olivier Delannois,PS,Henegouwen,54,2014-06-19,
Peter Buysrogge,N-VA,Oost-Vlaanderen,54,2014-06-19,
Peter De Roover,N-VA,Antwerpen,54,2014-06-19,
Peter Dedecker,N-VA,Oost-Vlaanderen,54,2014-06-19,
Peter Luykx,N-VA,Limburg,54,2014-06-19,
Peter Vanvelthoven,sp.a,Limburg,54,2014-06-19,
Philippe Blanchart,PS,Henegouwen,54,2014-06-19,
Philippe Goffin,MR,Luik,54,2014-06-19,
Philippe Pivin,MR,Brussel-Hoofdstad,54,2014-06-19,
Pieter De Crem,CD&V,Oost-Vlaanderen,54,2014-06-19,2014-10-14
Raf Terwingen,CD&V,Limburg,54,2014-06-19,
Raoul Hedebouw,PTB-go!,Luik,54,2014-06-19,
Renate Hufkens,N-VA,Vlaams-Brabant,54,2014-10-14,
Richard Miller,MR,Henegouwen,54,2014-10-14,
Rita Bellens,N-VA,Antwerpen,54,2014-06-19,
Rita Gantois,N-VA,West-Vlaanderen,54,2014-06-19,
Rob Van de Velde,N-VA,Antwerpen,54,2014-06-19,
Roel Deseyn,CD&V,West-Vlaanderen,54,2014-06-19,
Sabien Lahaye-Battheu,Open Vld,West-Vlaanderen,54,2014-06-19,
Sarah Claerhout,CD&V,Oost-Vlaanderen,54,2014-10-14,2016-11-10
Sarah Smeyers,N-VA,Oost-Vlaanderen,54,2014-06-19,
Servais Verherstraeten,CD&V,Antwerpen,54,2014-06-19,
Siegfried Bracke,N-VA,Oost-Vlaanderen,54,2014-06-19,
Sonja Becq,CD&V,Vlaams-Brabant,54,2014-06-19,
Sophie De Wit,N-VA,Antwerpen,54,2014-06-19,
Sophie Wilmès,MR,Brussel-Hoofdstad,54,2014-10-11,2015-09-22
Stefaan Van Hecke,Groen,Oost-Vlaanderen,54,2014-06-19,
Stefaan Vercamer,CD&V,Oost-Vlaanderen,54,2014-06-19,
Steven Vandeput,N-VA,Limburg,54,2014-06-19,2014-10-14
Stéphane Crusnière,PS,Waals-Brabant,54,2014-07-30,
Stéphanie Thoron,MR,Namen,54,2014-06-19,
Sybille de Coster-Bauchau,MR,Waals-Brabant,54,2014-06-19,
Sébastian Pirlot,PS,Luxemburg,54,2014-06-19,
Theo Francken,N-VA,Vlaams-Brabant,54,2014-06-19,2014-10-14
Tim Vandenput,Open Vld,Vlaams-Brabant,54,2014-06-19,
Valerie Van Peel,N-VA,Antwerpen,54,2014-06-19,
Vanessa Matz,cdH,Luik,54,2014-06-19,
Veerle Heeren,CD&V,Limburg,54,2014-06-19,
Veerle Wouters,N-VA,Limburg,54,2014-06-19,
Veli Yüksel,CD&V,Oost-Vlaanderen,54,2014-06-19,
Vincent Scourneau,MR,Waals-Brabant,54,2014-10-14,
Vincent Van Peteghem,CD&V,Oost-Vlaanderen,54,2016-11-10,
