statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1151266-120e9f36-4bbf-9727-c17a-14b7f64bfc16,Q1151266,Emir Kir,Q90870,Arrondissement of Brussels-Capital,Q645787,Socialist Party,"","",54
Q1344265-BD116B5A-A6C4-417D-B572-94DB23EC5051,Q1344265,Filip Dewinter,Q1116,Antwerp,Q682990,Flemish Interest,"","",54
Q14084072-82601B0A-ACD2-42D0-B1D2-1199E1D496E0,Q14084072,Peter De Roover,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q1441464-DE421FFC-F9AC-4452-913B-6EDD8A4056DC,Q1441464,Francis Delpérée,Q90870,Arrondissement of Brussels-Capital,Q840814,Humanist Democratic Centre,"","",54
Q1471482-1905A6EE-F449-4CB2-9133-66C49ED4B5C0,Q1471482,Frédéric Daerden,Q1127,Liège,Q645787,Socialist Party,"","",54
Q14856202-9C962A9E-81FD-4EFE-9ADF-44573BBC8257,Q14856202,Tim Vandenput,Q1118,Flemish Brabant,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q15048-1d87c173-4f32-3fcf-825b-c5734cc52890,Q15048,Elio Di Rupo,Q1129,Hainaut,Q645787,Socialist Party,"","",54
Q15127115-3BDDE4C4-5EE8-4383-AB50-83BA2D1D7CB7,Q15127115,Egbert Lachaert,Q1114,East Flanders,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q15883457-e4cdea46-4f88-6e94-333a-3defcd35c2e4,Q15883457,Vincent Scourneau,Q1122,Walloon Brabant,Q533384,Reform Movement,2014-10-14,"",54
Q15992-C05F0959-4C2C-4899-BA98-CBA219A85955,Q15992,Patrick Dewael,Q1095,Limburg,Q1160192,Open Flemish Liberals and Democrats,"","",54
Q1663490-31EB6C48-AC33-4DB1-B0DA-CEF9CD457226,Q1663490,Alain Mathot,Q1127,Liège,Q645787,Socialist Party,"","",54
Q16662935-BEB6260E-05E8-4019-B862-3DD0A4E36023,Q16662935,Marco Van Hees,Q1129,Hainaut,Q925616,Workers' Party of Belgium,"","",54
Q16672153-997BF92D-B3C7-4223-BE57-DA2E90C3F57D,Q16672153,Raoul Hedebouw,Q1127,Liège,Q925616,Workers' Party of Belgium,"","",54
Q17038223-8727EB06-65E3-4D5A-9324-8B511D45C737,Q17038223,Jan Spooren,Q1118,Flemish Brabant,Q28982,New Flemish Alliance,"","",54
Q17048132-B3B03BAD-72D5-4896-B11F-F6178B8BA928,Q17048132,Brecht Vermeulen,Q1113,West Flanders,Q28982,New Flemish Alliance,"","",54
Q17149643-AA9EF2CC-00D9-4110-B52E-0F75B29898A4,Q17149643,Valerie Van Peel,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
Q17149749-B73F3F7F-20AC-4308-A6F6-DE172BA371B8,Q17149749,Koen Metsu,Q1116,Antwerp,Q28982,New Flemish Alliance,"","",54
