id,type,identifier__geonames,start_date,name__en,name__fr,name__bg,name__br,name__et,name__it,name__nl,name__vi,name__zh,name__de,name__fa,name__el,name__ceb,name__sv,name__ru,name__ja,name__be,name__uk,name__ast,name__ar,name__be_tarask,name__lb,name__ro,name__cs,name__eo,iso_code,flag,coat_of_arms,identifier__openstreetmap,website,identifier__freebase,identifier__gnd,identifier__fips,identifier__britannica,name__en_ca,name__en_gb,name__af,name__an,name__arz,name__ca,name__cy,name__da,name__es,name__eu,name__fi,name__fy,name__gl,name__hr,name__hu,name__jv,name__ko,name__ksh,name__la,name__li,name__lt,name__lv,name__mr,name__ms,name__nds_nl,name__oc,name__os,name__pl,name__pt,name__pt_br,name__sco,name__sk,name__th,name__tr,name__vls,name__vo,name__wa,name__war,name__sr,name__is,name__nb,name__mt,name__ta,name__ka,name__hy,name__fo,name__pnb,name__nan,name__ur,name__mk,name__te,name__hi,name__id,name__bn,name__si,name__gu,name__kn,identifier__dmoz,name__nn,name__zea,name__he,name__az,identifier__bnf,identifier__quora,name__nds,name__sl,name__stq,name__csb,name__frr,name__de_ch,name__zh_hans,name__zh_hant,name__bs,name__cv,name__gsw,identifier__viaf,name__bar,name__pcd,identifier__tgn,name__tt
Q1095,province of Belgium,2792347,,Limburg,Limbourg,Лимбург,Limbourg,Limburgi provints,Limburgo,Limburg,Limburg,林堡省,Limburg,استان لمبورگ,Λιμβουργία,Provincie Limburg (lalawigan),Limburg,Лимбург,リンブルフ州,правінцыя Лімбург,Лімбург,,ليمبورغ,Лімбург,Provënz Limburg,Limburg,Limburk,Limburgo,BE-VLI,https://upload.wikimedia.org/wikipedia/commons/7/70/Flag_of_Limburg_(Belgium).svg,https://upload.wikimedia.org/wikipedia/commons/1/15/Limburg_B_wapen.svg,53142,http://www.limburg.be,/m/0hzmv,4035747-8,BE05,place/Limburg-province-Belgium,Limburg,Limburg,"Limburg, België",Limburgo,"ليمبورج , بلجيكا",Limburg,Limburg,Limburg,Limburgo,Linburgo,Limburgin lääni,Limburch,Provincia de Limburg,Limburg,Limburg,Limburg,림뷔르흐 주,Limburrsh,Limburgum,Belsj Limburg,Limburgo provincija,Limburga,लिमबर्ग,Limburg,Limbörg,Província de Limborg,Лимбург,Prowincja Limburgia,Limburgo,Limburgo,Limburg,Limbursko,มณฑลลิมเบิร์ก,Limburg,Belgisch Limburg,Limburg,Province do Limbork,Limburg,Провинција Лимбург,Limburg,Limburg,Limburgu,லிம்பெர்க்,ლიმბურგის პროვინცია,Լիմբուրգ,Limburg,صوبہ لمبرگ,Limburg Séng,لمبرگ,Лимбург,లింబర్గ్,लिम्बर्ग (नीदरलैंड्स),Limburg,লিমবার্গ,ලිම්බර්ග්,લિમ્બર્ગ,ಲಿಂಬರ್ಗ್,,,,לימבורג (בלגיה),,,,,,,,,,,,,,,,,,,
Q1113,province of Belgium,2783770,,West Flanders,Flandre-Occidentale,Западна Фландрия,Proviñs Kornôg-Flandrez,Lääne-Flandria provints,provincia delle Fiandre Occidentali,West-Vlaanderen,West-Vlaanderen,西弗兰德省,Provinz Westflandern,استان فلاندری غربی,Δυτική Φλάνδρα,Provincie West-Vlaanderen,Västflandern,Западная Фландрия,ウェスト＝フランデレン州,Заходняя Фландрыя,Західна Фландрія,Provincia de Flandes Occidental,فلاندرز الغربية,Заходняя Фляндрыя,Provënz Westflandern,Flandra de Vest,Západní Flandry,Okcidenta Flandrio,BE-VWV,https://upload.wikimedia.org/wikipedia/commons/c/c2/Flag_of_West_Flanders.svg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Wapen_van_West-Vlaanderen.svg,416271,http://www.west-vlaanderen.be,/m/013vsf,,BE09,place/West-Flanders,West Flanders,West Flanders,Wes-Vlaandere,Flandres Occidental,فلاندر الغربيه,Flandes Occidental,Gorllewin Fflandrys,Vestflandern,Provincia de Flandes Occidental,Mendebaldeko Flandria,Länsi-Flanderi,West-Flaanderen,Flandres Occidental,Zapadna Flandrija,Nyugat-Flandria,,베스트플란데런 주,Wäßßflaandere,Flandria Occidentalis,Wes-Vlaandere,Vakarų Flandrijos provincija,Rietumflandrija,पश्चिम फ्लांडर्स,Flanders Barat,Westfloandern,Flandra Occidentala,Ныгуылæн Фландри,Prowincja Flandria Zachodnia,Flandres Ocidental,Flandres Ocidental,Wast Flanders,Západné Flámsko,มณฑลฟลานเดอร์ตะวันตก,Batı Flandre,West-Vloandern,West-Vlaanderen,Province di Flande coûtchantrece,West-Vlaanderen,Западна Фландрија,Vestur-Flæmingjaland,Vest-Flandern,Fjandri tal-Punent,மேற்கு பிலான்டெர்ஸ்,დასავლეთი ფლანდრია,Արևմտյան Ֆլանդրիա,,لیندا فلینڈرز,West-Vlaanderen Séng,مغربی فلانڈرز,Западна Фландрија,వెస్ట్ ఫ్లాండర్స్,वेस्ट फ्लैंडर्स,Flandria Barat,ওয়েস্ট ফ্লান্ডারস,බටහිර ෆ්ලන්ඩර්ස්,વેસ્ટ ફ્લેન્ડર્સ,ವೆಸ್ಟ್ ಫ್ಲಾಂಡರ್ಸ್,Regional/Europe/Belgium/Regions/Flanders/West-Vlaanderen/,,West-Vlaonderen,מערב פלנדריה,Qərbi Flandiriya,122119899,West-Vlaanderen,West-Flannern,Zahodna Flamska,Wääst-Flandern,Zôpadnô Flandriô,Prowins Waastflandern,,,,,,,,,,7003458,Көнбатыш Фландрия
Q1114,province of Belgium,2789733,,East Flanders,Flandre-Orientale,Източна Фландрия,Reter-Flandrez,Ida-Flandria,provincia delle Fiandre Orientali,Oost-Vlaanderen,Oost-Vlaanderen,东弗兰德省,Provinz Ostflandern,استان فلاندری شرقی,Ανατολική Φλάνδρα,Provincie Oost-Vlaanderen,Östflandern,Восточная Фландрия,オースト＝フランデレン州,Усходняя Фландрыя,Східна Фландрія,Provincia de Flandes Oriental,فلاندر الشرقية,Усходняя Фляндрыя,Provënz Ostflandern,Flandra de Est,Východní Flandry,Orienta Flandrio,BE-VOV,https://upload.wikimedia.org/wikipedia/commons/0/0e/Vlag_van_Oost-Vlaanderen.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Wapen_van_Oost-Vlaanderen.svg,53135,http://www.oost-vlaanderen.be,/m/013v_g,,BE08,place/East-Flanders,East Flanders,East Flanders,Oos-Vlaandere,Flandres Oriental,فلاندر الشرقيه,Flandes Oriental,Dwyrain Fflandrys,Østflandern,Provincia de Flandes Oriental,Ekialdeko Flandria,Itä-Flanderi,East-Flaanderen,Provincia de Flandres oriental,Istočna Flandrija,Kelet-Flandria,,오스트플란데런 주,Oßßflaandere,Flandria Orientalis,Oos-Vlaandere,Rytų Flandrijos provincija,Austrumflandrija,पूर्व फ्लांडर्स,Flanders Timur,Oostfloandern,Flandra Orientala,Скæсæн Фландри,Prowincja Flandria Wschodnia,Flandres Oriental,Flandres Oriental,East Flanders,Východné Flámsko,จังหวัดฟลานเดอร์ตะวันออก,Doğu Flandre,Ôost-Vloandern,Oost-Vlaanderen,Province di Flande levantrece,Oost-Vlaanderen,Источна Фландрија,Austur-Flæmingjaland,Øst-Flandern,Fjandri tal-Lvant,கிழக்கு பிலான்டெர்ஸ்,აღმოსავლეთი ფლანდრია,Արևելյան Ֆլանդրիա,,چڑھدا فلینڈرز,Oost-Vlaanderen Séng,مشرقی فلانڈرز,Источна Фландрија,ఈస్ట్ ఫ్లాండర్స్,पूर्वी फ्लैंडर्स,Flandria Timur,ইস্ট ফ্লান্ডার্স,නැගෙනහිර ෆ්ලන්ඩර්ස්,ઇસ્ટ ફ્લેન્ડર્સ,ಈಸ್ಟ್ ಫ್ಲಾಂಡರ್ಸ್,Regional/Europe/Belgium/Regions/Flanders/Oost-Vlaanderen/,Aust-Flandern,Oôst-Vlaonderen,פלנדריה המזרחית,Şərqi Flandiriya,,,,,,,,,,,,,,,Provinz Ostflandern,,7003457,
Q1116,province of Belgium,2803136,,Antwerp,province d'Anvers,Антверпен,Antwerpen,Antwerpeni provints,provincia d'Anversa,Antwerpen,Antwerp,安特衛普省,Provinz Antwerpen,استان آنتورپ,Αμβέρσα,Provincie Antwerpen,Antwerpen,Антверпен,アントウェルペン州,правінцыя Антверпен,Антверпен,Provincia d'Amberes,أنتفيرب,Антвэрпэн,Provënz Antwerpen,Anvers,Antverpy,Antverpeno,BE-VAN,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_Antwerp.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Wapen_van_de_provincie_Antwerpen.svg,53114,http://www.provant.be,/m/0fyfc,,BE01,,Antwerp,Province of Antwerp,Antwerpen,Provincia d'Anvers,,Província d'Anvers,Antwerp,Antwerpen,Provincia de Amberes,Anberesko probintzia,Antwerpenin lääni,Antwerpen,Provincia de Antwerp,Antwerpen,Antwerpen,,안트베르펜 주,Antwerpen,Antverpia,Antwerpe,Antverpeno provincija,Antverpene,अँटवर्प,Wilayah Antwerpen,Antwaarp,Província d'Anvèrs,,Prowincja Antwerpia,Antuérpia,Antuérpia,Antwerp,Antverpy,มณฑลแอนต์เวิร์ป,Anvers,Antwerpn,Antwerpen,Province d' Anverse,Antwerpen,Провинција Антверпен,Antwerpen-hérað,Antwerpen,Antwerp,அன்ட்வெர்ப்,ანტვერპენის პროვინცია,Անտվերպեն,Antwerpen,صوبہ انٹیورپ,Antwerp Séng,اینٹورپ,Антверпен,ఆంట్వర్ప్,एंटवर्प (प्रांत ),Antwerpen,এন্টওয়ার্প,අන්ට්වර්ප්,એન્ટવર્પ,ಆಂಟ್ವರ್ಪ್,,,Antwerpen,,,11943066b,,,,,,Antwerpen,,安特卫普省,,Antwerpen,,,,,,7003456,
Q1118,province of Belgium,3333250,,Flemish Brabant,Brabant flamand,Фламандски Брабант,Brabant Flandrez,Flaami Brabant,provincia del Brabante Fiammingo,Vlaams-Brabant,Vlaams-Brabant,弗拉芒-布拉班特省,Flämisch-Brabant,برابانت فلاندر,Φλαμανδική Μπραμπάντ,Provincie Vlaams-Brabant,Flamländska Brabant,Фламандский Брабант,フラームス＝ブラバント州,Фламандскі Брабант,Фламандський Брабант,Brabante Flamencu,برابانت فلاماند,Флямандзкі Брабант,Provënz Flämesche Brabant,Brabantul Flamand,Vlámský Brabant,Flandra Brabanto,BE-VBR,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_Flemish-Brabant.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Wapen_van_Vlaams-Brabant.svg,58004,http://www.vlaamsbrabant.be,/m/0hz77,,BE12,place/Flemish-Brabant,Flemish Brabant,Flemish Brabant,Vlaams-Brabant,Brabant Flamenco,,Brabant Flamenc,Brabant Fflandrysaidd,Vlaams-Brabant,Brabante Flamenco,Flandriako Brabante,Flanderin Brabant,Flaamsk-Brabân,Provincia do Brabante flamengo,Flamanski Brabant,Flamand-Brabant,,플람스브라반트 주,Flämesh Brabant,Brabantia Flandrensis,Vlaams-Brabant,Flamandų Brabanto provincija,Flāmu Brabante,फ्लाम्स ब्राबांत,Brabant Flanders,Floams Broabant,Brabant Flamenc,,Prowincja Brabancja Flamandzka,Brabante Flamengo,Brabante Flamengo,Flemish Brabant,Flámsky Brabant,มณฑลเฟลมิชบราบันต์,Flaman Brabant,Vlams-Broabant,Vlaams-Brabant,Province do Braibant flamind,Vlaams-Brabant,Фламански Брабант,Flæmska Brabant,Flamsk Brabant,Brabant Fjamming,பிலெமிஷ் பிரபான்ட்,ფლამანდიის ბრაბანტი,Ֆլամանդական Բրաբանտ,,فلیمش برابانت,Vlaams-Brabant Séng,فلیمش برابنٹ,Фламански Брабант,ఫ్లెమిష్ బ్రాబంట్,फ्लेमिश ब्रबेंट,Flemish Brabant,ফ্লেমিশ ব্র্যাবেন্ট,ෆ්ලෙමිෂ් බ්‍රබන්ට්,ફ્લેમિશ બ્રાબેંટ,ಫ್ಲೆಮಿಶ್ ಬ್ರಬಂಟ್,,,,ברבנט הפלמית,,,,,,,,Belgien/fe,Provinz Flämisch-Brabant,弗拉芒-布拉班特省,佛萊明-布拉邦省,Flamanski Brabant,,,,,,,
Q1122,province of Belgium,3333251,,Walloon Brabant,Brabant wallon,Валонски Брабант,Brabant Wallonia,Vallooni Brabant,provincia del Brabante Vallone,Waals-Brabant,Walloon Brabant,瓦隆-布拉班特省,Provinz Wallonisch-Brabant,استان اوئلون بربان,Βαλλωνική Βραβάντη,Province du Brabant Wallon,Vallonska Brabant,Валлонский Брабант,ブラバン・ワロン州,Валонскі Брабант,Валлонський Брабант,Provincia del Brabante Valón,برابانت والون,Валёнскі Брабант,Provënz Wallounesche Brabant,Brabantul Valon,Valonský Brabant,Valona Brabanto,BE-WBR,https://upload.wikimedia.org/wikipedia/commons/4/47/Drapeau_Province_BE_Brabant_Wallon.svg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Coat_of_arms_of_Walloon_Brabant.svg,78748,http://www.brabantwallon.be,/m/0kx8x,,BE10,place/Walloon-Brabant,Walloon Brabant,Walloon Brabant,Waals-Brabant,Brabant Valón,,Brabant Való,Brabant Walonaidd,Brabant Wallon,Provincia del Brabante Valón,Valoniako Brabante,Vallonian Brabant,Waalsk-Brabân,Brabante Valón,Valonski Brabant,Vallon-Brabant,,브라방왈롱 주,Wallonesh Brabant,,Waals-Brabant,Valonų Brabanto provincija,Valoņu Brabante,ब्राबांत वालों,Brabant Walonia,,Brabant Valon,,Prowincja Brabancja Walońska,Brabante Valão,Brabante Valão,Walloon Brabant Province,Valónsky Brabant,มณฑลวัลลูนบราบันต์,Valon Brabant,Woals-Broabant,Brabant wallon,Province do Roman Payis,Brabant wallon,Валонски Брабант,Vallónska Brabant,Vallonsk Brabant,,வலூன் பிரபான்ட்,ვალონიის ბრაბანტი,Վալոնյան Բրաբանտ,,ویلون برابانت,Walloon Brabant Séng,والون برابنٹ,,వాలూన్ బ్రాబంట్,वालून ब्रबैंट,Brabant Walonia,ওয়াল্লুন ব্রাবান্ট,වලුන් බ්‍රබන්ට්,વાલૂન બ્રાબેંત,ವಾಲೂನ್ ಬ್ರಬಂಟ್,Regional/Europe/Belgium/Regions/Wallonia/Brabant_Wallon/,,,ברבנט הוולונית,Vallonskiy Brabant,135613958,Brabant-Wallon,,Provinca  Walloon Brabant,,,,Provinz Wallonisch-Brabant,,,,,,,,,,
Q1125,province of Belgium,2790469,,Namur,province de Namur,Намюр,Namur,Namuri provints,provincia di Namur,Namen,Namur,那慕爾省,Provinz Namur,استان نمور,Ναμύρ,Province de Namur,Namur,Намюр,ナミュール州,правінцыя Намюр,Намюр,Provincia de Namur,نامور,Намюр,Provënz Namouer,Namur,Namur,Namuro,BE-WNA,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_province_namur.svg,https://upload.wikimedia.org/wikipedia/commons/9/98/Wapen_van_Namen_(provincie).svg,1311816,http://www.province.namur.be,/m/013x2x,,BE07,place/Namur-province-Belgium,Namur,Namur,Namur,Provincia de Nameur,,Província de Namur,Namur,Namur,Provincia de Namur,Namurreko probintzia,Namurin lääni,Namen,Provincia de Namur,Namur,Namur,,나무르 주,Namür,Namurcum,Name,Namiūro provincija,Namīra,नामुर,Namur,,Província de Namur,,Prowincja Namur,Namur,Namur,Namur,Namursko,มณฑลนามูร์,Namur,Noamn,Namur,Province di Nameur,Namur,Провинција Намир,,Namur,,நமுர்,ნამიურის პროვინცია,Նամյուր,,صوبہ نامور,Namur Séng,نامور,,నాముర్,नामुर,Namur,নামুর,නමුර්,નામુર,ನಾಮುರ್,Regional/Europe/Belgium/Regions/Wallonia/Namur/,,,,Namyur,119486081,,,,,,,Provinz Namur,那慕尔省,,,,,,Provinz Namur,,,
Q1126,province of Belgium,2791993,1839,Luxembourg,province de Luxembourg,Люксембург,Luksembourg,Luxembourg'i provints,provincia del Lussemburgo,Provincie Luxemburg,Luxembourg,盧森堡省,Provinz Luxemburg,کانتون لوکزامبورگ,Λουξεμβούργο,Province du Luxembourg,Luxemburg,Люксембург,リュクサンブール州,правінцыя Люксембург,Люксембург,,لوكسمبورغ,Люксэмбург,Provënz Lëtzebuerg,Luxemburg,Lucemburk,Luksemburgo,BE-WLX,https://upload.wikimedia.org/wikipedia/commons/0/06/Official_flag_of_the_Province_of_Luxembourg.svg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Coat_of_arms_of_the_Province_of_Luxembourg.svg,1412581,http://www.province.luxembourg.be,/m/0hznq,,BE06,place/Luxembourg-province-Belgium,Luxembourg,Luxembourg,Luxemburg,Provincia de Luxemburgo,,Província de Luxemburg,Luxembourg,Luxembourg,Provincia de Luxemburgo,Luxenburgo,Luxembourgin lääni,Lúksemboarch,Provincia de Luxemburgo,Luxembourg,Luxembourg,,뤽상부르 주,Luxemburg,Luxemburgum,Luxemburg,Liuksemburgo provincija,Luksemburga,लक्झेंबर्ग,Luxembourg,Luxembörg,Província de Luxemborg,,Prowincja Luksemburg,Luxemburgo,Luxemburgo,Luxembourg,Luxembourg (provincia),มณฑลลักเซมเบิร์ก,"Lüksemburg, Belçika",Luxemburg,Luxembourg,Province do Lussimbork,Luxembourg,Провинција Луксембург,Lúxemborg,Luxembourg,,லக்செம்பெர்க்,ლუქსემბურგის პროვინცია (ბელგია),Լյուքսեմբուրգ,,صوبہ لکسمبورگ,Luxembourg Séng,لکسمبرگ,Луксембург,లక్సెమ్‌బర్గ్,लक्ज़मबर्ग,Luksemburg,লাক্সেমবার্গ,ලක්සම්බර්ග්,લક્ઝમબર્ગ,ಲಕ್ಸೆಂಬರ್ಗ್,Regional/Europe/Belgium/Regions/Wallonia/Luxembourg/,,,לוקסמבורג,,,,,,,,,Provinz Luxemburg,卢森堡省,,,Люксембург,Provinz Luxemburg,,,,,
Q1127,province of Belgium,2792411,,Liège,province de Liège,Лиеж,Liège,Liège'i provints,provincia di Liegi,Luik,Liège,列日省,Provinz Lüttich,استان لیژ,Λιέγη,Province de Liège,Liège,Льеж,リエージュ州,правінцыя Льеж,Льєж,Provincia de Lieja,لياج,Льеж,Provënz Léck,Liège,Lutych,Lieĝo,BE-WLG,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_the_Province_of_Liège.svg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Wapen_van_Luik_(provincie).svg,1407192,http://www.provincedeliege.be,/m/013d56,4036534-7,BE04,place/Liege-province-Belgium,Liège,Liège,Luik,Provincia de Lidje,,província de Lieja,Liège,Liège,Provincia de Lieja,Liejako probintzia,Liègen pronssi,Luik,Provincia de Liexa,Liège,Liège,,리에주 주,Lüttish,,Luuk,Lježo provincija,Ljēža,लीज,Liege,,Província de Lièja,,Prowincja Liège,Liège,Liège,Liège,Lutyšsko,มณฑลลีแยฌ,Liège,Luuk,Liège,Province di Lidje,Liège,Провинција Лијеж,Liege,Liège,,லீஜ்,ლიეჟის პროვინცია,Լիեժ,,صوبہ لیجے,Liège Séng,لییج,Лиеж,లియేజ్,लीज,Liège,লিয়েজ,ලයිගේ,લીજ,ಲೀಜ್,Regional/Europe/Belgium/Regions/Wallonia/Liège/,,,,Lej,11940624b,,,provinca Liège,,,,Provinz Lüttich,,,,Льеж,,143892616,,,,
Q1129,province of Belgium,2796741,,Hainaut,Hainaut,Ено,Hainaut,Hainaut,provincia dell'Hainaut,Henegouwen,Hainaut,埃諾省,Provinz Hennegau,استان انو,Αινώ,Province du Hainaut,Hainaut,Эно,エノー州,правінцыя Эно,Ено,Provincia de Henao,هينو,Эно,Provënz Hainaut,Hainaut,Henegavsko,Henegovio,BE-WHT,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Hainaut.svg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Wapen_van_Henegouwen_(provincie).svg,157559,http://www.hainaut.be,/m/013x15,,BE03,place/Hainaut-province-Belgium,,,Hainaut,Hainaut,,Hainaut,Hainaut,Hainaut,Provincia de Henao,Hainauteko probintzia,Hainaut'n lääni,Henegouwen,Provincia de Hainaut,Hainaut,Hainaut,,에노 주,Hennot,Henogovia,Henegouwe,Heno provincija,Eno,एनो,Hainaut,Hainego,Enaut,,Prowincja Hainaut,Hainaut,Hainaut,Hainaut,Hennegavsko,มณฑลแอโน,Hainaut,Enegouwn,Hainaut,Province do Hinnot,Hainaut,Провинција Ено,Hainaut,Hainaut,,ஹெயினாட்,ენოს პროვინცია,Էնո,,حینا,Hainaut Séng,ہائنو,Ено,హాయినాట్,हैनौत (प्रांत),Hainaut,হাইনট,හයිනෞට්,હૈનૌટ,ಹೈನಾಟ್,Regional/Europe/Belgium/Regions/Wallonia/Hainaut/,,,אנו,Eno,,,,,,,Hennegau,,埃诺省,,,,,,,Hénau,,
