id,name__th,name,wikipedia__th,original_wikiname,name__de,name__en,name__es,name__fr,wikipedia__de,wikipedia__en,gender,birth_date,identifier__freebase,name__it,wikipedia__es,identifier__VIAF,identifier__SUDOC,name__ko,wikipedia__ko,wikipedia__commons,image,name__nl,name__zh_hans,name__zh_hant,name__zh_hk,name__zh,wikipedia__zh,occupation,name__zh_tw,wikipedia__lo,name__lo,name__ru,name__ja,death_date,identifier__LCAuth,identifier__ISNI,identifier__FAST,name__uk,name__ast
Q13012693,กล้านรงค์ จันทิก,กล้านรงค์ จันทิก,กล้านรงค์ จันทิก,กล้านรงค์ จันทิก,,Kranarong Jantik,Kranarong Jantik,,,,male,1943-09-18,,,,,,,,,,,,,,,,lawyer,,ກລ້ານະຣົງ ຈັນທິກ,ກລ້ານະຣົງ ຈັນທິກ,Кранаронг Джантик,,,,,,,Kranarong Jantik
Q13012743,กอบกาญจน์ วัฒนวรางกูร,กอบกาญจน์ วัฒนวรางกูร,กอบกาญจน์ วัฒนวรางกูร,กอบกาญจน์ วัฒนวรางกูร,,,,,,,female,1960,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13013040,กำธร พุ่มหิรัญ,กำธร พุ่มหิรัญ,กำธร พุ่มหิรัญ,กำธร พุ่มหิรัญ,,Kamthorn Phumhiran,Kamthorn Phumhiran,,,,male,1951,,,,,,,,Category:Kamthorn Phumhiran,https://upload.wikimedia.org/wikipedia/commons/e/e4/Kamthorn_Phumhiran.jpg,,,,,,,politician,,,,,,,,,,,Kamthorn Phumhiran
Q13013073,กิตติพงษ์ เกษโกวิท,กิตติพงษ์ เกษโกวิท,กิตติพงษ์ เกษโกวิท,กิตติพงษ์ เกษโกวิท,,Kittipong  Kedkowit,,,,,male,1950-12-02,,,,,,,,,,,,,,,,politician,,,,Киттипонг Кедковит,,,,,,,Kittipong  Kedkowit
Q13013650,คณิต สาพิทักษ์,คณิต สาพิทักษ์,คณิต สาพิทักษ์,คณิต สาพิทักษ์,,,,,,,,1952,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13014051,จักรทิพย์ ชัยจินดา,จักรทิพย์ ชัยจินดา,จักรทิพย์ ชัยจินดา,จักรทิพย์ ชัยจินดา,,Chakthip Chaijinda,Chakthip Chaijinda,,,Chakthip Chaijinda,male,1959-10-19,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/จักรทิพย์_ชัยจินดา.jpg,,,差提·猜津達,,差提·猜津达,,politician,差提·猜津達,,,,,,,,,,Chakthip Chaijinda
Q13014713,ณรงค์ชัย อัครเศรณี,ณรงค์ชัย อัครเศรณี,ณรงค์ชัย อัครเศรณี,ณรงค์ชัย อัครเศรณี,,,,,,,,1945,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13015820,ธวัชชัย สมุทรสาคร,ธวัชชัย สมุทรสาคร,ธวัชชัย สมุทรสาคร,ธวัชชัย สมุทรสาคร,,,,,,,,1952,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13016121,นิเวศน์ นันทจิต,นิเวศน์ นันทจิต,นิเวศน์ นันทจิต,นิเวศน์ นันทจิต,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13016271,บัญญัติ จันทน์เสนะ,บัญญัติ จันทน์เสนะ,บัญญัติ จันทน์เสนะ,บัญญัติ จันทน์เสนะ,,,,,,,male,1944,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13018086,พัชรวาท วงษ์สุวรรณ,พัชรวาท วงษ์สุวรรณ,พัชรวาท วงษ์สุวรรณ,พัชรวาท วงษ์สุวรรณ,Patcharawat Wongsuwan,Patcharawat Wongsuwan,Patcharawat Wongsuwan,,,,male,1949-03-22,,,,,,,,,,,,,,,,politician,,,,Патчарават Вонгсуван,,,,,,Патчарават Вонгсуван,Patcharawat Wongsuwan
Q13018232,พิรุณ แผ้วพลสง,พิรุณ แผ้วพลสง,พิรุณ แผ้วพลสง,พิรุณ แผ้วพลสง,,,,,,,,1951,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
Q13018466,ภาณุ อุทัยรัตน์,ภาณุ อุทัยรัตน์,ภาณุ อุทัยรัตน์,ภาณุ อุทัยรัตน์,,,,,,,male,1956,,,,,,,,,,,,,,,,politician,,,,,,,,,,,
