id,position,label,description,start_date,end_date,of
Q13016121,Q21290865,Member of the House of Representatives of Thailand,"",2014-07-31,,
Q13016271,Q19360223,Province Governor (Thailand),head of administration of provinces in Thailand,1995-10-01,2000-09-30,Songkhla
Q13020617,Q21290865,Member of the House of Representatives of Thailand,"",2014-07-31,2015-09-30,
Q24174887,Q21290865,Member of the House of Representatives of Thailand,"","",,
Q24174888,Q21290865,Member of the House of Representatives of Thailand,"","",,
Q24174891,Q21290865,Member of the House of Representatives of Thailand,"","",,
Q24174892,Q21290865,Member of the House of Representatives of Thailand,"","",,
Q24174894,Q21290865,Member of the House of Representatives of Thailand,"","",,
