statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1370998-1739ED65-D885-40D4-BF7B-4FD1200D3540,Q1370998,Snyder Rini,Q59081864,Marovo,Q327591,independent politician,"","",10
Q16751224-9B01C748-9B72-4B54-9BD5-723F9CDDEFEF,Q16751224,Connelly Sadakabatu,Q59081879,North West Choiseul,Q24228933,Democratic Alliance Party,"","",10
Q22005720-F5781E5D-6A99-4B8C-9B30-5850355392F9,Q22005720,Dr. Tautai Agikimu'a Kaitu'u,Q59081883,Rennell Bellona,Q59071739,United Democratic Party,"","",10
Q2791876-C1C91223-7739-420B-8F43-3B0A5ECCE1B0,Q2791876,Dickson Mua,Q59081886,Savo-Russells,Q327591,independent politician,"","",10
Q3314404-60593FA6-5FA5-475E-A880-E1B81A1603EB,Q3314404,Milner Tozaka,Q59081877,North Vella La Vella,Q7165458,People's Alliance Party,"","",10
Q379730-2FD2528A-A7C1-41BA-8EE4-2714249E55FF,Q379730,Derek Sikua,Q7055198,North East Guadalcanal,Q327591,independent politician,"","",10
Q42543823-D1D20B3E-E223-46C7-BFEE-73F9211EFDC9,Q42543823,Bartholomew Parapolo,Q59081867,Nggella,Q327591,independent politician,"","",10
Q42544918-0e6a127c-86bf-4b72-98bb-2f469d94a3e7,Q42544918,Andrew Manepora,Q23038161,East 'Are'are,Q59071443,Kadare Party of Solomon Islands,"","",10
Q42547286-2761cbad-ad98-4be3-8526-a4bc21d57bd6,Q42547286,Nestor Ghiro,Q23641138,Central Makira,Q59125329,Kadere Party of Solomon Islands,"","",10
Q42559064-b985718c-fdb8-4bf7-a3b9-522fd9b97845,Q42559064,Freda Soria Comua,Q59081903,Temotu Vatud,Q7165458,People's Alliance Party,"",2018-10-09,10
Q42651821-F65B0E07-CB88-4EAB-8C42-529CD3879445,Q42651821,John Maneniaru,Q59081906,West 'Are'are,Q327591,independent politician,"","",10
Q42652376-257A9717-F0A2-4299-93E1-52E0F57D86B9,Q42652376,John Dean Kuku,Q59081873,North New Georgia,Q59125329,Kadere Party of Solomon Islands,"","",10
Q466573-0D9E4B31-4538-4031-B6E1-7CF7120DF5E4,Q466573,Steve Abana,Q25063211,Fataleka,Q24228933,Democratic Alliance Party,"","",10
