uuid,female,male,other,skip,total
92dcc64d-c8a3-4254-8332-2e2b4a321e0f,0,10,0,0,10
947b322f-9a9f-4d84-8c4a-fa2d5d203318,7,0,0,0,7
957b6ecb-66a3-4d82-b4ee-5269ebcdf2c7,9,0,0,0,9
96eddab6-c0f4-45ad-89df-67e07591019f,0,4,1,5,10
97ae2c24-52ea-4fe0-a406-161e544f84b5,0,9,0,0,9
99709f0e-70c3-4bec-affd-cfdad26247f9,0,5,1,1,7
9b37b33b-d004-43a4-b1ba-99d3240c8626,0,5,0,1,6
a36a6b08-c845-4ec4-beda-c297adfa8316,0,0,0,2,2
a370b155-b8d6-4cd5-baa5-59990ccb6be9,0,4,1,2,7
a449d91b-18c2-4ab1-b444-e0b2e6ad7237,9,0,0,0,9
a65e8eb7-a144-4abe-bbd0-6078d71f5eae,6,1,0,0,7
ac5b8c15-982f-4b63-b373-18f9e57f434a,0,0,0,1,1
adf90463-99a7-41dd-b627-0075b60f8019,0,4,1,3,8
ae874180-15d1-42e2-b87c-bd20382e0444,4,0,1,2,7
af2e4d3a-4df7-49a7-9fe7-c272c7a5bf66,0,7,0,0,7
b02f7a71-47df-477b-ad88-adc882c91276,0,4,1,0,5
b06d884c-611f-4d27-8268-0745fb6e62e7,0,0,0,1,1
b23f54bd-659f-4044-b740-d03e7d432f86,0,5,0,0,5
b25e93ce-85bc-4f8b-befc-b5c3fe34dade,0,1,0,5,6
b6821ca7-9de9-4069-bfe9-104dab0bd017,4,0,1,0,5
b81c860f-222f-4a43-b62f-a039e747dfc4,0,4,1,1,6
b9004cb1-b7c2-4b07-8b71-c25bb218e25e,0,7,0,0,7
bfdab74b-2c63-49ce-9027-0e44a7fda4e3,0,4,1,1,6
bfdb013a-e4f6-4f52-bdf2-275c45dc6f7d,0,4,1,0,5
c1e79ec4-a683-41f6-a7b0-c7968bd18a51,0,7,0,0,7
c2d189c3-97ef-4a72-bdb0-27d4e8ad0592,3,0,1,4,8
c4b6f1a4-e66f-4422-9a64-6469fb0c80b3,0,4,0,2,6
c6d74f1a-5d23-47e5-aefe-5df82b93f746,4,0,1,2,7
c84baee0-f2e0-4d67-bf75-e85f6b3ead2b,0,9,0,0,9
c9a06c38-03e6-4051-8a81-277903f9252e,0,7,0,0,7
ca88c680-ef10-4300-8224-2b232c470abc,0,0,0,1,1
ca94ae2f-c269-4ba6-bff0-c426530e1cb6,0,5,0,0,5
ca97c2d7-b0c7-45ad-b54b-3067edf34a5d,0,7,0,0,7
cb329048-09a3-4de2-b476-bb93afec6c5c,9,1,0,0,10
ccf9d3fd-26d5-4c91-b3ef-12091b8d7545,0,3,0,3,6
cd355ee0-f47a-49cb-8921-4dc4bea3f36e,0,4,1,2,7
ce7c0c92-d291-44ff-94c3-e98252f2f31d,0,1,0,1,2
d0b3d5fe-bc64-4772-acfe-3dbd73b2cf44,0,4,1,5,10
d1dbf2a7-659d-4119-9657-584e0ef2d177,0,7,0,0,7
d3dbb9bf-cfdd-4a42-9ab3-a7315701bfa1,0,7,0,0,7
d46c2bc6-5ca7-416f-a8d5-50f1e12c11e3,0,4,1,2,7
d62bcbe2-50e4-43f3-a4d5-35f759b609c1,0,3,1,5,9
d9329257-43da-4d93-8140-565e5cc96be0,0,4,1,2,7
da86e882-7845-4c18-9e20-c8ef1d9fcf9c,0,4,1,0,5
