statement,id,name,start_date,end_date,wikidata
Q4635769-3e15d817-4acf-dc7a-2b11-79cd7096516b,36,36th New Zealand Parliament,1969-11-29,1972-11-25,Q4635769
Q4635906-2b864d47-475b-bfd3-18d6-0e817e320495,37,37th New Zealand Parliament,1972-11-25,1975-11-29,Q4635906
Q4636032-396d7fa6-405b-89ce-0b72-e99b5993a018,38,38th New Zealand Parliament,1975-11-29,1978-11-25,Q4636032
Q4636176-f2f2a10c-46c6-c44a-4d06-e4ec9f8c45c6,39,39th New Zealand Parliament,1978-11-25,1981-11-28,Q4636176
Q4637487-d9e9cfc7-4168-7233-4505-e8fce0e21d9f,40,40th New Zealand Parliament,1981-11-28,1984-07-14,Q4637487
Q4637677-02afd148-4d9f-9759-16c5-2b0677eaef67,41,41st New Zealand Parliament,1984-07-14,1987-08-15,Q4637677
Q4637809-a3178c9d-47f5-32e3-0daa-0cd4db2e1828,42,42nd New Zealand Parliament,1987-08-15,1990-10-27,Q4637809
Q4637956-62190c79-4b7d-76f5-20d4-74b99404e17c,43,43rd New Zealand Parliament,1990-10-27,1993-11-06,Q4637956
Q4638089-9aa996c7-4f4b-ad7b-70e2-86787aa7376f,44,44th New Zealand Parliament,1993-11-06,1996-10-12,Q4638089
Q4638247-307bf7be-48e9-728a-e103-49aa4baff12f,45,45th New Zealand Parliament,1996-10-12,1999-11-27,Q4638247
Q4638384-44e07e6a-4ee5-3977-94a4-6673b0c2f2d3,46,46th New Zealand Parliament,1999-11-27,2002-07-27,Q4638384
Q4638561-fdf70d05-4ef8-529f-a144-5e294945e200,47,47th New Zealand Parliament,2002-07-27,2005-08-11,Q4638561
Q4638695-239804e3-49a2-cfb6-215d-1703f3af676f,48,48th New Zealand Parliament,2005-11-07,2008-10-03,Q4638695
Q11812120-9CC74A69-10BE-4563-97BD-7E7332D2C62F,49,49th New Zealand Parliament,2008-12-08,2011-10-20,Q11812120
Q4120749-eedb2d5e-4e4a-5373-183f-d1ff979065aa,50,50th New Zealand Parliament,2011-12-20,2014-09-19,Q4120749
Q4640115-4d9bdf57-4407-36d4-5cef-8a8f462e1c62,51,51st New Zealand Parliament,2014-10-20,2017-08-18,Q4640115
Q30688562-13e1f8d5-463c-b8a9-e46c-7d269e771a1a,52,52nd New Zealand Parliament,2017-10-12,"",Q30688562
