id,name,constituency,party,party_id,gender,district,tel,term,source
289,Hon. A.M. Adams,Mangochi Nkungulu,United Democratic Front,UDF,F,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=289&mode=alps
290,Hon. L.C.C. Banda,Balaka North,United Democratic Front,UDF,M,Balaka,"",2014,http://www.parliament.gov.mw/mp.php?indexc=290&mode=alps
291,Hon. C.R.W. Banda,Dowa East,Malawi Congress Party,MCP,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=291&mode=alps
385,Hon. B.A.K. Banda,Mchinji West,Malawi Congress Party,MCP,M,Mchinji,"",2014,http://www.parliament.gov.mw/mp.php?indexc=385&mode=alps
387,Hon. D.G. Banda,Mchinji South West,Malawi Congress Party,MCP,M,Mchinji,"",2014,http://www.parliament.gov.mw/mp.php?indexc=387&mode=alps
384,Hon. L.K.W. Belekanyama,Lilongwe Msinja south,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=384&mode=alps
383,Hon. F.W. Billiat,Mangochi Lutende,Independent,Independent,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=383&mode=alps
386,Hon. D.Y. Bisnowaty,Lilongwe City Central,Independent,Independent,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=386&mode=alps
388,Hon. P.H. Bvalani,Zomba Likangala,Independent,Independent,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=388&mode=alps
379,Hon. P.L. Chakhwantha,Lilongwe South West,Independent,Independent,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=379&mode=alps
395,Hon. L.M. Dr. Chakwera,Lilongwe North West,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=395&mode=alps
454,Hon. E.W.J. Dr. Chakwera,Dowa Ngala,Independent,Independent,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=454&mode=alps
474,Hon. P.P.S. Chalera,Lilongwe Msinja North,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=474&mode=alps
293,Hon. B.A. Chambo,Mangochi North,Independent,Independent,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=293&mode=alps
450,Hon. M.L. Chanjo,Nkhotakota North East,Independent,Independent,F,Nkhotakota,"",2014,http://www.parliament.gov.mw/mp.php?indexc=450&mode=alps
456,Hon. G.T. Dr. Chaponda,Mulanje South West,Democratic Progressive Party,DPP,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=456&mode=alps
467,Hon. W.J. Chawawa,Zomba Chingale,Peoples Party,PP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=467&mode=alps
455,Hon. C.E.B. Chazama,Blantyre North East,Democratic Progressive Party,DPP,F,Blantyre,"",2014,http://www.parliament.gov.mw/mp.php?indexc=455&mode=alps
448,Hon. P. Chibingu,Mwanza West,Democratic Progressive Party,DPP,M,Mwanza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=448&mode=alps
446,Hon. D.A. Chida,Mulanje Limbuli,Independent,Independent,M,Mulanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=446&mode=alps
294,Hon. J Chidanti Malunga,Nsanje South West,Independent,Independent,M,Nsanje,"",2014,http://www.parliament.gov.mw/mp.php?indexc=294&mode=alps
376,Hon. E.C.K. Chihana,Rumphi Central,Alliance for Democracy,AFORD,M,Rumphi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=376&mode=alps
476,Hon. J.A. Chikalimba,Zomba Changalume,Peoples Party,PP,M,Zomba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=476&mode=alps
393,Hon. W. Chilenga,Chitipa South,Peoples Party,PP,M,Chitipa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=393&mode=alps
469,Hon. E.M. Chilenje-Nkhoma,Nsanje North,Independent,Independent,F,Nsanje,+265999098833,2014,http://www.parliament.gov.mw/mp.php?indexc=469&mode=alps
472,Hon. P.Z. Chilondola,Dedza North,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=472&mode=alps
475,Hon. O.M.K. Chiluba,Mzimba North East,Independent,Independent,F,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=475&mode=alps
445,Hon. D. Chimalira,Ntcheu South,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=445&mode=alps
479,Hon. O. Chimangeni,Ntchisi North East,Peoples Party,PP,F,Ntchisi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=479&mode=alps
470,Hon. V.M. Chimbalu,Kasungu South,Malawi Congress Party,MCP,M,Kasungu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=470&mode=alps
453,Hon. N.C. Chimpeni,Nkhata Bay South East,Peoples Party,PP,M,Nkhata Bay,"",2014,http://www.parliament.gov.mw/mp.php?indexc=453&mode=alps
449,Hon. E.H. Chimulirenji,Ntcheu North East,Democratic Progressive Party,DPP,M,Ntcheu,"",2014,http://www.parliament.gov.mw/mp.php?indexc=449&mode=alps
468,Hon. E.P. Ching'oma,Lilongwe East,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=468&mode=alps
481,Hon. M.E.B. Ching'onga,Lilongwe Kumachenga,Independent,Independent,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=481&mode=alps
295,Hon. H.P.P. Chinkhondo,Dedza West,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=295&mode=alps
451,Hon. E.A. Chinthu-Phiri,Nkhata Bay South,Independent,Independent,F,Nkhata Bay,"",2014,http://www.parliament.gov.mw/mp.php?indexc=451&mode=alps
394,Hon. H.N. Chipeni,Dowa South East,Malawi Congress Party,MCP,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=394&mode=alps
374,Hon. R.M. Chiphiko,Lilongwe City South-West,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=374&mode=alps
452,Hon. H.L. Chipuwa,Lilongwe Mapuyu North,Malawi Congress Party,MCP,M,Lilongwe,"",2014,http://www.parliament.gov.mw/mp.php?indexc=452&mode=alps
296,Hon. E.K. Chitatanga,Dowa North,Malawi Congress Party,MCP,M,Dowa,"",2014,http://www.parliament.gov.mw/mp.php?indexc=296&mode=alps
471,Hon. A.K. Chitete,Mchinji North East,Malawi Congress Party,MCP,M,Mchinji,"",2014,http://www.parliament.gov.mw/mp.php?indexc=471&mode=alps
371,Hon. E.M. Chiume,Nkhata Bay North,Peoples Party,PP,M,Nkhata Bay,"",2014,http://www.parliament.gov.mw/mp.php?indexc=371&mode=alps
368,Hon. G.O. Chiumia,Nkhata Bay West,Democratic Progressive Party,DPP,F,Nkhata Bay,"",2014,http://www.parliament.gov.mw/mp.php?indexc=368&mode=alps
297,Hon. C.T. Dr. Chiwaya,Mangochi Central,United Democratic Front,UDF,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=297&mode=alps
473,Hon. D.H.S. Chiwere,Dedza Central,Malawi Congress Party,MCP,M,Dedza,"",2014,http://www.parliament.gov.mw/mp.php?indexc=473&mode=alps
292,Hon. G.M Chiwondo,Mangochi West,Independent,Independent,M,Mangochi,"",2014,http://www.parliament.gov.mw/mp.php?indexc=292&mode=alps
447,Hon. A.J. Dr. Chiyembekeza,Thyolo South West,Democratic Progressive Party,DPP,M,Thyolo,"",2014,http://www.parliament.gov.mw/mp.php?indexc=447&mode=alps
480,Hon. M. Chunga,Mzimba South,Peoples Party,PP,M,Mzimba,"",2014,http://www.parliament.gov.mw/mp.php?indexc=480&mode=alps
