id,name,honorific_prefix,image,constituency,party,source,term
aaron-davies-chester-katsonga,Aaron Davies Chester Katsonga,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mwanza Central,CCP,https://www.parliament.gov.mw/views/mp-list.php,2014
aaron-sangala,Aaron Sangala,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Blantyre Malabada,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
aboo-mcnice-naliwa,Aboo McNice Naliwa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Zomba Msondole,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
abubakar-m'baya,Abubakar M'baya,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mangochi East,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
adbul-rashid-gaffar,Adbul Rashid Gaffar,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Blantyre Kabula,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
aggrey-charles-masi,Aggrey Charles Masi,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Lilongwe City West,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
agness-makonda-nyalonje,Agness Makonda Nyalonje,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mzimba North,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
aisha-mambo-adams,Aisha Mambo Adams,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mangochi Nkungulu,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
akajuwe-roy-kachale-banda,Akajuwe Roy Kachale Banda,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Zomba Malosa,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
alekeni-wodala-menyani,Alekeni Wodala Menyani,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dedza North West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
alex-kafa-pompopompo-chitete,Alex Kafa Pompopompo Chitete,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mchinji North East,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
alex-major,Alex Major,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Kasungu West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
alexander-kusamba-dzonzi,Alexander Kusamba Dzonzi,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dowa West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
alice-deliwe-banda-ngoma,Alice Deliwe Banda Ngoma,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mzimba Luwerezi,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
allan-chiyembekeza,Allan Chiyembekeza,Dr.,https://www.parliament.gov.mw/images/mps/default-mp.png,Thyolo South West,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
allan-ngumuya,Allan Ngumuya,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Blantyre City South,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
amon-signal-nkhata,Amon Signal Nkhata,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Kasungu Central,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
amos-mailosi,Amos Mailosi,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Phalombe East,independent,https://www.parliament.gov.mw/views/mp-list.php,2014
angie-dishon-kaliati,Angie Dishon Kaliati,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mulanje Pasani,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
anna-namathanga-kachikho,Anna Namathanga Kachikho,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Phalombe North,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
assan-lipande,Assan Lipande,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Ntcheu North,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
atupele-muluzi,Atupele Muluzi,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Machinga North East,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
baudeni-mphatso-mtonga,Baudeni Mphatso Mtonga,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Kasungu North West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
beatrice-roseby-mwale,Beatrice Roseby Mwale,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Kasungu North,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
benedicto-adwell-chambo,Benedicto Adwell Chambo,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mangochi North,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
bon-elias-kalindo,Bon Elias Kalindo,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mulanje South,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
bonex-malunga,Bonex Malunga,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dedza Central East,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
boniface-kadzamira,Boniface Kadzamira,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Ntchisi North,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
canaan-h-yona-kaphamtengo,Canaan H. Yona Kaphamtengo,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Salima North,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
cecilia-emily-chazama,Cecilia Emily Chazama,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Blantyre North East,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
charles-joseph-tikhiwa,Charles Joseph Tikhiwa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Zomba Thondwe,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
charles-thomson-mchacha,Charles Thomson Mchacha,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Thyolo West,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
chizamsoka-oliver-mulwafu,Chizamsoka Oliver Mulwafu,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Chitipa East,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
chrissy-tembo,Chrissy Tembo,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Lilongwe City North,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
christopher-mnyenyembe,Christopher Mnyenyembe,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mzimba East,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
christopher-s-mzomera-ngwira,Christopher S. Mzomera Ngwira,Rev.,https://www.parliament.gov.mw/images/mps/default-mp.png,Mzimba Hora,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
clarke-lobin-lowe,Clarke Lobin Lowe,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Lilongwe Central,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
clement-fukumele-mukumbwa,Clement Fukumele Mukumbwa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Chitipa Central,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
clement-mlombwa,Clement Mlombwa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dedza South West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
clement-terence-chiwaya,Clement Terence Chiwaya,Dr.,https://www.parliament.gov.mw/images/mps/default-mp.png,Mangochi Central,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
collings-kajawa,Collings Kajawa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Lilongwe Mpenu Nkhoma,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
commodius-nyirenda,Commodius Nyirenda,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Nkhata Bay North West,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
damson-chimalira,Damson Chimalira,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Ntcheu South,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
daniel-hamilton-chiwere,Daniel Hamilton Chiwere,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dedza Central,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
daudi-abiyani-chida,Daudi Abiyani Chida,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mulanje Limbuli,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
david-bisnowaty,David Bisnowaty,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Lilongwe City Centre,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
david-lally,David Lally,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Machinga Likwenu,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
davies-s-dalirani-kadzinja,Davies S. Dalirani Kadzinja,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Blantyre Bangwe,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
dennis-b-namachekecha,Dennis B. Namachekecha,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Phalombe North East,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
deus-gumba-banda,Deus Gumba Banda,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mchinji South West,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
divelias-sintilawo-zaipa,Divelias Sintilawo Zaipa,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Mchinji South,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
edmans-johns-kaduya,Edmans Johns Kaduya,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Thyolo North,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
elias-chakwera,Elias Chakwera,Dr.,https://www.parliament.gov.mw/images/mps/default-mp.png,Dowa Ngala,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
elias-wakuda-kamanga,Elias Wakuda Kamanga,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Kasungu North East,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
emily-chinthu-phiri,Emily Chinthu Phiri,"",https://www.parliament.gov.mw/images/mps/default-mp.png,NkhataBay South,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
emmanuel-fabiano,Emmanuel Fabiano,Dr.,https://www.parliament.gov.mw/images/mps/default-mp.png,Chiradzulu West,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
emmanuel-hilario-lozo,Emmanuel Hilario Lozo,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Neno North,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
enock-chakufwa-chihana,Enock Chakufwa Chihana,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Rumphi Central,AFORD,https://www.parliament.gov.mw/views/mp-list.php,2014
enock-elias-luka,Enock Elias Luka,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Zomba Lisanjala,DPP,https://www.parliament.gov.mw/views/mp-list.php,2014
enoss-chitatanga,Enoss Chitatanga,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Dowa North,MCP,https://www.parliament.gov.mw/views/mp-list.php,2014
ephraim-mganda-chiume,Ephraim Mganda Chiume,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Nkhata Bay North,PP,https://www.parliament.gov.mw/views/mp-list.php,2014
ernest-yahaya,Ernest Yahaya,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Machinga Central East,UDF,https://www.parliament.gov.mw/views/mp-list.php,2014
esther-jolobala,Esther Jolobala,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Machinga East,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
esther-mcheka-chilenje,Esther Mcheka-Chilenje,"",https://www.parliament.gov.mw/images/mps/default-mp.png,Nsanje North,Independent,https://www.parliament.gov.mw/views/mp-list.php,2014
