id,name,type,party,area_id,area,gender,image,term,source
184,BOUGUETOUTA MOKHTAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9530.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/184-bouguetouta-mokhtar
185,BOUHAMA FAIZA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:18,Jijel,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/109.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/185-bouhama-faiza
186,BOUHDJAR NEE ARAB KARIMA,National,MOUVEMENT POPULAIRE ALGERIEN,ocd-division/country:dz/wilayah:29,Mascara,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/110.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/186-bouhdjar-nee-arab-karima
187,BOUILFAN OMAR,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:19,Setif,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/166.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/187-bouilfan-omar
188,BOUKELAL YAHIA,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:6,Bejaia,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/159.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/188-boukelal-yahia
189,BOUKERCHE LA HOUARI,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:31,Oran,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/157.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/189-boukerche-la-houari
190,BOUKERROUCHA ABDELKADER,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:29,Mascara,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/158.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/190-boukerroucha-abdelkader
191,BOUKHALKHAL MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:22,Sidi Bel Abbes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/115.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/191-boukhalkhal-mohamed
192,BOUKHARI AHMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:47,Ghardaïa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/111.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/192-boukhari-ahmed
193,BOUKHOBZA EL BEY,National,PARTI EL FEDJR EL JADID,ocd-division/country:dz/wilayah:32,El Baydh,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/112.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/193-boukhobza-el-bey
194,BOUKHORS MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/113.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/194-boukhors-mohamed
195,BOUKHRIS YASMINA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:41,Souk Ahrass,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/114.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/195-boukhris-yasmina
196,BOULACHEB NORA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:21,Skikda,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/160.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/196-boulacheb-nora
197,BOULGANE BRAHIM,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:19,Setif,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/161.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/197-boulgane-brahim
198,BOULMAIZ KAMEL,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:43,Mila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/162.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/198-boulmaiz-kamel
199,BOUNADJA KHEIRA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:44,Aïn Defla,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/164.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/199-bounadja-kheira
200,BOUNAR NEE BOUCHEKHOU FATMA ZOHRA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:18,Jijel,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/163.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/200-bounar-nee-bouchekhou-fatma-zohra
201,BOUNEFLA HACENE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:24,Guelma,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/165.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/201-bounefla-hacene
202,BOURAHLA LYAZID,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:6,Bejaia,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/124.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/202-bourahla-lyazid
203,BOURAS DJAMEL,International,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/zone:1,PARIS,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/122.jpg,7,http://www.apn.dz/fr/les-membres/deputes-international/203-bouras-djamel
204,BOURBAI HOCINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:23,Annaba,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/123.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/204-bourbat-hocine
205,BOUREZAK SALAH EDDINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/126.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/205-bourezak-salah-eddine
206,BOUREZAK NEE ATROUS FATMA ZOHRA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:38,Tissemsilt,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/125.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/206-bourezak-nee-atrous-fatma-zohra
207,BOURIAH KHALED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/130.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/207-bouriah-khaled
208,BOUROUAG ABDELHAMID,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:43,Mila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/127.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/208-bourouag-abdelhamid
209,BOUROUIS NEE OTMANI FATIMA ZOHRA NACIRA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:20,Saida,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/129.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/209-bourouis-nee-otmani-fatima-zohra-nacira
210,BOUROUROU MESSAOUD,National,FRONT POUR LA JUSTICE ET LE DEVELOPPEMENT (ADDALA),ocd-division/country:dz/wilayah:21,Skikda,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/128.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/210-bourourou-messaoud
211,BOUSBAA ABDERRAHMANE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:25,Constantine,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/144.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/211-bousbaa-abderrahmane
212,BOUSMAHA BOUALEM,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:32,El Baydh,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/137.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/212-bousmaha-boualem
214,BOUSSAHA ABLA,National,PARTI EL KARAMA,ocd-division/country:dz/wilayah:41,Souk Ahrass,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/134.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/214-boussaha-abla
215,BOUSSAHA NEE MAHTALI SAMIRA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:19,Setif,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/133.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/215-boussaha-nee-mahtali-samira
217,BOUSSELBA SALAH,National,MOUVEMENT NATIONAL D'ESPERANCE,ocd-division/country:dz/wilayah:24,Guelma,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/136.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/217-bousselba-salah
218,BOUTALEB AZEDDINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:14,Tiaret,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/145.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/218-boutaleb-azeddine
219,BOUZAD HACENE,National,INDEPENDANTS,ocd-division/country:dz/wilayah:35,Boumerdes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/131.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/219-bouzad-hacene
22,ABAS ABDELHAMID,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:34,Bordj Bou Arreridj,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/477.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/22-abas-abdelhamid
220,BOUZIDI LOUBNA,National,PARTI ENNOUR EL DJAZAIRI,ocd-division/country:dz/wilayah:40,Khenchla,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/132.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/220-bouzidi-loubna
221,BRAHIM BOUNAB NEE HARITI SAIDA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/2.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/221-brahim-bounab-nee-hariti-saida
222,BRAHMIA MOHAMED CHERIF,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:23,Annaba,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/35.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/222-brahmia-mohamed-cherif
223,BRIGHEN AHMED CHERIF,National,UNION DES FORCES DEMOCRATIQUES ET SOCIALES,ocd-division/country:dz/wilayah:18,Jijel,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/40.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/223-brighen-ahmed-cherif
224,D'BICHI ADBELHADI,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/224.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/224-d-bichi-adbelhadi
225,DADDI-HAMMOU BAELHADJ,National,INDEPENDANTS,ocd-division/country:dz/wilayah:47,Ghardaïa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/222.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/225-daddi-hammou-baelhadj
226,DAHIMI SALEM,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:11,Tamanrasset,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/227.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/226-dahimi-salem
227,DAHMANE EL HADJ,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:44,Aïn Defla,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/225.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/227-dahmane-el-hadj
228,DAHMANI MOHAMMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:2,Chlef,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/226.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/228-dahmani-mohammed
229,DAOUD TAYEB,National,INDEPENDANTS,ocd-division/country:dz/wilayah:46,Aïn Temouchent,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/223.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/229-daoud-tayeb
23,ABAZI MOHAMED KAMEL,National,PARTI NAT. POUR LA SOLIDARITE ET LE DEVELOPPEMENT,ocd-division/country:dz/wilayah:30,Ouargla,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/314.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/23-abazi-mohamed-kame
230,DAOUI MOHAMED,National,PARTI EL KARAMA,ocd-division/country:dz/wilayah:30,Ouargla,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/14.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/230-daoui-mohamed
231,DEKHILI SALAH EDDINE,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:19,Setif,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/228.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/231-dekhili-salah-eddine
232,DERGUINI AREZKI,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:6,Bejaia,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/232.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/232-derguini-arezki
233,DERKOUCHE BELKHEIR,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:17,Djelfa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/233.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/233-derkouche-belkheir
234,DEROUA NEE BELLAHOUEL AMEL,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:31,Oran,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/230.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/234-deroua-nee-bellahouel-amel
235,DERRAHI NEE LEKIKOT MERIEM,National,FRONT POUR LA JUSTICE ET LE DEVELOPPEMENT (ADDALA),ocd-division/country:dz/wilayah:25,Constantine,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/229.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/235-derrahi-nee-lekikot-meriem
236,DERRAR NEE BOUKHARI KHEIRA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:27,Mostaganem,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/239.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/236-derrar-nee-boukhari-kheira
237,DIDAOUI BENABDELLAH,National,PARTI EL FEDJR EL JADID,ocd-division/country:dz/wilayah:20,Saida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/235.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/237-didaoui-benabdellah
238,DIDOUCHE HAMOU,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:15,Tizi ouzou,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/236.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/238-didouche-hamou
239,DILMI ABDELATIF,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:28,M'sila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/238.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/239-dilmi-abdelatif
24,ABDELAZIZ MANSOUR,National,FRONT DU CHANGEMENT,ocd-division/country:dz/wilayah:35,Boumerdes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/318.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/24-abdelaziz-mansour
240,DISSA M'HAMMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:34,Bordj Bou Arreridj,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/237.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/240-dissa-m-hammed
241,DJADI MENOUAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:35,Boumerdes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/177.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/241-djadi-menouar
242,DJANATI ABDELKRIM,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:35,Boumerdes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/181.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/242-djanati-abdelkrim
243,DJEBANE MUSTAPHA,National,MOUVEMENT POPULAIRE ALGERIEN,ocd-division/country:dz/wilayah:38,Tissemsilt,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/175.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/243-djebane-mustapha
244,DJEGHOULA SAIDA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:19,Setif,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/178.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/244-djeghoula-saida
245,DJELLOUT AHMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/179.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/245-djellout-ahmed
246,DJEMIAI MOHAMMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:12,Tebessa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/180.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/246-djemiai-mohammed
247,DJENANE BAYA,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:6,Bejaia,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/182.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/247-djenane-baya
248,DJILANI AMMAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:5,Batna,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/185.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/248-djilani-ammar
249,DJOUDI DJELLOUL,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/183.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/249-djoudi-djelloul
25,ABDELLAOUI ABDELKADER,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:22,Sidi Bel Abbes,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/319.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/25-abdellaoui-abdelkader
250,DJOUHRI BACHIR CHAKIB,International,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/zone:3,TUNIS,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/184.jpg,7,http://www.apn.dz/fr/les-membres/deputes-international/250-djouhri-bachir-chakib
251,DRISS ABDERAHMANE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:6,Bejaia,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/234.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/251-driss-abderahmane
252,GACEM TAHAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:17,Djelfa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/364.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/252-gacem-tahar
253,GHARSALLAH NEE KHERBOUCHE NORA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:28,M'sila,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/353.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/253-gharsallah-nee-kherbouche-nora
254,GHENOU GHALEM,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:31,Oran,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/354.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/254-ghenou-ghalem
255,EDDALIA GHANIA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/13.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/255-eddalia-ghania
256,EL HAMEL ALI,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:1,Adrar,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/22.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/256-el-hamel-ali
257,EL KACIMI EL HASSANI MOHAMED EL MAHDI,National,PARTI EL FEDJR EL JADID,ocd-division/country:dz/wilayah:28,M'sila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/20.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/257-el-kacimi-el-hassani-mohamed-el-mahdi
258,EL KHERRAZ MOHAMED,National,INDEPENDANTS,ocd-division/country:dz/wilayah:1,Adrar,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/12.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/258-el-kherraz-mohamed
259,ELHEDDI SMAIN,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:17,Djelfa,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/11.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/259-elheddi-smain
26,ABDELLI ZOUBIR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/321.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/26-abdelli-zoubir
260,ESSED NOUREDDINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:28,M'sila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/16.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/260-essed-noureddine
261,FATMI SABIRA,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:34,Bordj Bou Arreridj,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/361.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/261-fatmi-sabira
262,FECHKEUR BRAHIM BENAMMAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:3,Laghouat,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/360.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/262-fechkeur-brahim-benammar
263,FERCHICHE NEE SEGUENI NAIMA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:34,Bordj Bou Arreridj,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/358.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/263-ferchiche-nee-segueni-naima
264,FERDI MILOUD,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:42,Tipaza,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/357.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/264-ferdi-miloud
