id,name,type,party,area_id,area,gender,image,term,source
117,BENAMIROUCHE BELKACEM,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:42,Tipaza,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/87.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/117-benamirouche-belkacem
118,BENATIA KADA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:31,Oran,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/86.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/118-benatia-kada
119,BENAYAD DJAMILA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:26,Medea,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/88.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/119-benayad-djamila
120,BENAYECHE MOUSSA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:18,Jijel,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/89.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/120-benayeche-moussa
121,BENAZI NEE BOUDIAF FARIDA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:28,M'sila,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/85.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/121-benazi-nee-boudiaf-farida
122,BENBESSA RAHIMA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/68.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/122-benbessa-rahima
123,BENCHEIKH ALI,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:24,Guelma,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/64.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/123-bencheikh-ali
124,BENDAHMANE HAMIDI,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:27,Mostaganem,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/78.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/124-bendahmane-hamidi
125,BENDJEDDOU NADIA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:23,Annaba,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/72.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/125-bendjeddou-nadia
126,BENDJEDOU NASSIMA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:25,Constantine,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/73.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/126-bendjedou-nassima
