name,wikiname,area,term
丁世忠,丁世忠,福建省,12
丁仲礼,丁仲礼,西藏自治区,12
丁列明,丁列明,浙江省,12
丁宏锁,丁宏锁,安徽省,12
丁小强,丁小强,湖北省,12
丁来杭,丁来杭,中国人民解放军,12
丁海春,丁海春,中国人民解放军,12
丁焰章,丁焰章,湖北省,12
丁玉华,丁玉华,山东省,12
丁继业,丁继业,中国人民解放军,12
丁荣余,丁荣余,江苏省,12
丁雪峰,丁雪峰,山西省,12
万勇,万勇,湖北省,12
万卫星,万卫星,湖北省,12
万建民,万建民,江苏省,12
万文雅,万文雅,天津市,12
万玲玲,万玲玲,吉林省,12
万连步,万连步,山东省,12
万鄂湘,万鄂湘,湖北省,12
万隆,万隆,河南省,12
上官吉庆,上官吉庆,陕西省,12
丘志勇,丘志勇,广东省,12
丘杏红,丘杏红,广东省,12
丛强滋,丛强滋,山东省,12
丛斌,丛斌,河北省,12
严以新,严以新,福建省,12
严纯华,严纯华,江西省,12
严诚忠,严诚忠,上海市,12
严隽琪,严隽琪,江苏省,12
丽娜,丽娜,新疆维吾尔自治区,12
乃依木·亚森,乃依木·亚森,新疆维吾尔自治区,12
么志义,么志义,河北省,12
乌日图,乌日图,内蒙古自治区,12
乔彬,乔彬,河南省,12
乔新江,乔新江,河南省,12
乔晓阳,乔晓阳,江苏省,12
乔秋生,乔秋生,河南省,12
习近平,习近平,上海市,12
买世蕊,买世蕊,河南省,12
买买提依布热依木·买买提明,买买提依布热依木·买买提明,新疆维吾尔自治区,12
买买提明·牙生,买买提明·牙生,新疆维吾尔自治区,12
于一苏,于一苏,安徽省,12
于世平,于世平,天津市,12
于中赤,于中赤,吉林省,12
于伟,于伟,四川省,12
于勇,于勇,安徽省,12
于国安,于国安,山东省,12
于学军,于学军,江苏省,12
于来山,于来山,湖南省,12
于洪,于洪,辽宁省,12
于贵良,于贵良,河北省,12
于金明,于金明,山东省,12
于铁民,于铁民,江苏省,12
于革胜,于革胜,湖北省,12
于魁智,于魁智,辽宁省,12
云丹,云丹,西藏自治区,12
云峰,云峰 (蒙古族),内蒙古自治区,12
仇冰玉,仇冰玉,山东省,12
仇和,仇和,云南省,12
他盛华,他盛华,云南省,12
付华廷,付华廷,黑龙江省,12
付双建,付双建,河北省,12
付贤智,付贤智,福建省,12
令狐安,令狐安,山西省,12
仰协,仰协,四川省,12
任万德,任万德,中国人民解放军,12
任克军,任克军,吉林省,12
任剑铮,任剑铮,云南省,12
任建新,任建新,青海省,12
任武贤,任武贤,山西省,12
任永昌,任永昌,四川省,12
任沁新,任沁新,河南省,12
任海深,任海深,安徽省,12
任秀荣,任秀荣,河南省,12
任茂东,任茂东,青海省,12
伊永春,伊永春,内蒙古自治区,12
伍冬兰,伍冬兰,湖南省,12
伍锦棠,伍锦棠,广东省,12
何东平,何东平,广东省,12
何丽霞,何丽霞,甘肃省,12
何俊明,何俊明,四川省,12
何健,何健,四川省,12
何健忠,何健忠,江苏省,12
何刚,何刚,贵州省,12
何华,何华,云南省,12
何华章,何华章,四川省,12
何学彬,何学彬,四川省,12
何宁卡,何宁卡,广东省,12
何寄华,何寄华,湖南省,12
何峰,何峰,青海省,12
何平,何平,重庆市,12
何建洋,何建洋,江西省,12
何彬生,何彬生,湖南省,12
何志敏,何志敏,天津市,12
何慧星,何慧星,新疆维吾尔自治区,12
何文波,何文波,上海市,12
何映华,何映华,中国人民解放军,12
何晔晖,何晔晖,广东省,12
何权,何权,江苏省,12
何桂芳,何桂芳,广东省,12
何炳钦,何炳钦,江西省,12
何胜宝,何胜宝,内蒙古自治区,12
何著胜,何著胜,辽宁省,12
何谦,何谦,重庆市,12
何辛幸,何辛幸,广西壮族自治区,12
何达平,何達平,江苏省,12
何金平,何金平,云南省,12
何雪卿,何雪卿,澳门特别行政区,12
佘鲁林,佘鲁林,湖北省,12
余仁春,余仁春,广西壮族自治区,12
余卫平,余卫平,河北省,12
余夕志,余夕志,广东省,12
余天亮,余天亮,广东省,12
余子权,余子权,广东省,12
余学友,余学友,河南省,12
余开源,余开源,四川省,12
余敏,余敏,重庆市,12
余林,余林,安徽省,12
余枫,余枫,江西省,12
余梅,余梅,江西省,12
余永华,余永华,海南省,12
余瑞玉,余瑞玉,江苏省,12
余秀芝,余秀芝,云南省,12
余麻约,余麻约,云南省,12
佟志武,佟志武,辽宁省,12
佟毅,佟毅,吉林省,12
侯一平,侯一平,四川省,12
侯义斌,侯义斌,四川省,12
侯亮,侯亮,河北省,12
侯凤岐,侯凤岐,内蒙古自治区,12
侯华梅,侯华梅,河北省,12
侯建国,侯建国,安徽省,12
侯晓春,侯晓春,四川省,12
侯淅珉,侯淅珉,安徽省,12
侯玉雯,侯玉雯,江西省,12
侯继振,侯继振,中国人民解放军,12
侯蓉,侯蓉,四川省,12
俞学文,俞学文,浙江省,12
俞正声,俞正声,湖北省,12
信春鹰,信春鹰,河北省,12
修福金,修福金,吉林省,12
倪强,倪强,海南省,12
倪惠英,倪惠英,广东省,12
倪月红,倪月红,云南省,12
倪永培,倪永培,安徽省,12
倪涛,倪涛,江苏省,12
倪百祥,倪百祥,江西省,12
倪英达,倪英达,福建省,12
傅企平,傅企平,浙江省,12
傅勇林,傅勇林,四川省,12
傅振邦,傅振邦,湖北省,12
傅永春,傅永春,内蒙古自治区,12
傅琼华,傅琼华,江西省,12
傅莉娟,傅莉娟,湖南省,12
傅莹,傅莹,内蒙古自治区,12
储亚平,储亚平,河南省,12
兰念瑛,兰念瑛,江西省,12
关彦斌,关彦斌,黑龙江省,12
关爱和,关爱和,河南省,12
