id,label,type
Q13858714,Minister of Housing and the Central Government Sector,cabinet
Q15726205,"Minister of Public Health, Welfare and Sport",cabinet
Q15729678,"Minister of Education, Culture and Science",cabinet
Q15729702,minister of the Interior and Kingdom Relations,cabinet
Q15731332,"Minister of Transport, Public Works and Water Management",cabinet
Q20007045,Minister of Foreign Affairs,cabinet
Q20677341,Minister of Finance of the Netherlands,cabinet
Q20740176,Minister of Defence,cabinet
Q20746056,Minister of Security and Justice,cabinet
Q2430481,Deputy Prime Minister of the Netherlands,cabinet
Q2444487,"Minister of Living, Districts and Integration",cabinet
Q2572883,Minister for Foreign Trade and Development Cooperation,cabinet
Q26197286,Minister of Infrastructure and Environment,cabinet
Q26197292,Minister of Economic Affairs and Climate Policy,cabinet
Q27517058,Minister of General Affairs,cabinet
Q27517113,Minister of Social Affairs,cabinet
Q3058109,Prime Minister of the Netherlands,cabinet
Q33083287,Minister of War,cabinet
Q34922594,Minister for Development Cooperation,cabinet
Q43787389,Minister of Foreign Trade and Development Cooperation,cabinet
Q43788464,Minister of Judicial Protection,cabinet
