id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q1026465,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q1173623,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q1307960,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16145569,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16148125,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16186459,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16193010,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16194624,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16196528,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16200545,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16203636,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16203647,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16751154,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q16875907,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q17308883,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q1740843,Q121998,ambassador,diplomatic envoy,"",,,,
Q1740843,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q1740843,Q2462330,Prime Minister of Uganda,Note - not Head of Government,2014-09-18,,,Amama Mbabazi,
Q19276819,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19364579,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q1949128,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19609598,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19609616,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19666374,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19667631,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19667761,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19668441,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19892030,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q19893521,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q20684666,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24565103,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24565843,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572619,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572633,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572652,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572655,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572657,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572683,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572701,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572733,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572740,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572753,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572755,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572839,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572841,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24572842,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24851611,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24851613,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24851618,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24851651,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q24896277,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q25755641,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q27688647,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q27973946,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29618018,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29898231,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29913996,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29917557,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29947195,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q29963755,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30070354,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30091390,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30110261,Q21296005,Member of the Parliament of Uganda,"","",10th Parliament of Uganda,,,
Q30150061,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30302621,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30323559,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30323636,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30323658,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30323685,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30899710,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q30945317,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q3105642,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q3105642,Q3556899,Vice President of Uganda,"","",,,,
Q31153326,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q32538609,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q33978057,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q34345403,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q36490457,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q36824970,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q37122067,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q3784984,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q38587500,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q39073765,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q42122025,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q43375707,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4665198,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4665198,Q30277603,Member of the Pan-African Parliament,"","",,,,
Q4684139,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4693003,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4696656,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4717580,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4742276,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4742276,Q56241849,Minister of Trade and Industry,"",2011-05-27,,,,
Q4810985,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4811869,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4859206,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q4877118,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q49253,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5045178,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5075388,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5110904,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5186066,Q21296005,Member of the Parliament of Uganda,"","",,,,
Q5227877,Q21296005,Member of the Parliament of Uganda,"","",,,,
