id,name,identifier__historichansard,identifier__datadotparl,identifier__parlparse,constituency,constituency_id,party,party_id,start_date,start_reason,end_date,end_reason,term
10002,Gerry Adams,40,,uk.org.publicwhip/person/10002,Belfast West,uk.org.publicwhip/cons/38-NI,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1
10002,Gerry Adams,40,,uk.org.publicwhip/person/10002,Belfast West,uk.org.publicwhip/cons/38-NI,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2
10002,Gerry Adams,40,,uk.org.publicwhip/person/10002,Belfast West,uk.org.publicwhip/cons/38-NI,Sinn Féin,sinn-fein,2007-03-09,election,2010-12-07,resigned,3
10172,Jeffrey M. Donaldson,250,650,uk.org.publicwhip/person/10172,Lagan Valley,uk.org.publicwhip/cons/325-NI,UUP,uup,2003-11-26,general_election,2003-12-18,changed_party,2
10172,Jeffrey M. Donaldson,250,650,uk.org.publicwhip/person/10172,Lagan Valley,uk.org.publicwhip/cons/325-NI,Independent Unionist,independent-unionist,2003-12-18,changed_party,2004-01-15,changed_party,2
10172,Jeffrey M. Donaldson,250,650,uk.org.publicwhip/person/10172,Lagan Valley,uk.org.publicwhip/cons/325-NI,DUP,dup,2004-01-15,changed_party,2007-01-30,dissolution,2
10172,Jeffrey M. Donaldson,250,650,uk.org.publicwhip/person/10172,Lagan Valley,uk.org.publicwhip/cons/325-NI,DUP,dup,2007-03-09,election,2010-06-09,resigned,3
10300,John Hume,373,,uk.org.publicwhip/person/10300,Foyle,uk.org.publicwhip/cons/235-NI,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2000-12-01,resigned,1
10380,Robert McCartney,483,,uk.org.publicwhip/person/10380,North Down,uk.org.publicwhip/cons/406-NI,UKUP,ukup,1998-06-25,general_election,2003-04-28,general_election,1
10380,Robert McCartney,483,,uk.org.publicwhip/person/10380,North Down,uk.org.publicwhip/cons/406-NI,UKUP,ukup,2003-11-26,general_election,2007-01-30,dissolution,2
10385,Eddie McGrady,487,,uk.org.publicwhip/person/10385,South Down,uk.org.publicwhip/cons/519-NI,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1
10387,Martin McGuinness,488,,uk.org.publicwhip/person/10387,Mid Ulster,uk.org.publicwhip/cons/375-NI,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1
10387,Martin McGuinness,488,,uk.org.publicwhip/person/10387,Mid Ulster,uk.org.publicwhip/cons/375-NI,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2
