id,name,start_date,end_date,source
2012,2012–2016,2012,2016-04-26,https://en.wikipedia.org/wiki/Guernsey_general_election,_2012
2016,2016–,2016-04-27,,https://en.wikipedia.org/wiki/Guernsey_general_election,_2016
