name,sort_name,wikidata,party,party_wikidata,constituency,constituency_wikidata,wikiname,term
Aila Paloniemi,"Paloniemi, Aila",Q11850070,Keskusta,Q506591,Keski-Suomi,Q5061084,Aila Paloniemi,37
Aino-Kaisa Pekonen,"Pekonen, Aino-Kaisa",Q11850151,Vasemmistoliitto,Q385927,Häme,Q6304614,Aino-Kaisa Pekonen,37
Alexander Stubb,"Stubb, Alexander",Q503143,Kokoomus,Q304191,Uusimaa,Q3736054,Alexander Stubb,37
Anders Adlercreutz,"Adlercreutz, Anders",Q20251257,RKP,Q845537,Uusimaa,Q3736054,Anders Adlercreutz,37
Anna Kontula,"Kontula, Anna",Q4959500,Vasemmistoliitto,Q385927,Pirkanmaa,Q6304273,Anna Kontula,37
Anna-Maja Henriksson,"Henriksson, Anna-Maja",Q2850448,RKP,Q845537,Vaasa,Q6304597,Anna-Maja Henriksson,37
Anne Berner,"Berner, Anne",Q16980286,Keskusta,Q506591,Uusimaa,Q3736054,Anne Berner,37
Anne Kalmari,"Kalmari, Anne",Q7044113,Keskusta,Q506591,Keski-Suomi,Q5061084,Anne Kalmari,37
Anne Louhelainen,"Louhelainen, Anne",Q4768564,Siniset,Q30337076,Häme,Q6304614,Anne Louhelainen,37
Anne-Mari Virolainen,"Virolainen, Anne-Mari",Q4984722,Kokoomus,Q304191,Varsinais-Suomi,Q5450453,Anne-Mari Virolainen,37
Anneli Kiljunen,"Kiljunen, Anneli",Q4981024,Sosiaalidemokraatit,Q499029,Kaakkois-Suomi,Q18691231,Anneli Kiljunen,37
Annika Lapintie,"Lapintie, Annika",Q11851775,Vasemmistoliitto,Q385927,Varsinais-Suomi,Q5450453,Annika Lapintie,37
Annika Saarikko,"Saarikko, Annika",Q7045446,Keskusta,Q506591,Varsinais-Suomi,Q5450453,Annika Saarikko,37
Antero Laukkanen,"Laukkanen, Antero",Q20253954,Kristillisdemokraatit,Q1138982,Uusimaa,Q3736054,Antero Laukkanen,37
Antero Vartia,"Vartia, Antero",Q11851928,Vihreät,Q196695,Helsinki,Q3736245,Antero Vartia,37
Antti Häkkänen,"Häkkänen, Antti",Q16299227,Kokoomus,Q304191,Kaakkois-Suomi,Q18691231,Antti Häkkänen,37
Antti Kaikkonen,"Kaikkonen, Antti",Q11852109,Keskusta,Q506591,Uusimaa,Q3736054,Antti Kaikkonen,37
Antti Kurvinen,"Kurvinen, Antti",Q11852135,Keskusta,Q506591,Vaasa,Q6304597,Antti Kurvinen,37
Antti Lindtman,"Lindtman, Antti",Q11852155,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Antti Lindtman,37
Antti Rantakangas,"Rantakangas, Antti",Q11852223,Keskusta,Q506591,Oulu,Q7110478,Antti Rantakangas,37
Antti Rinne,"Rinne, Antti",Q11852228,Sosiaalidemokraatit,Q499029,Uusimaa,Q3736054,Antti Rinne,37
Anu Vehviläinen,"Vehviläinen, Anu",Q4349014,Keskusta,Q506591,Savo-Karjala,Q18691405,Anu Vehviläinen,37
Ari Jalonen,"Jalonen, Ari",Q11852471,Siniset,Q30337076,Satakunta,Q6304483,Ari Jalonen,37
Ari Torniainen,"Torniainen, Ari",Q11852524,Keskusta,Q506591,Kaakkois-Suomi,Q18691231,Ari Torniainen,37
Arja Juvonen,"Juvonen, Arja",Q11852563,Perussuomalaiset,Q634277,Uusimaa,Q3736054,Arja Juvonen,37
Arto Pirttilahti,"Pirttilahti, Arto",Q6050630,Keskusta,Q506591,Pirkanmaa,Q6304273,Arto Pirttilahti,37
Arto Satonen,"Satonen, Arto",Q11852844,Kokoomus,Q304191,Pirkanmaa,Q6304273,Arto Satonen,37
Ben Zyskowicz,"Zyskowicz, Ben",Q2977831,Kokoomus,Q304191,Helsinki,Q3736245,Ben Zyskowicz,37
Carl Haglund,"Haglund, Carl",Q1038599,RKP,Q845537,Uusimaa,Q3736054,Carl Haglund,37
Eerikki Viljanen,"Viljanen, Eerikki",Q20253375,Keskusta,Q506591,Uusimaa,Q3736054,Eerikki Viljanen,37
Eero Heinäluoma,"Heinäluoma, Eero",Q2360756,Sosiaalidemokraatit,Q499029,Helsinki,Q3736245,Eero Heinäluoma,37
Eero Lehti,"Lehti, Eero",Q5347129,Kokoomus,Q304191,Uusimaa,Q3736054,Eero Lehti,37
Eero Reijonen,"Reijonen, Eero",Q11856787,Keskusta,Q506591,Savo-Karjala,Q18691405,Eero Reijonen,37
Eero Suutari,"Suutari, Eero",Q11856811,Kokoomus,Q304191,Oulu,Q7110478,Eero Suutari,37
Eeva-Johanna Eloranta,"Eloranta, Eeva-Johanna",Q11856861,Sosiaalidemokraatit,Q499029,Varsinais-Suomi,Q5450453,Eeva-Johanna Eloranta,37
Eeva-Maria Maijala,"Maijala, Eeva-Maria",Q11856872,Keskusta,Q506591,Lappi,Q6488275,Eeva-Maria Maijala,37
Elina Lepomäki,"Lepomäki, Elina",Q17382244,Kokoomus,Q304191,Uusimaa,Q3736054,Elina Lepomäki,37
Elsi Katainen,"Katainen, Elsi",Q11857612,Keskusta,Q506591,Savo-Karjala,Q18691405,Elsi Katainen,37
Emma Kari,"Kari, Emma",Q16299674,Vihreät,Q196695,Helsinki,Q3736245,Emma Kari,37
Erkki Tuomioja,"Tuomioja, Erkki",Q58121,Sosiaalidemokraatit,Q499029,Helsinki,Q3736245,Erkki Tuomioja,37
Esko Kiviranta,"Kiviranta, Esko",Q7276180,Keskusta,Q506591,Varsinais-Suomi,Q5450453,Esko Kiviranta,37
Eva Biaudet,"Biaudet, Eva",Q293122,RKP,Q845537,Helsinki,Q3736245,Eva Biaudet,37
Hanna Halmeenpää,"Halmeenpää, Hanna",Q20251577,Vihreät,Q196695,Oulu,Q7110478,Hanna Halmeenpää,37
Hanna Kosonen,"Kosonen, Hanna",Q5648706,Keskusta,Q506591,Kaakkois-Suomi,Q18691231,Hanna Kosonen,37
Hanna Mäntylä,"Mäntylä, Hanna",Q11861334,Siniset,Q30337076,Lappi,Q6488275,Hanna Mäntylä,37
Hanna Sarkkinen,"Sarkkinen, Hanna",Q16990389,Vasemmistoliitto,Q385927,Oulu,Q7110478,Hanna Sarkkinen,37
Hannakaisa Heikkinen,"Heikkinen, Hannakaisa",Q5489994,Keskusta,Q506591,Savo-Karjala,Q18691405,Hannakaisa Heikkinen,37
Hannu Hoskonen,"Hoskonen, Hannu",Q11861387,Keskusta,Q506591,Savo-Karjala,Q18691405,Hannu Hoskonen,37
Harri Jaskari,"Jaskari, Harri",Q5880671,Kokoomus,Q304191,Pirkanmaa,Q6304273,Harri Jaskari,37
Harry Harkimo,"Harkimo, Harry",Q5413089,Liike Nyt,Q52157683,Uusimaa,Q3736054,Harry Harkimo,37
Harry Wallin,"Wallin, Harry",Q11861660,Sosiaalidemokraatit,Q499029,Vaasa,Q6304597,Harry Wallin,37
Heli Järvinen,"Järvinen, Heli",Q4357986,Vihreät,Q196695,Kaakkois-Suomi,Q18691231,Heli Järvinen,37
Ilkka Kanerva,"Kanerva, Ilkka",Q718650,Kokoomus,Q304191,Varsinais-Suomi,Q5450453,Ilkka Kanerva,37
Ilkka Kantola,"Kantola, Ilkka",Q5899369,Sosiaalidemokraatit,Q499029,Varsinais-Suomi,Q5450453,Ilkka Kantola,37
Ilmari Nurminen,"Nurminen, Ilmari",Q20252447,Sosiaalidemokraatit,Q499029,Pirkanmaa,Q6304273,Ilmari Nurminen,37
Jaana Laitinen-Pesola,"Laitinen-Pesola, Jaana",Q11865586,Kokoomus,Q304191,Satakunta,Q6304483,Jaana Laitinen-Pesola,37
Jaana Pelkonen,"Pelkonen, Jaana",Q233299,Kokoomus,Q304191,Helsinki,Q3736245,Jaana Pelkonen,37
