id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q1038599,Carl Haglund,Q3736054,Uusimaa,Q845537,Swedish People's Party of Finland,2015-04-22,2016-07-30,37
Q11850070,Aila Paloniemi,Q5061084,Central Finland,Q506591,Centre Party,"","",37
Q11850151,Aino-Kaisa Pekonen,Q6304614,Tavastia,Q385927,Left Alliance,"","",37
Q11851775,Annika Lapintie,Q5450453,Finland Proper,Q385927,Left Alliance,"","",37
Q11851928,Antero Vartia,Q3736245,Helsinki constituency,Q196695,Green League,2015-04-22,"",37
Q11852109,Antti Kaikkonen,Q3736054,Uusimaa,Q506591,Centre Party,"","",37
Q11852135,Antti Kurvinen,Q6304597,Vaasa,Q506591,Centre Party,"","",37
Q11852155,Antti Lindtman,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,"","",37
Q11852223,Antti Rantakangas,Q7110478,Oulu,Q506591,Centre Party,"","",37
Q11852228,Antti Rinne,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,"","",37
Q11852471,Ari Jalonen,Q6304483,Satakunta,Q30337076,Blue Reform,"","",37
Q11852524,Ari Torniainen,Q18691231,South-Eastern Finland,Q506591,Centre Party,"","",37
Q11852563,Arja Juvonen,Q3736054,Uusimaa,Q634277,Finns Party,"","",37
Q11852844,Arto Satonen,Q6304273,Pirkanmaa,Q304191,National Coalition Party,"","",37
Q11856787,Eero Reijonen,Q18691405,Savonia-Karelia,Q506591,Centre Party,2018-03-01,"",37
Q11856811,Eero Suutari,Q7110478,Oulu,Q304191,National Coalition Party,"","",37
Q11856861,Eeva-Johanna Eloranta,Q5450453,Finland Proper,Q499029,Social Democratic Party of Finland,"","",37
Q11856872,Eeva-Maria Maijala,Q6488275,Lapland,Q506591,Centre Party,"","",37
Q11857612,Elsi Katainen,Q18691405,Savonia-Karelia,Q506591,Centre Party,"",2018-03-01,37
Q11861334,Hanna Mäntylä,Q6488275,Lapland,Q30337076,Blue Reform,"",2017-06-30,37
Q11861387,Hannu Hoskonen,Q18691405,Savonia-Karelia,Q506591,Centre Party,2015-04-22,"",37
Q11861660,Harry Wallin,Q6304597,Vaasa,Q499029,Social Democratic Party of Finland,"","",37
Q11865586,Jaana Laitinen-Pesola,Q6304483,Satakunta,Q304191,National Coalition Party,"","",37
Q11866066,Jari Leppä,Q18691231,South-Eastern Finland,Q506591,Centre Party,"","",37
Q11866071,Jari Lindström,Q18691231,South-Eastern Finland,Q30337076,Blue Reform,2015-04-22,"",37
Q11866673,Johanna Ojala-Niemelä,Q6488275,Lapland,Q499029,Social Democratic Party of Finland,"","",37
Q11866905,Joona Räsänen,Q3736054,Uusimaa,Q499029,Social Democratic Party of Finland,"","",37
Q11867451,Juhana Vartiainen,Q3736245,Helsinki constituency,Q304191,National Coalition Party,"","",37
Q11868890,Kai Mykkänen,Q3736054,Uusimaa,Q304191,National Coalition Party,2015-04-22,"",37
Q11870004,Kari Tolvanen,Q3736054,Uusimaa,Q304191,National Coalition Party,"","",37
Q11870505,Kauko Juhantalo,Q6304483,Satakunta,Q506591,Centre Party,2015-04-22,"",37
Q11873020,Krista Mikkonen,Q18691405,Savonia-Karelia,Q196695,Green League,"","",37
Q11873046,Kristiina Salonen,Q6304483,Satakunta,Q499029,Social Democratic Party of Finland,"","",37
Q11875206,Lea Mäkipää,Q6304273,Pirkanmaa,Q30337076,Blue Reform,"","",37
Q11875437,Lenita Toivakka,Q18691231,South-Eastern Finland,Q304191,National Coalition Party,"","",37
Q11881045,Markku Eestilä,Q18691405,Savonia-Karelia,Q304191,National Coalition Party,2015-04-22,"",37
