id,name,identifier__km,start_date,end_date,wikidata
1,Eduskunta 1,1907,1907-05-22,1908-07-31,Q30085543
2,Eduskunta 2,1908 II,1908-08-01,1909-05-31,Q30090434
3,Eduskunta 3,1909 II,1909-06-01,1910-02-28,Q30095658
4,Eduskunta 4,1910,1910-03-01,1911-01-31,Q47457037
5,Eduskunta 5,1911,1911-02-01,1914-02-01,Q47459853
6,Eduskunta 6,1914,1914-02-02,1917-04-03,Q47459861
7,Eduskunta 7,1917 I,1917-04-04,1917-10-31,Q30105829
8,Eduskunta 8,1917 II,1917-11-01,1919-03-31,Q30112661
9,Eduskunta 9,1919,1919-04-01,1922-09-04,Q47008581
10,Eduskunta 10,1922,1922-09-05,1924-04-30,Q47459864
11,Eduskunta 11,1924,1924-05-01,1927-09-01,Q47459865
12,Eduskunta 12,1927,1927-09-02,1929-07-31,Q47459866
13,Eduskunta 13,1929 II,1929-08-01,1930-10-20,Q47459867
14,Eduskunta 14,1930 II,1930-10-21,1933-08-31,Q47459869
15,Eduskunta 15,1933,1933-09-01,1936-08-31,Q47459870
16,Eduskunta 16,1936,1936-09-01,1939-08-31,Q47459871
17,Eduskunta 17,1939,1939-09-01,1945-04-05,Q47459872
18,Eduskunta 18,1945,1945-04-06,1948-07-21,Q47459874
19,Eduskunta 19,1948,1948-07-22,1951-07-20,Q47459875
20,Eduskunta 20,1951,1951-07-21,1954-03-28,Q47459877
21,Eduskunta 21,1954,1954-03-29,1958-07-21,Q47459878
22,Eduskunta 22,1958,1958-07-22,1962-02-19,Q47459879
23,Eduskunta 23,1962,1962-02-20,1966-04-04,Q47459880
24,Eduskunta 24,1966,1966-04-05,1970-03-22,Q47459881
25,Eduskunta 25,1970,1970-03-23,1972-01-21,Q47459884
26,Eduskunta 26,1972,1972-01-22,1975-09-26,Q47459886
27,Eduskunta 27,1975 II,1975-09-27,1979-03-23,Q47459887
28,Eduskunta 28,1979,1979-03-24,1983-03-25,Q47459890
29,Eduskunta 29,1983,1983-03-26,1987-03-20,Q47459891
30,Eduskunta 30,1987,1987-03-21,1991-03-21,Q47459892
31,Eduskunta 31,1991,1991-03-22,1995-03-23,Q47459894
32,Eduskunta 32,1995,1995-03-24,1999-03-23,Q47459896
33,Eduskunta 33,1999,1999-03-24,2003-03-18,Q47459897
34,Eduskunta 34,2003,2003-03-19,2007-03-20,Q47459898
35,Eduskunta 35,2007,2007-03-21,2011-04-19,Q47459899
36,Eduskunta 36,2011,2011-04-20,2015-03-14,Q47459901
37,Eduskunta 37,2015,2015-04-28,2019,Q20253302
