name,area,area_id,party,source,gender,age,term
'Maeketsang Molotsi,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Majoel Tlali,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Malerato Thamae,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Maletsema Lenkoane,Proportional Representation,"",DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Mamookho Phiri,Proportional Representation,"",DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Manthabiseng Phohleli,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Mantsíuoa Mosothoane,Proportional Representation,"",MEC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Maphoka Motoboli,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Mapulumo Hlao,Proportional Representation,"",BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Marefuoe Alice 'Muso,Ketane,62,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,43,10
'Masekoala Motanyane,Proportional Representation,"",LCD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Maseoehla Ntlama,Proportional Representation,"",MEC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Matebatso Doti,Lithabaneng,36,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,62,10
'Mathabo Moremoholo,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
'Mathato Phafoli,Proportional Representation,"",ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Aumane Tlohelang Peter,Semena,75,ADC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,62,10
Chalane Cletus Phori,Qoaling,34,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,38,10
Dr. Motsoahae Thabane,Abia,37,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,75,10
Dr. Pakalitha B.   Mosisili,Tsoelike,71,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,69,10
Dr. Pontšo Susan 'Matumelo   Sekatle,Qacha's Nek,69,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,57,10
Habofanoe Sixtus Lehana,Khafung,23,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,54,10
Halebonoe James Setsabi,Kolonyama,18,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,38,10
Joang Molapo,Proportional Representation,"",BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Kamoho Joseph Moroeng,Mekaling,59,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,45,10
Keketso 'Manthabiseng Rants'o,Proportional Representation,"",RCL,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Keketso Utloang Sello,Hlotse,13,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,43,10
Kibane Tebello Lawrence,Peka,17,TSD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,38,10
Kimetso Mathaba,Proportional Representation,"",NIP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Leeto Putsoane Ezekiel,Kolo,49,LMM,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,59,10
Lefu Clement Hlomelang,'Makhoroana,20,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,54,10
Lehlohonolo Moramotse,Lithoteng,35,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,54,10
Lehloka Hlalele,Proportional Representation,"",DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Lekhetho Mosito,Likhetlane,16,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,55,10
Lekhetho Rakuoane,Proportional Representation,"",PFD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Lesego Casayel Makgothi,Maseru,32,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,49,10
Leshoboro Mohlajoa,Malimong,22,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,48,10
Lethusang Daniel Kompi,Qaqatu,60,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,55,10
Likeleli Tampane -   Monare,Senqu,78,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,40,10
Likopo Remington Mahase,Khubetsoana,28,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,45,10
Limpho Justice Tau,Proportional Representation,"",DPL,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Lits'oane Lits'oane,Bela-Bela,21,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,62,10
Machesetsa Mofomobe,Proportional Representation,"",BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Mafahla Nt'salla,Mount Moorosi,67,BCP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,34,10
Mafojane Thabang Paul,Motimposo,30,NIP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,62,10
Mahala Molapo,Thaba-Phatšoa,8,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,57,10
Mahali Phamotse,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Mahapa Mothepu,Tele,64,BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,35,10
Maimane Philemon Maphathe,Matelile,50,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,47,10
Majoro Moeketsi,Thetsane,33,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,female,53,10
Maliehe Prince Maliehe,Teyateyaneng,24,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,43,10
Mangobe Selemo Desmond,Taung,56,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,53,10
Mankoe James Maime,Maama,41,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,34,10
Maqelepo Motlatsi Paul,Berea,27,BNP,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,74,10
Marapelang Malefane,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
Mathibeli Edwin Mokhothu,Qhoali,68,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,37,10
Moakhi Nto Bnedict,Maliba-Matšo,6,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,53,10
Mohapinyane Mohapi Matthews,Rothe,44,ABC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,44,10
Mohau Hlalele,Thaba - Phechela,48,DC,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,male,54,10
Mokhele Moletsane,Proportional Representation,"",AD,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,,,10
