name,wikiname,party,constituency,votes,term
Teariki Heather,Teariki Heather,CIP,Akaoa,201,14
Toanui Isamaela,Toanui Isamaela,CIP,Amuri-Ureia,203,14
Teina Bishop,Teina Bishop,OCI,Arutanga-Reureu-Nikaupara,204,14
Albert Taaviri Kaitara Nicholas,"",DP,Avatiu-Ruatonga-Palmerston,292,14
Jim Marurai,Jim Marurai,DP,Ivirua,0,14
Henry Puna,Henry Puna,CIP,Manihiki,78,14
Kiriau Turepu,Kiriau Turepu,CIP,Matavera,288,14
Tai Tura,Tai Tura,CIP,Mauke,82,14
Tuakeu Tangatapoto,"",CIP,Mitiaro,50,14
James Beer,"",DP,Murienua,225,14
Tamaiva Tuavera,"",DP,Ngatangiia,257,14
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,417,14
Kareroa Wesley,"",DP,Oneroa,117,14
Willie John,"",CIP,Penrhyn,78,14
Tekii Lazaro,Tekii Lazaro,CIP,Pukapuka-Nassau,128,14
Toka Hagai,"",CIP,Rakahanga,39,14
William William Heather,"",DP,Ruaau,386,14
Mark Brown,Mark Brown (Cook Islands),CIP,Takuvaine-Tutakimoa,313,14
Tokorua Pareina,"",CIP,Tamarua,28,14
Rose Toki-Brown,Rose Toki-Brown,CIP,Teenui-Mapumai,71,14
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,88,14
Selina Napa,"",DP,Titikaveka,337,14
George Angene,George Angene,OCI,Tupapa-Maraerenga,498,14
Moana Ioane,Moana Ioane,CIP,Vaipae-Tautu,178,14
Teariki Heather,Teariki Heather,CIP,Akaoa,186,13
Toanui Isamaela,Toanui Isamaela,CIP,Amuri-Ureia,140,13
Teina Bishop,Teina Bishop,CIP,Arutanga-Reureu-Nikaupara,168,13
John Henry,John Henry (Cook Islands),CIP,Avatiu-Ruatonga-Palmerston,237,13
Jim Marurai,Jim Marurai,DP,Ivirua,60,13
Henry Puna,Henry Puna,CIP,Manihiki,83,13
Kiriau Turepu,Kiriau Turepu,CIP,Matavera,294,13
Tai Tura,Tai Tura,CIP,Mauke,110,13
Tangata Vavia,Tangata Vavia,DP,Mitiaro,54,13
Tom Marsters,Tom Marsters,CIP,Murienua,171,13
Atatoa Herman,Atatoa Herman,CIP,Ngatangiia,204,13
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,239,13
Winton Pickering,Winton Pickering,DP,Oneroa,113,13
Wilkie Rasmussen,Wilkie Rasmussen,DP,Penrhyn,54,13
Tekii Lazaro,Tekii Lazaro,CIP,Pukapuka-Nassau,73,13
Taunga Toka,Taunga Toka,DP,Rakahanga,27,13
William (Smiley) Heather,William (Smiley) Heather,DP,Ruaau,348,13
Mark Brown,Mark Brown (Cook Islands),CIP,Takuvaine-Tutakimoa,304,13
Pukeiti Pukeiti,Pukeiti Pukeiti,CIP,Tamarua,31,13
Norman George,Norman George,CIP,Teenui-Mapumai,75,13
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,81,13
Robert Wigmore,Robert Wigmore,DP,Titikaveka,293,13
George Angene,George Angene,CIP,Tupapa-Maraerenga,386,13
Moana Ioane,Moana Ioane,CIP,Vaipae-Tautu,133,13
Keu Mataroa,"",DP,Akaoa,179,12
Terepai Maoate Jnr,Terepai Maoate Jnr,DP,Amuri-Ureia,214,12
Teina Bishop,Teina Bishop,CIP,Arutanga-Reureu-Nikaupara,179,12
Albert (Peto) Nicholas,Albert (Peto) Nicholas,CIP,Avatiu-Ruatonga-Palmerston,295,12
Jim Marurai,Jim Marurai,DP,Ivirua,82,12
Apii Piho,Apii Piho,DP,Manihiki,115,12
Cassey Eggelton,Cassey Eggelton,DP,Matavera,279,12
Mapu Taia,Mapu Taia,DP,Mauke,115,12
Tangata Vavia,Tangata Vavia,DP,Mitiaro,65,12
Tom Marsters,Tom Marsters,CIP,Murienua,185,12
Terepai Maoate,Terepai Maoate,DP,Ngatangiia,295,12
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,398,12
Winton Pickering,Winton Pickering,DP,Oneroa,152,12
Wilkie Rasmussen,Wilkie Rasmussen,DP,Penrhyn,0,12
Vai Peua,Vai Peua,CIP,Pukapuka-Nassau,155,12
Piho Rua,Piho Rua,Independent,Rakahanga,42,12
William (Smiley) Heather,William (Smiley) Heather,DP,Rua'au,364,12
Ngai Tupa,Ngai Tupa,DP,Takuvaine-Tutakimoa,325,12
Mii Parima,Mii Parima,CIP,Tamarua,38,12
Norman George,Norman George,CIP,Teenui-Mapumai,85,12
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,104,12
Robert Wigmore,Robert Wigmore,DP,Titikaveka,325,12
John Tangi,John Tangi,DP,Tupapa-Maraerenga,461,12
Kete Ioane,Kete Ioane,DP,Vaipae-Tautu,212,12
