id,name,start_date,end_date,wikidata
1,First House of Assembly,1969,1972,Q61946692
2,Second House of Assembly,1972,1976,Q61946693
3,Third House of Assembly,1976,1980,Q61946694
4,Fourth House of Assembly,1980,1984,Q61946695
5,Fifth House of Assembly,1984,1988,Q61946697
6,Sixth House of Assembly,1988,1992,Q61946698
7,Seventh House of Assembly,1992,1996,Q61946699
8,Eighth House of Assembly,1996,2000,Q61946700
9,Ninth House of Assembly,2000-02-23,2003-10-24,Q61946701
10,Tenth House of Assembly,2003-12-18,2007-09-07,Q61946702
11,First Gibraltar Parliament,2007-11-08,2011-11-03,Q61946703
12,Second Gibraltar Parliament,2011-12-21,2015-10-20,Q61946705
13,Third Gibraltar Parliament,2015-12-09,,Q61946706
