end_date,id,name,start_date
1983-04-11,1979-05-01,Inatsisartut 1,1979-05-01
1984-06-05,1983-04-12,Inatsisartut 2,1983-04-12
1987-05-25,1984-06-06,Inatsisartut 3,1984-06-06
1991-03-04,1987-05-26,Inatsisartut 4,1987-05-26
1995-03-03,1991-03-05,Inatsisartut 5,1991-03-05
1999-02-15,1995-03-04,Inatsisartut 6,1995-03-04
2002-12-02,1999-02-16,Inatsisartut 7,1999-02-16
2005-11-14,2002-12-03,Inatsisartut 8,2002-12-03
2009-06-01,2005-11-15,Inatsisartut 9,2005-11-15
2013-03-11,2009-06-02,Inatsisartut 10,2009-06-02
2014-11-27,2013-03-12,Inatsisartut 11,2013-03-12
2014-12-11,2014-11-28,Inatsisartut 12,2014-11-28
,2014-12-12,Inatsisartut 13,2014-12-12
