term,image,party,name,role,area
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/SPEAKER%20SIMINA.jpg,none,T.H. Wesley W. Simina,Speaker,n/a
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/VS%20MARTIN.jpg,none,T.H. Berney Martin,Vice Speaker,n/a
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/FL%20HARPER.jpg,none,T.H. Florencio Singkoro Harper,Floor Leader,n/a
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/ARITOS.jpg,none,Tiwiter Aritos,"",Chuuk
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/FIGIR.jpg,none,Isaac V. Figir,"",Yap
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/GOULAND.jpg,none,Victor Gouland,"",Chuuk
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/NETHON.jpg,none,Bonsiano F. Nethon,"",Chuuk
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/PANUELO.jpg,none,David W. Panuelo,"",Pohnpei
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/PERMAN.jpg,none,Ferny Perman,"",Pohnpei
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/ROMOLOW.jpg,none,Robson U. Romolow,"",Chuuk
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/URUSEMAL.jpg,none,Joseph J. Urusemal,"",Yap
19,http://www.fsmcongress.fm/Official%20Pix/19CFSM%20FOTOS/WELLY.jpg,none,Paliknoa K. Welly,"",Kosrae
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Speaker.Halbert.1.jpg,none,Dohsis Halbert,Speaker,n/a
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/VSWelly.1.jpg,none,Paliknoa K. Welly,Vice Speaker,n/a
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/FL.Harper.1.jpg,none,Florencio Singkoro Harper,Floor Leader,n/a
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Aritos.1.jpg,none,Tiwiter Aritos,"",Chuuk
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/christianweb.2.jpg,none,Peter M. Christian,"",Pohnpei
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Figir.1.jpg,none,Isaac V. Figir,"",Yap
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/George.1.jpg,none,Yosiwo P. George,"",Kosrae
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Gouland.1.jpg,none,Victor Gouland,"",Chuuk
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Martin.1.jpg,none,Berney Martin,"",Pohnpei
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Nethonewb.1.jpg,none,Bonsiano Fasy Nethon,"",Chuuk
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Otto.1.jpg,none,Tony H. Otto,"",Chuuk
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Panuelo.1.jpg,none,David W. Panuelo,"",Pohnpei
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Simina.1.jpg,none,Wesley W. Simina,"",Chuuk
18,http://www.fsmcongress.fm/images/18th%20Congress/18c%20fsm%20foto/Urusemal.1.jpg,none,Joseph J. Urusemal,"",Yap
17,http://www.fsmcongress.fm/thumbnails/Speaker.jpg,none,Isaac V. Figir,Speaker,n/a
17,http://www.fsmcongress.fm/thumbnails/Vice%20Speaker.jpg,none,Berney Martin,Vice Speaker,n/a
17,http://www.fsmcongress.fm/thumbnails/Floor.jpg,none,Florencio Singkoro Harper,Floor Leader,n/a
17,http://www.fsmcongress.fm/thumbnails/Twitter.jpg,none,Tiwiter Aritos,"",Chuuk
17,http://www.fsmcongress.fm/thumbnails/Peter.jpg,none,Peter M. Christian,"",Pohnpei
17,http://www.fsmcongress.fm/thumbnails/Yosuo%20George.jpg,none,Yosiwo P. George,"",Kosrae
17,http://www.fsmcongress.fm/thumbnails/Dohsis.jpg,none,Dohsis Halbert,"",Pohnpei
17,http://www.fsmcongress.fm/thumbnails/Roger.jpg,none,Roger S. Mori,"",Chuuk
17,http://www.fsmcongress.fm/thumbnails/Bonsiano.jpg,none,Bonsiano Fasy Nethon,"",Chuuk
17,http://www.fsmcongress.fm/thumbnails/Tony.jpg,none,Tony H. Otto,"",Chuuk
17,http://www.fsmcongress.fm/thumbnails/David.jpg,none,David W. Panuelo,"",Pohnpei
17,http://www.fsmcongress.fm/thumbnails/Wesley%20Simina.jpg,none,Wesley W. Simina,"",Chuuk
17,http://www.fsmcongress.fm/thumbnails/Joe.jpg,none,Joseph J. Urusemal,"",Yap
17,http://www.fsmcongress.fm/thumbnails/Paiknoa.jpg,none,Paliknoa K. Welly,"",Kosrae
