party,page_id,district,term_id,image,name,region,details_url,chamber,term,constituency
VPM-MMM,abdilah,Vohémar,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/1.jpg,ABDILLAH -,Sava,http://www.assemblee-nationale.mg/?depute=abdilah,National Assembly,2013,Vohémar
MAPAR,alidy-bin-soufou,Mitsinjo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/2.jpg,ALIDY Bin Soufou,Boeny,http://www.assemblee-nationale.mg/?depute=alidy-bin-soufou,National Assembly,2013,Mitsinjo
Mouvance RAVALOMANANA,andriamitantsoa-ramasindraibe-benjamin,Antananarivo Avaradrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/3.jpg,ANDRIAMITANTSOA RAMASINDRAIBE Benjamin,Analamanga,http://www.assemblee-nationale.mg/?depute=andriamitantsoa-ramasindraibe-benjamin,National Assembly,2013,Antananarivo Avaradrano
Indépendant,andriamasimanana-aureline,Ambatondrazaka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/4.jpg,ANDRIAMASIMANANA Aureline,Alaotramangoro,http://www.assemblee-nationale.mg/?depute=andriamasimanana-aureline,National Assembly,2013,Ambatondrazaka
Indépendant,andriamboavonjy-nantenaina-herisoa,Mandoto,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/5.jpg,ANDRIAMBOAVONJY Nantenaina Herisoa,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=andriamboavonjy-nantenaina-herisoa,National Assembly,2013,Mandoto
Indépendant,andrianarivo-harimampianina-razakarivelo,Ambositra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/6.jpg,ANDRIANARIVO Harimampianina Razakarivelo,Amoronimania,http://www.assemblee-nationale.mg/?depute=andrianarivo-harimampianina-razakarivelo,National Assembly,2013,Ambositra
Indépendant,andrianirina-josoa-marohajaina,Ambatondrazaka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/7.jpg,ANDRIANIRINA Josoa Marohajaina,Alaotramangoro,http://www.assemblee-nationale.mg/?depute=andrianirina-josoa-marohajaina,National Assembly,2013,Ambatondrazaka
MAPAR II,andrianjaka-samson-goulzar,Ampanihy Andrefana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/8.jpg,ROGER Moussa Jassat,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=andrianjaka-samson-goulzar,National Assembly,2013,Ampanihy Andrefana
VPM-MMM,andrianjanahary-fanomezantsoa,Manandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/9.jpg,ANDRIANJANAHARY Fanomezantsoa,Amoronimania,http://www.assemblee-nationale.mg/?depute=andrianjanahary-fanomezantsoa,National Assembly,2013,Manandriana
VP-MMM,andriantsizehena-benja-urbain,Manakara,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/10.jpg,ANDRIANTSIZEHENA Benja Urbain,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=andriantsizehena-benja-urbain,National Assembly,2013,Manakara
Indépendant,angele-solange,Amboasary Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/11.jpg,ANGELE Solange,Anosy,http://www.assemblee-nationale.mg/?depute=angele-solange,National Assembly,2013,Amboasary Atsimo
Indépendant,arosy-namiandrazana-francois-namiandrazana-francois,Nosy Be,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/12.jpg,AROSY Namiandrazana François,Diana,http://www.assemblee-nationale.mg/?depute=arosy-namiandrazana-francois-namiandrazana-francois,National Assembly,2013,Nosy Be
Les As,delphine-florentine,Besalampy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/13.jpg,DELPHINE Florentine,Melaky,http://www.assemblee-nationale.mg/?depute=delphine-florentine,National Assembly,2013,Besalampy
Leader Fanilo,dinah-romual,Maroantsetra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/14.jpg,DINAH Romual,Analanjirofo,http://www.assemblee-nationale.mg/?depute=dinah-romual,National Assembly,2013,Maroantsetra
PSD,djaosera-irenee,Analalava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/15.jpg,DJAOSERA Irenée,Sofia,http://www.assemblee-nationale.mg/?depute=djaosera-irenee,National Assembly,2013,Analalava
VP-MMM,elitafa-basile,Morafenobe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/16.jpg,ELITAFA Basile,Melaky,http://www.assemblee-nationale.mg/?depute=elitafa-basile,National Assembly,2013,Morafenobe
MAPAR,famindra-justin,Toamasina I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/17.jpg,FAMINDRA Justin,Atsinanana,http://www.assemblee-nationale.mg/?depute=famindra-justin,National Assembly,2013,Toamasina I
Indépendant,farhad-houssen-houssen,Maintirano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/18.jpg,FARHAD Houssen Houssen,Melaky,http://www.assemblee-nationale.mg/?depute=farhad-houssen-houssen,National Assembly,2013,Maintirano
VP-MMM,fienena-richard,Manja,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/19.jpg,TOVONAY,Menabe,http://www.assemblee-nationale.mg/?depute=fienena-richard,National Assembly,2013,Manja
MAPAR,hanitriniaina-mamy-armand,Miandrivazo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/20.jpg,HANITRINIAINA Mamy Armand,Menabe,http://www.assemblee-nationale.mg/?depute=hanitriniaina-mamy-armand,National Assembly,2013,Miandrivazo
MAPAR,harinosy-rabenerika-charlot,Soavinandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/21.jpg,HARINOSY Rabenerika Charlot,Itasy,http://www.assemblee-nationale.mg/?depute=harinosy-rabenerika-charlot,National Assembly,2013,Soavinandriana
Indépendant,hatrefindrazana-jerry,Taolagnaro,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/22.jpg,HATREFINDRAZANA Jerry,Anosy,http://www.assemblee-nationale.mg/?depute=hatrefindrazana-jerry,National Assembly,2013,Taolagnaro
Indépendant,helson-brison-erafa,Toliary II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/23.jpg,HELSON Brisson ERAFA,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=helson-brison-erafa,National Assembly,2013,Toliary II
MAPAR,henri-jean-michel-henri,Ambovombe Androy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/24.jpg,HENRI Jean Michel,Androy,http://www.assemblee-nationale.mg/?depute=henri-jean-michel-henri,National Assembly,2013,Ambovombe Androy
Indépendant,houssene-abdallah,Soalala,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/25.jpg,HOUSSENE Abdallah,Boeny,http://www.assemblee-nationale.mg/?depute=houssene-abdallah,National Assembly,2013,Soalala
Indépendant,ijo,Taolagnaro,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/26.jpg,IJO,Anosy,http://www.assemblee-nationale.mg/?depute=ijo,National Assembly,2013,Taolagnaro
M. RAVALOMANANA,jean-francois-michel,Antsirabe I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/27.jpg,JEAN FRANCOIS Michel,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=jean-francois-michel,National Assembly,2013,Antsirabe I
MTS,jean-daniel,Bekily,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/28.jpg,JEAN Daniel,Androy,http://www.assemblee-nationale.mg/?depute=jean-daniel,National Assembly,2013,Bekily
MAPAR,kathy,Manajary,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/29.jpg,KATHY -,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=kathy,National Assembly,2013,Manajary
Indépendant,laisoa-jean-pierre,Antalaha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/30.jpg,LAISOA Jean Pierre,Sava,http://www.assemblee-nationale.mg/?depute=laisoa-jean-pierre,National Assembly,2013,Antalaha
Indépendant,levao-nitadiavina,Marolambo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/31.jpg,LEVAO Nitadiavina,Atsinanana,http://www.assemblee-nationale.mg/?depute=levao-nitadiavina,National Assembly,2013,Marolambo
Indépendant,liahosoa-malement,Ampanihy Andrefana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/32.jpg,LIAHOSOA Malement,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=liahosoa-malement,National Assembly,2013,Ampanihy Andrefana
Indépendant,lylyette-rene-de-roland,Befandriana Avaratra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/33.jpg,LYLYETTE René de Roland,Sofia,http://www.assemblee-nationale.mg/?depute=lylyette-rene-de-roland,National Assembly,2013,Befandriana Avaratra
MAPAR,maharamby-ndalana-esperant,Antanambao Manampotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/34.jpg,MAHARAMBY Ndalana Espérant,Atsinanana,http://www.assemblee-nationale.mg/?depute=maharamby-ndalana-esperant,National Assembly,2013,Antanambao Manampotsy
MAPAR,maharante-rakotonandrasana-rakotonandrasana-jean-de-dieu,Toliary I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/35.jpg,RAZAHA Tondraha,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=maharante-rakotonandrasana-rakotonandrasana-jean-de-dieu,National Assembly,2013,Toliary I
Indépendant,mahasoazy-mananjara-freddie-richard-mananjara-freddie-richard,Antsiranana I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/36.jpg,MAHAZOASY Mananjara Freddie Richard,Sava,http://www.assemblee-nationale.mg/?depute=mahasoazy-mananjara-freddie-richard-mananjara-freddie-richard,National Assembly,2013,Antsiranana I
Indépendant,mamangy-norbert,Sambava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/37.jpg,MAMANGY Norbert,Sava,http://www.assemblee-nationale.mg/?depute=mamangy-norbert,National Assembly,2013,Sambava
MAPAR,mamodali-hawel,Morondava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/38.jpg,MAMOD’ALI Hawel,Menabe,http://www.assemblee-nationale.mg/?depute=mamodali-hawel,National Assembly,2013,Morondava
Indépendant,mara-niarisy,Ankazoabo Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/39.jpg,MARA Niarisy,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=mara-niarisy,National Assembly,2013,Ankazoabo Atsimo
MAPAR,maroriky,Befotaka Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/40.jpg,MARORIKY -,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=maroriky,National Assembly,2013,Befotaka Atsimo
Indépendant,masy-goulamaly-marie-jeanne-darc,Tsihombe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/41.jpg,MASY Goulamaly Marie Jeanne d’Arc,Androy,http://www.assemblee-nationale.mg/?depute=masy-goulamaly-marie-jeanne-darc,National Assembly,2013,Tsihombe
VP-MMM,milavonjy-andriasy-philobert,Ambovombe Androy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/42.jpg,MILAVONJY Andriasy Philobert,Androy,http://www.assemblee-nationale.mg/?depute=milavonjy-andriasy-philobert,National Assembly,2013,Ambovombe Androy
Indépendant,mohamad-ahmad,Fénérive Est,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/43.jpg,MOHAMAD Ahmad,Analanjirofo,http://www.assemblee-nationale.mg/?depute=mohamad-ahmad,National Assembly,2013,Fénérive Est
MAPAR,naharimamy-lucien-irmah,Mahanoro,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/44.jpg,NAHARIMAMY Lucien Irmah,Atsinanana,http://www.assemblee-nationale.mg/?depute=naharimamy-lucien-irmah,National Assembly,2013,Mahanoro
